|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
2014,97,Adams Electric Coop,IL,Cooperative,217.8,2.473,88.071169,143.4,1.805,79.445983,106.2,0.989,107.38119,8751,34.5,Y,.,.,.,.,.,.,.,,,.,
2014,108,Adams-Columbia Electric Coop,WI,Cooperative,104.083,0.838,124.20406,63.179,0.667,94.721139,88.874,0.585,151.92137,36152,12.5,Y,.,.,.,.,.,.,.,,,.,
2014,155,Agralite Electric Coop,MN,Cooperative,63.3,0.7,90.428571,63.3,0.7,90.428571,61.142,0.61,100.23279,5177,12,N,.,.,.,.,.,.,.,,,.,
2014,162,Aiken Electric Coop Inc,SC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,2679,.,.,77,.,.,46022,N,L,25,N
2014,195,Alabama Power Co,AL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,194.3,1.334,145.65217,117.9,1.036,113.80309,1450784,N,F,35,Y
2014,207,City of Alameda,CA,Municipal,15.84,0.072,220,.,.,.,.,.,.,34626,12,N,.,.,.,.,.,.,.,,,.,
2014,213,Alaska Electric Light&Power Co,AK,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,173,.,.,.,.,.,16162,N,O,12.5,N
2014,232,City of Albemarle - (NC),NC,Municipal,.,.,.,.,.,.,.,.,.,.,.,,50,0.51,98.039216,.,.,.,12500,N,L,14.4,N
2014,240,Albemarle Electric Member Corp,NC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,984,2.2,447.27273,138,0.95,145.26316,12645,N,F,12.5,Y
2014,276,Alcorn County Elec Power Assn,MS,Cooperative,36.912,0.65,56.787692,.,.,.,.,.,.,18879,13.1,N,.,.,.,.,.,.,.,,,.,
2014,295,City of Alexandria - (MN),MN,Municipal,.,.,.,.,.,.,.,.,.,.,.,,29,0.431,67.285383,.,.,.,9529,N,L,13.2,N
2014,305,Alger-Delta Coop Electric Assn,MI,Cooperative,750.6,1.67,449.46108,476.2,1.44,330.69444,483.8,1.11,435.85586,9954,34.5,Y,.,.,.,.,.,.,.,,,.,
2014,329,"Allamakee-Clayton El Coop, Inc",IA,Cooperative,97.11,0.678,143.23009,97.11,0.678,143.23009,97.11,0.678,143.23009,9014,12.5,Y,.,.,.,.,.,.,.,,,.,
2014,392,Alpena Power Co,MI,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,146,1,146,64,0.6,106.66667,16360,N,L,13.2,N
2014,407,Altamaha Electric Member Corp,GA,Cooperative,220.2,1.84,119.67391,50.5,0.9,56.111111,.,.,.,20122,25,N,.,.,.,.,.,.,.,,,.,
2014,554,City of Ames - (IA),IA,Municipal,63.55,0.52,122.21154,63.55,0.52,122.21154,63.55,0.52,122.21154,24976,13.8,Y,.,.,.,.,.,.,.,,,.,
