|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,|Utility Characteristics.."Data Type O = Observed I = Imputed"|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
2014,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,4096,37090,2629,4226,37978,679,6430,115634,2,0,0,0,14752,190702,3310
2014,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,MISO,5878,56496,4585,4404,39148,1029,3506,39510,27,0,0,0,13788,135154,5641
2014,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,269.2,2238,269,69.2,544,44,.,.,.,.,.,.,338.4,2782,313
2014,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,41418.2,353002,30758,17742.7,161534,3933,15226.8,170770,8,.,.,.,74387.7,685306,34699
2014,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,16685,118512,8433,5158,50633,207,.,.,.,.,.,.,21843,169145,8640
2014,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,44978,289341,33682,8872,71427,1890,14100,156876,853,.,.,.,67950,517644,36425
2014,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,34638,292261,37921,18798,176989,8441,0,0,0,0,0,0,53436,469250,46362
2014,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,13704,100111,7360,1683,14419,57,.,.,.,.,.,.,15387,114530,7417
2014,122,Village of Arcade - (NY),A,Bundled,O,NY,Municipal,NYIS,4809,77898,3605,2355,44453,570,1901,38581,15,.,.,.,9065,160932,4190
2014,123,City of Adel- (GA),A,Bundled,O,GA,Municipal,SOCO,3646,26723,1980,4521,32850,527,4343,52178,15,.,.,.,12510,111751,2522
2014,150,Adrian Public Utilities Comm,A,Bundled,O,MN,Municipal,WAUE,751.5,6854,526,659.6,6046,114,78.7,632,2,0,0,0,1489.8,13532,642
2014,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,10018,90591,4357,5240,76460,249,5312,67203,551,.,.,.,20570,234254,5157
2014,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,83183,620625,43171,15235,130677,2814,13595,192420,15,.,.,.,112013,943722,46000
2014,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,485.7,5076,822,298,4679,202,124.8,1453,1,.,.,.,908.5,11208,1025
2014,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,2208880,18726485,1247061,1560558,14329217,197828,1479904,23799049,6032,.,.,.,5249342,56854751,1450921
2014,201,City of Alachua - (FL),A,Bundled,O,FL,Municipal,FPC,5294,41430,3671,8759,75019,752,.,.,.,.,.,.,14053,116449,4423
2014,207,City of Alameda,A,Bundled,O,CA,Municipal,CISO,18797.7,127528,30336,31881.9,220476,4073,.,.,.,.,.,.,50679.6,348004,34409
2014,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,,16728,141151,14115,12449,125452,2253,12514,132889,96,.,.,.,41691,399492,16464
2014,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,,7301,24116,5328,10341,38952,2302,0,0,0,0,0,0,17642,63068,7630
2014,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,,21188,35665,7869,32334,62209,2960,.,.,.,.,.,.,53522,97874,10829
