Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
January,2016-01-04,05:15:00,2016-01-05,08:00:00,Wisconsin: Milwaukee County;,MRO,Suspected Physical Attack,Sabotage,0,0
January,2016-01-10,20:46:00,2016-01-11,05:25:00,Maine: Connecticut: Massachusetts: Vermont: New Hampshire: Rhode Island:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,59859
January,2016-01-11,20:16:00,2016-01-11,23:00:00,Pennsylvania: Chester County;,RFC,Suspected Physical Attack,Vandalism,0,0
January,2016-01-14,08:27:00,2016-01-14,12:00:00,Delaware:,RFC,Suspected Physical Attack,Vandalism,0,0
January,2016-01-17,12:00:00,2016-01-17,13:00:00,Utah: Salt Lake County;,WECC,Suspected Physical Attack,Sabotage,0,0
January,2016-01-22,15:52:00,2016-01-24,12:30:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,150000
January,2016-01-23,07:49:00,2016-01-23,09:05:00,New Jersey:,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,50900
February,2016-02-05,11:21:00,2016-02-06,15:48:00,Connecticut: Massachusetts: Rhode Island:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,115057
February,2016-02-07,11:30:00,Unknown,Unknown,New York: Orange County,NPCC,Suspected Cyber Attack,Cyber Attack,Unknown,Unknown
February,2016-02-07,14:58:00,Unknown,Unknown,Oregon: Klamath County,WECC,Suspected Physical Attack,Sabotage,Unknown,Unknown
February,2016-02-07,13:21:00,2016-02-07,13:42:00,Utah: Salt Lake County,WECC,Suspected Physical Attack,Vandalism,0,0
February,2016-02-13,12:44:00,2016-02-13,16:27:00,California,SERC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Islanding,7,4300
February,2016-02-16,08:35:00,2016-02-16,17:28:00,"Virginia: Roanoke County, Montgomery County; West Virginia: Kanawha County, Cabell County; Tennessee: Sullivan County;",RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,52640
February,2016-02-19,22:00:00,2016-02-20,23:13:00,Michigan,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,145314
February,2016-02-21,15:54:00,2016-02-21,17:07:00,Oregon: Klamath County,WECC,Suspected Physical Attack,Sabotage,0,0
February,2016-02-24,14:45:00,2016-02-25,05:00:00,North Carolina: South Carolina,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,400,284610
February,2016-02-24,09:10:00,2016-02-24,10:15:00,Delaware,RFC,Suspected Physical Attack,Vandalism,0,0
February,2016-02-25,01:44:00,2016-02-25,14:45:00,Connecticut: Maine: Massachusetts: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,114190
February,2016-02-26,16:35:00,2016-02-26,20:22:00,Arizona: Maricopa County,WECC,Suspected Physical Attack,Sabotage - Operator Action(s),2,2713
February,2016-02-26,00:01:00,Unknown,Unknown,California: San Bernardino County,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,0,0
March,2016-03-01,13:35:00,Unknown,Unknown,Idaho: Ada County;,WECC,Suspected Physical Attack,Vandalism,0,0
March,2016-03-01,15:00:00,Unknown,Unknown,"Washington: King County, Whatcom County, Kitsap County, Skagit County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,Unknown,56000
March,2016-03-03,11:00:00,2016-04-06,19:47:00,California: San Bernardino County;,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,0,0
March,2016-03-08,00:00:00,2016-03-08,00:00:00,Idaho: Bannock County;,WECC,Suspected Physical Attack,Sabotage,0,0
March,2016-03-10,04:00:00,2016-03-11,11:59:00,"Washington: Kitsap County, King County, Whatcom County, Island County, Skagit County;",WECC,Suspected Physical Attack,Sabotage,0,0
March,2016-03-13,14:00:00,Unknown,Unknown,"Washington: Island County, Skagit County, Whatcom County, King County, Kitsap County, Pierce County, Thurston County;",WECC,Suspected Physical Attack,Sabotage,0,0
March,2016-03-13,16:55:00,Unknown,Unknown,Washington:,WECC,Suspected Physical Attack,Vandalism,0,0
March,2016-03-23,05:00:00,2016-03-25,23:59:00,"Colorado: Denver, City and County of[12];",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Weather,0,0
March,2016-03-27,12:00:00,2016-03-27,13:00:00,Nevada: Clark County;,WECC,Suspected Physical Attack,Sabotage,Unknown,110000
March,2016-03-30,21:12:00,2016-03-31,15:00:00,Massachusetts: Middlesex County[13];,NPCC,Suspected Physical Attack,Sabotage,200,50500
April,2016-04-01,16:37:00,2016-04-01,18:00:00,Florida: Hillsborough County,FRCC,Suspected Physical Attack,Sabotage,0,0
April,2016-04-02,11:08:00,2016-04-02,11:33:00,California,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,360,0
April,2016-04-12,11:30:00,2016-04-12,16:43:00,Washington: Pend Oreille County,WECC,Suspected Cyber Attack,Cyber Attack,0,0
April,2016-04-14,16:49:00,2016-04-15,20:42:00,Maryland: Baltimore County,RFC,Suspected Physical Attack,Sabotage,0,0
April,2016-04-15,10:00:00,2016-04-15,11:00:00,Utah: Weber County,WECC,Suspected Physical Attack,Vandalism,0,0
