,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Residential|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Commercial|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Industrial|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Transportation|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Total|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Residential|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Commercial|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Industrial|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Transportation|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Total|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Residential|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Commercial|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Industrial|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Transportation|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Total|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Residential|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Commercial|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Industrial|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Transportation|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Total|,|Program Costs.Customer Incentives (Thousand Dollars).Residential|,|Program Costs.Customer Incentives (Thousand Dollars).Commercial|,|Program Costs.Customer Incentives (Thousand Dollars).Industrial|,|Program Costs.Customer Incentives (Thousand Dollars).Transportation|,|Program Costs.Customer Incentives (Thousand Dollars).Total|,|Program Costs.All Other Costs (Thousand Dollars).Residential|,|Program Costs.All Other Costs (Thousand Dollars).Commercial|,|Program Costs.All Other Costs (Thousand Dollars).Industrial|,|Program Costs.All Other Costs (Thousand Dollars).Transportation|,|Program Costs.All Other Costs (Thousand Dollars).Total|,|DSM Program.Grid Connected.Water Heater|
0,2014,97,Adams Electric Coop,IL,4239,66,.,.,4305,.,.,.,.,.,4,4,.,.,8,4,.,.,.,4,68,.,.,.,68,10,.,.,.,10,51,
1,2014,3931,Coles-Moultrie Electric Coop,IL,4413,103,7,0,4523,0,0,0,0,0,0.5,0.5,0.5,.,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2,2014,4110,Commonwealth Edison Co,IL,73000,1805,1496,.,76301,87,.,.,.,87,87,357,844,.,1288,.,.,.,.,.,2402,.,.,.,2402,1450,48,50,.,1548,.,
3,2014,4362,Corn Belt Energy Corporation,IL,.,57,.,.,57,.,.,.,.,.,.,4.5,.,.,4.5,.,4.5,.,.,4.5,.,1046,.,.,1046,.,.,.,.,.,.,
4,2014,5585,Eastern Illinois Elec Coop,IL,4205,.,139,.,4344,.,.,.,.,.,8,.,6,.,14,3,.,0,.,3,.,.,.,.,.,25,.,.,.,25,.,
5,2014,9209,Illinois Rural Electric Coop,IL,110,.,.,.,110,1,.,.,.,1,2,2,.,.,4,2,2,.,.,4,.,.,.,.,.,20,.,.,.,20,0,
6,2014,9750,Jo-Carroll Energy Coop Inc,IL,1552,256,18,.,1826,0,0,0,0,0,1.9,0.5,0.1,.,2.5,1.3,0.3,0.1,.,1.7,18,0,0,.,18,14,2,0,.,16,.,
7,2014,12341,MidAmerican Energy Co,IL,3226,.,4,.,3230,6,.,0,.,6,2.5,1,5.8,.,9.3,2.5,0,0,.,2.5,97,40,228,.,365,48,2,13,.,63,.,
8,2014,12395,Menard Electric Coop,IL,1337,18,1163,.,2518,17,8,107,.,132,2,8.6,46.5,.,57.1,1,2,12,.,15,.,.,.,.,.,.,.,46,.,46,.,
9,2014,12803,"Monroe County Elec Coop, Inc",IL,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
10,2014,16420,Rural Electric Conven Coop,IL,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
11,2014,17040,"Shelby Electric Coop, Inc",IL,1229,51,.,.,1280,.,.,.,.,.,12,8,.,.,20,6,5,.,.,11,2,0,.,.,2,4,0,.,.,4,.,
12,2014,40211,"Wabash Valley Power Assn, Inc",IL,5270,.,.,.,5270,34,.,.,.,34,9.4,.,.,.,9.4,8.6,.,.,.,8.6,443,.,.,.,443,401,.,.,.,401,732,
