,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Number of.Customers Enrolled.Residential|,|Number of.Customers Enrolled.Commercial|,|Number of.Customers Enrolled.Industrial|,|Number of.Customers Enrolled.Transportation|,|Number of.Customers Enrolled.Total|,|Types of Program.Time of Use Pricing.Residential|,|Types of Program.Time of Use Pricing.Commercial|,|Types of Program.Time of Use Pricing.Industrial|,|Types of Program.Time of Use Pricing.Transportation|,|Types of Program.Real Time Pricing.Residential|,|Types of Program.Real Time Pricing.Commercial|,|Types of Program.Real Time Pricing.Industrial|,|Types of Program.Real Time Pricing.Transportation|,|Types of Program.Variable Peak Pricing.Residential|,|Types of Program.Variable Peak Pricing.Commercial|,|Types of Program.Variable Peak Pricing.Industrial|,|Types of Program.Variable Peak Pricing.Transportation|,|Types of Program.Critical Peak Pricing.Residential|,|Types of Program.Critical Peak Pricing.Commercial|,|Types of Program.Critical Peak Pricing.Industrial|,|Types of Program.Critical Peak Pricing.Transportation|,|Types of Program.Critical Peak Rebate.Residential|,|Types of Program.Critical Peak Rebate.Commercial|,|Types of Program.Critical Peak Rebate.Industrial|,|Types of Program.Critical Peak Rebate.Transportation|
0,2014,97,Adams Electric Coop,IL,33,5,.,.,38,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
1,2014,3931,Coles-Moultrie Electric Coop,IL,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
2,2014,4110,Commonwealth Edison Co,IL,9784,6638,123,.,16545,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,
3,2014,7096,City of Geneva- (IL),IL,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
4,2014,7279,"NextEra Energy Services, LLC",IL,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
5,2014,9750,Jo-Carroll Energy Coop Inc,IL,.,.,18,.,18,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
6,2014,12341,MidAmerican Energy Co,IL,53,7,80,.,140,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
7,2014,16179,Rochelle Municipal Utilities,IL,.,.,35,.,35,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
8,2014,17697,Southwestern Electric Coop Inc - (IL),IL,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
9,2014,17828,City of Springfield - (IL),IL,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
10,2014,20222,Wayne-White Counties Elec Coop,IL,4,.,.,.,4,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
11,2014,21795,"Constellation Energy Services, Inc.",IL,0,1838,0,0,1838,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
12,2014,56697,Ameren Illinois Company,IL,11779,1734,69,.,13582,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,
