,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
0,2014,4110.0,Commonwealth Edison Co,IL,PJM,826615,828486,.,.,1655101,86.2,144.9,.,.,231.1,4057960,7419702,.,.,11477662,86.2,144.9,.,.,231.1,27606,54009,.,.,81615,15688,22732,.,.,38420,27606,54009,.,.,81615,15688,22732,.,.,38420,4.91,8.96,.,.,http://www.ilsag.info/evaluation-documents.html
1,2014,5585.0,Eastern Illinois Elec Coop,IL,MISO,708,.,.,.,708,.,.,.,.,.,10620,.,.,.,10620,.,.,.,.,.,.,.,.,.,.,3,.,.,.,3,.,.,.,.,.,50,.,.,.,50,15,.,.,.,
2,2014,9286.0,Illinois Municipal Elec Agency,IL,MISO,438,.,5338,.,5776,0,.,0.7,.,0.7,1752,.,21352,.,23104,0,.,0.7,.,0.7,10,.,825,.,835,85,.,17,.,102,10,.,825,.,835,85,.,17,.,102,4,.,4,.,
3,2014,9750.0,Jo-Carroll Energy Coop Inc,IL,MISO,79,22,0,.,101,0,0,.,.,0,2754,1570,0,.,4324,0.2,0,.,.,0.2,12,2,.,.,14,45,7,1,.,53,86,25,0,.,111,140,23,2,.,164,12.855,12.383,0,.,
4,2014,12341.0,MidAmerican Energy Co,IL,MISO,7363,3566,3265,.,14194,8.3,0.6,0.4,.,9.3,39585,41132,46481,.,127198,5.59,0.5,0.39,.,6.48,1502,529,932,.,2963,685,147,237,.,1069,1502,529,932,.,2963,685,147,237,.,1069,5.38,11.54,14.24,.,https://efs.iowa.gov/efs/ShowDocketSummary.do?docketNumber=EEP-2012-0002
5,2014,12395.0,Menard Electric Coop,IL,MISO,699,.,.,.,699,.,.,.,.,.,10485,.,.,.,10485,.,.,.,.,.,8,.,.,.,8,3,.,.,.,3,8,.,.,.,8,3,.,.,.,3,15,.,.,.,
6,2014,12803.0,"Monroe County Elec Coop, Inc",IL,MISO,225,.,.,.,225,0.1,.,.,.,0.1,3375,.,.,.,3375,1.3,.,.,.,1.3,23,.,.,.,23,0,.,.,.,0,23,.,.,.,23,0,.,.,.,0,15,.,.,.,
7,2014,13208.0,City of Naperville - (IL),IL,PJM,0,2542,0,0,2542,0,0.3,0,0,0.3,0,5084,0,0,5084,0,0.6,0,0,0.6,0,200,0,0,200,0,0,0,0,0,0,200,0,0,200,0,0,0,0,0,.,2,.,.,
8,2014,17828.0,City of Springfield - (IL),IL,MISO,1752,2901,.,.,4653,0.8,0.7,.,.,1.5,23696,20327,.,.,44023,0.082,0.063,.,.,0.145,551,202,.,.,753,260,187,.,.,447,551,202,.,.,753,260,187,.,.,447,14.34,13,.,.,
9,2014,40211.0,"Wabash Valley Power Assn, Inc",IL,MISO,.,340,184,.,524,.,0.1,0,0,0.1,.,4756,2387,.,7143,.,0.1,0.1,.,0.2,88,43,19,.,150,87,76,34,.,197,88,43,19,.,150,87,76,34,.,197,16,14,13,.,
10,2014,56697.0,Ameren Illinois Company,IL,MISO,177760,176344,.,.,354104,.,.,.,.,.,965237,1987397,.,.,2952634,.,.,.,.,.,19782,18705,.,.,38487,11641,11465,.,.,23106,19782,18705,.,.,38487,11641,11465,.,.,23106,5.43,11.27,.,.,www.ilsag.info/evaluation-documents.html
