,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
0,2014,97.0,Adams Electric Coop,IL,Cooperative,217.8,2.473,88.071169,143.4,1.805,79.445983,106.2,0.989,107.38119,8751,34.5,Y,.,.,.,.,.,.,.,,,.,
1,2014,1325.0,City of Batavia - (IL),IL,Municipal,88.191,1.279,68.953088,27.45,0.525,52.285714,88.191,1.279,68.953088,10888,34.5,N,.,.,.,.,.,.,.,,,.,
2,2014,4110.0,Commonwealth Edison Co,IL,Investor Owned,205,1.05,195.2381,74,0.87,85.057471,205,1.05,195.2381,3831214,34,Y,.,.,.,.,.,.,.,,,.,
3,2014,4362.0,Corn Belt Energy Corporation,IL,Cooperative,373.7,2.39,156.35983,335.9,2.3,146.04348,203.3,1.05,193.61905,35296,69,Y,.,.,.,.,.,.,.,,,.,
4,2014,5585.0,Eastern Illinois Elec Coop,IL,Cooperative,277.9,2.56,108.55469,125.2,1.41,88.794326,252.7,2.13,118.6385,13494,7.2,Y,.,.,.,.,.,.,.,,,.,
5,2014,7096.0,City of Geneva- (IL),IL,Municipal,15.737,0.21,74.938095,15.737,0.21,74.938095,.,.,.,10153,34.5,N,.,.,.,.,.,.,.,,,.,
6,2014,9750.0,Jo-Carroll Energy Coop Inc,IL,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,162,1.11,145.94595,.,.,.,21696,Y,L,35,N
7,2014,12341.0,MidAmerican Energy Co,IL,Investor Owned,243,1.22,199.18033,94,0.93,101.07527,235,1.08,217.59259,84944,13.8,Y,.,.,.,.,.,.,.,,,.,
8,2014,12395.0,Menard Electric Coop,IL,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,384,3.175,120.94488,384,3.175,120.94488,10939,N,O,12.5,N
9,2014,12803.0,"Monroe County Elec Coop, Inc",IL,Cooperative,123.4,0.03,4113.3333,123.4,0.03,4113.3333,103.9,0.03,3463.3333,7239,12,N,.,.,.,.,.,.,.,,,.,
10,2014,13032.0,Mt Carmel Public Utility Co,IL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,307.84,4.16,74,111.89,1.67,67,5654,N,L,7,N
11,2014,13208.0,City of Naperville - (IL),IL,Municipal,15,0.22,68.181818,.,.,.,.,.,.,58693,12.4,N,.,.,.,.,.,.,.,,,.,
12,2014,16420.0,Rural Electric Conven Coop,IL,Cooperative,126.4,1.229,102.84784,87.6,0.931,94.092374,91.6,0.792,115.65657,5773,15,Y,.,.,.,.,.,.,.,,,.,
13,2014,17631.0,Southern Illinois Elec Coop,IL,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,157,.,.,157,.,.,11291,N,O,12.5,Y
14,2014,17697.0,Southwestern Electric Coop Inc - (IL),IL,Cooperative,295,2.301,128.20513,127,1.387,91.564528,264.2,1.387,190.48306,22588,13,Y,.,.,.,.,.,.,.,,,.,
15,2014,17828.0,City of Springfield - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,75,0.791,94.816688,.,.,.,69908,N,F,12.5,N
16,2014,17860.0,City of St Charles - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,42,0.69,60.869565,42,0.69,60.869565,15526,Y,L,12.4,N
17,2014,18955.0,"Tri-County Electric Coop, Inc",IL,Cooperative,239.2,1.78,134.38202,171.9,1.47,116.93878,159.4,1.23,129.5935,16193,12.5,Y,.,.,.,.,.,.,.,,,.,
18,2014,20824.0,Village of Winnetka - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,72,1.262,57.052298,.,.,.,5036,N,F,12.4,Y
19,2014,56697.0,Ameren Illinois Company,IL,Investor Owned,175,1.31,133.58779,139,1.15,120.86957,172,1.27,135.43307,1234473,69,Y,.,.,.,.,.,.,.,,,.,
