Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Photovoltaic,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Wind,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Other,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Total,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2014,84,A & N Electric Coop,VA,0.046,0.125,0,0,0.171,12,8,0,0,20,.,.,.,.,0,0.012,0,0,0,0.012,5,0,0,0,5,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.058,0.125,0,0,0.183,17,8,0,0,25,0,0,0,0,0
2014,97,Adams Electric Coop,IL,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.015,.,.,.,0.015,5,.,.,.,5,5,.,.,.,5,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.015,0,0,0,0.015,5,0,0,0,5,5,0,0,0,5
2014,108,Adams-Columbia Electric Coop,WI,0.31,0.05,.,.,0.36,36,2,.,.,38,230,26,.,.,256,0.025,0.05,.,.,0.075,2,1,.,.,3,10,62,.,.,72,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.335,0.1,0,0,0.435,38,3,0,0,41,240,88,0,0,328
2014,155,Agralite Electric Coop,MN,0.045,.,.,.,0.045,2,.,.,.,2,77.94,.,.,.,77.94,0.299,.,.,.,0.299,15,.,.,.,15,204.85,.,.,.,204.85,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.344,0,0,0,0.344,17,0,0,0,17,282.79,0,0,0,282.79
2014,162,Aiken Electric Coop Inc,SC,0.07,0.027,.,.,0.097,22,4,.,.,26,45.56,19.38,.,.,64.94,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.07,0.027,0,0,0.097,22,4,0,0,26,45.56,19.38,0,0,64.94
2014,176,Ajo Improvement Co,AZ,.,0.033,.,.,0.033,.,3,.,.,3,.,11.055,.,.,11.055,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0,0.033,0,0,0.033,0,3,0,0,3,0,11.055,0,0,11.055
2014,195,Alabama Power Co,AL,0.266,0.205,.,.,0.471,62,16,.,.,78,131.123,163.072,.,.,294.195,.,0.002,.,.,0.002,.,1,.,.,1,.,0.002,.,.,0.002,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.266,0.207,0,0,0.473,62,17,0,0,79,131.123,163.074,0,0,294.197
2014,201,City of Alachua - (FL),FL,0.001,0.039,.,.,0.04,1,2,.,.,3,0,6.33,.,.,6.33,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.001,0.039,0,0,0.04,1,2,0,0,3,0,6.33,0,0,6.33
2014,207,City of Alameda,CA,0.825,1.35,.,.,2.175,202,19,.,.,221,86.7,180,.,.,266.7,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.825,1.35,0,0,2.175,202,19,0,0,221,86.7,180,0,0,266.7
2014,219,Alaska Power and Telephone Co,AK,0.012,0.011,.,.,0.023,3,1,.,.,4,13.635,11.06,.,.,24.695,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.012,0.011,0,0,0.023,3,1,0,0,4,13.635,11.06,0,0,24.695
2014,240,Albemarle Electric Member Corp,NC,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,0.05,.,.,0.05,.,1,.,.,1,.,0,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0,0.05,0,0,0.05,0,1,0,0,1,0,0,0,0,0
2014,296,"Alfalfa Electric Coop, Inc",OK,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.002,0.003,.,.,0.005,1,3,.,.,4,0.5,0.9,.,.,1.4,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.002,0.003,0,0,0.005,1,3,0,0,4,0.5,0.9,0,0,1.4
2014,305,Alger-Delta Coop Electric Assn,MI,0.058,.,0,0,0.058,17,.,0,0,17,0.034,.,0,0,0.034,0.023,.,0,0,0.023,5,.,0,0,5,0.012,0,0,0,0.012,0.003,0,0,0,0.003,1,0,0,0,1,0.004,0,0,0,0.004,0.084,0,0,0,0.084,23,0,0,0,23,0.05,0,0,0,0.05
2014,329,"Allamakee-Clayton El Coop, Inc",IA,0.255,0.036,.,.,0.291,24,1,.,.,25,152.45,1.855,.,.,154.305,0.015,0.005,.,.,0.02,4,1,.,.,5,2.065,0,.,.,2.065,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.27,0.041,0,0,0.311,28,2,0,0,30,154.515,1.855,0,0,156.37
2014,367,City of Alliance- (NE),NE,0.005,.,.,.,0.005,1,.,.,.,1,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.005,0,0,0,0.005,1,0,0,0,1,0,0,0,0,0
2014,392,Alpena Power Co,MI,.,0.01,.,.,0.01,.,1,.,.,1,.,.,.,.,0,0.03,.,.,.,0.03,17,.,.,.,17,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.03,0.01,0,0,0.04,17,1,0,0,18,0,0,0,0,0
2014,407,Altamaha Electric Member Corp,GA,0.03,.,.,.,0.03,3,.,.,.,3,1,.,.,.,1,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.03,0,0,0,0.03,3,0,0,0,3,1,0,0,0,1
2014,554,City of Ames - (IA),IA,0.01,0.008,.,.,0.018,4,1,.,.,5,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.01,0.008,0,0,0.018,4,1,0,0,5,0,0,0,0,0
2014,562,Amicalola Electric Member Corp,GA,0.139,0.155,.,.,0.294,18,4,.,.,22,4.326,28.258,.,.,32.584,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.139,0.155,0,0,0.294,18,4,0,0,22,4.326,28.258,0,0,32.584
