,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,"|..""Data Type O = Observed I = Imputed""|"
0,2021,1325,City of Batavia - (IL),IL,Municipal,RFC,88.7,50.9,.,"440,270",0,0,0,.,.,0,.,"440,270","424,644",.,.,.,"15,626","440,270","46,821.0",.,0.0,.,.,"2,285.0","49,106.0",O
1,2021,3931,Coles-Moultrie Electric Coop,IL,Cooperative,SERC,42.6,46.0,.,"216,718",0,0,0,.,.,0,.,"216,718","204,668",.,.,430,"11,620","216,718","26,394.0",.,.,.,.,236.0,"26,630.0",O
2,2021,4110,Commonwealth Edison Co,IL,Investor Owned,RFC,"21,167.0","14,120.0",.,"32,461,509",0,0,0,.,.,0,.,"32,461,509","29,396,464","951,462","409,865","65,238","1,638,480","32,461,509","3,734,915.9","1,673,004.8","30,207.2",.,"756,627.7","160,919.8","6,355,675.4",O
3,2021,4362,Corn Belt Energy Corporation,IL,Cooperative,RFC,145.7,118.2,.,"671,770",0,0,0,.,.,0,.,"671,770","648,498",.,.,"1,286","21,986","671,770","78,985.5",.,.,.,.,164.5,"79,150.0",O
4,2021,5535,Egyptian Electric Coop Assn,IL,Cooperative,RFC,72.0,96.8,.,"335,319",0,0,0,.,.,0,.,"335,319","303,976",.,.,.,"31,343","335,319","40,557.2",.,.,.,.,.,"40,557.2",O
5,2021,5585,Eastern Illinois Elec Coop,IL,Cooperative,RFC,49.0,51.6,.,"260,015",0,0,0,.,.,0,.,"260,015","241,649",.,99,"18,267",.,"260,015","34,165.0",.,.,-1.0,.,29.0,"34,193.0",O
6,2021,5748,Electric Energy Inc,IL,Investor Owned,SERC,.,.,"5,059,763",0,0,0,0,0,0,0,0,"5,059,763",0,"5,059,763",0,0,0,"5,059,763",0.0,0.0,"159,325.0",0.0,0.0,0.0,"159,325.0",O
7,2021,7096,City of Geneva- (IL),IL,Municipal,RFC,91.3,68.5,"4,355","394,726",0,0,0,.,.,0,"-13,433","385,648","369,818",.,.,.,"15,830","385,648","35,145.0",.,.,.,.,832.0,"35,977.0",O
8,2021,9286,Illinois Municipal Elec Agency,IL,Municipal Mktg Authority,SERC,920.5,579.6,"2,938,402","880,735",0,0,0,.,.,0,.,"3,819,137",.,"3,819,137",.,.,.,"3,819,137",.,.,"310,896.0",.,.,"5,530.0","316,426.0",O
9,2021,9750,"Jo-Carroll Energy, Inc",IL,Cooperative,MRO,74.3,59.9,160,"358,142",0,0,0,0,0,0,0,"358,302","353,028","4,319",0,300,655,"358,302","48,044.0","1,390.8",396.2,0.0,0.0,0.0,"49,831.0",O
