,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Number of.Customers Enrolled.Residential|,|Number of.Customers Enrolled.Commercial|,|Number of.Customers Enrolled.Industrial|,|Number of.Customers Enrolled.Transportation|,|Number of.Customers Enrolled.Total|,|Types of Program.Time of Use Pricing.Residential|,|Types of Program.Time of Use Pricing.Commercial|,|Types of Program.Time of Use Pricing.Industrial|,|Types of Program.Time of Use Pricing.Transportation|,|Types of Program.Real Time Pricing.Residential|,|Types of Program.Real Time Pricing.Commercial|,|Types of Program.Real Time Pricing.Industrial|,|Types of Program.Real Time Pricing.Transportation|,|Types of Program.Variable Peak Pricing.Residential|,|Types of Program.Variable Peak Pricing.Commercial|,|Types of Program.Variable Peak Pricing.Industrial|,|Types of Program.Variable Peak Pricing.Transportation|,|Types of Program.Critical Peak Pricing.Residential|,|Types of Program.Critical Peak Pricing.Commercial|,|Types of Program.Critical Peak Pricing.Industrial|,|Types of Program.Critical Peak Pricing.Transportation|,|Types of Program.Critical Peak Rebate.Residential|,|Types of Program.Critical Peak Rebate.Commercial|,|Types of Program.Critical Peak Rebate.Industrial|,|Types of Program.Critical Peak Rebate.Transportation|
0,97,Adams Electric Coop,Y,IL,MISO,54,8,.,.,62,,,,,,,,,,,,,,,,,,,,
1,970,Homefield Energy,,IL,MISO,.,46,10,.,56,,Y,Y,,,,,,,,,,,,,,,,,
2,4110,Commonwealth Edison Co,,IL,PJM,"361,089","9,500",146,0,"370,735",Y,,,,Y,Y,Y,,,,,,,,,,Y,,,
3,4362,Corn Belt Energy Corporation,,IL,MISO,70,3,.,.,73,Y,Y,,,,,,,,,,,,,,,,,,
4,7096,City of Geneva- (IL),,IL,PJM,.,.,5,.,5,,,Y,,,,,,,,,,,,,,,,,
5,7279,"NextEra Energy Services, LLC",,IL,MISO,.,1,.,.,1,,,,,,Y,,,,,,,,,,,,,,
6,9209,Illinois Rural Electric Coop,Y,IL,PJM,.,284,.,.,284,,,,,,,,,,,,,,,,,,,,
7,9750,"Jo-Carroll Energy, Inc",,IL,MISO,.,.,13,.,13,,,Y,,,,,,,,,,,,,,,,,
8,12341,MidAmerican Energy Co,,IL,MISO,9,183,50,.,242,Y,Y,Y,,,,,,,,,,,,,,,,,
9,13374,"Constellation NewEnergy, Inc",,IL,PJM,31,"12,777",336,.,"13,144",,Y,Y,,Y,Y,Y,,,,,,,,,,,,,
10,14840,City of Peru - (IL),,IL,MISO,.,1,.,.,1,,Y,,,,,,,,,,,,,,,,,,
11,16179,Rochelle Municipal Utilities,,IL,PJM,.,.,34,.,34,,,Y,,,,,,,,,,,,,,,,,
12,17828,City of Springfield - (IL),,IL,MISO,8,.,.,.,8,Y,,,,,,,,,,,,,,,,,,,
13,20222,Wayne-White Counties Elec Coop,,IL,MISO,5,.,.,.,5,Y,,,,,,,,,,,,,,,,,,,
14,20824,Village of Winnetka - (IL),Y,IL,PJM,.,1,.,.,1,,,,,,,,,,,,,,,,,,,,
15,50046,"Texas Retail Energy, LLC",,IL,PJM,.,122,.,.,122,,,,,,Y,,,,,,,,,,,,,,
16,50046,"Texas Retail Energy, LLC",,IL,MISO,.,91,.,.,91,,,,,,Y,,,,,,,,,,,,,,
17,56379,"MC Squared Energy Services, LLC",,IL,PJM,0,"1,129",29,0,"1,158",,Y,Y,Y,,,,,,,,,,,,,,,,
18,56697,Ameren Illinois Company,,IL,MISO,"144,052","1,573",54,0,"145,679",,,,,Y,Y,Y,,,,,,,,,,Y,,,
19,59385,"Dynegy Energy Services, LLC",,IL,PJM,.,49,.,.,49,,Y,,,,,,,,,,,,,,,,,,
20,59619,"EDF Energy Services, LLC",,IL,PJM,.,18,8,.,26,,,,,,Y,Y,,,,,,,,,,,,,
21,59808,MP2 Energy LLC,,IL,PJM,0,"3,177",78,0,"3,255",,,,,,Y,Y,,,,,,,,,,,,,
22,59931,"MidAmerican Energy Services, LLC",,IL,PJM,.,214,5,.,219,,,,,,Y,Y,,,,,,,,,,,,,
23,59931,"MidAmerican Energy Services, LLC",,IL,MISO,.,710,26,.,736,,,,,,Y,Y,,,,,,,,,,,,,
24,61131,Freepoint Energy Solutions LLC,,IL,PJM,0,94,0,0,94,,,,,,Y,,,,,,,,,,,,,,
25,63489,"Tenaska Power Management, LLC",,IL,MISO,.,2,.,.,2,,,,,,Y,,,,,,,,,,,,,,
