|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
2017,122,Village of Arcade - (NY),NY,NYIS,18.65,589.91,22.5,.,631.06,3.19,10.08,3.84,.,17.11,2913,515,340,.,3768,6.63,16.79,5.81,.,29.23,22.27,190,29,.,241.27,20,9,0.005,.,29.005,45.73,15.73,8.46,.,69.92,24,10.5,0.005,.,34.505,10,12,12,.,
2017,150,Adrian Public Utilities Comm,MN,MISO,101.6,139.9,17.3,0,258.8,0.01,0.02,0.002,0,0.032,1474.8,1678.5,207.5,0,3360.8,0.01,0.02,0.002,0,0.032,5.9,4.6,0.6,0,11.1,1.9,1.5,0.2,0,3.6,5.9,4.6,0.6,0,11.1,1.9,1.5,0.2,0,3.6,14.5,14.5,14.5,0,
2017,189,PowerSouth Energy Cooperative,AL,AEC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,915,.,.,.,915,556,.,.,.,556,1892,.,.,.,1892,1021,.,.,.,1021,15,.,.,.,
2017,195,Alabama Power Co,AL,SOCO,6120.08,4403.36,1088.01,0,11611.45,2.53,3.47,0,0,6,75426.79,37145.42,3500.49,0,116072.7,1.72,3.91,0,0,5.63,136.48,0,0,0,136.48,2289.02,748.46,270.71,0,3308.19,136.48,0,0,0,136.48,2289.02,748.46,270.71,0,3308.19,10.98,13.1,5,0,
2017,207,City of Alameda,CA,CISO,753.364,1541.391,.,.,2294.755,0.006,0.3,.,.,0.306,1577.693,22057.469,.,.,23635.162,0.006,0.3,.,.,0.306,21.343,360.831,.,.,382.174,294.034,428.076,.,.,722.11,21.343,360.831,.,.,382.174,294.034,428.076,.,.,722.11,20.93,14.31,.,.,
2017,295,City of Alexandria - (MN),MN,MISO,366.6,1421.2,5039,.,6826.8,0.061,0.278,0.986,.,1.325,5373.4,17572.3,62301.8,.,85247.5,0.061,0.278,0.986,.,1.325,41.4,78.2,277.3,.,396.9,13.7,25.8,91.5,.,131,41.4,78.2,277.3,.,396.9,13.7,25.8,91.5,.,131,14.7,14.7,14.7,.,
2017,309,City of Algona - (IA),IA,SWPP,50.27,284.71,69.11,.,404.09,0.07,0.06,0.01,.,0.14,1069,5727.03,1357.66,.,8153.69,0.07,0.06,0.01,.,0.14,46,48.51,9.34,.,103.85,1.47,8.34,2.02,.,11.83,46,48.51,9.34,.,103.85,1.47,8.34,2.02,.,11.83,21.27,20.12,19.65,.,
2017,329,"Allamakee-Clayton El Coop, Inc",IA,MISO,1554,308,0,0,1862,0.2,0.1,0,0,0.3,21739,4338,0,0,26077,0.2,0.1,0,0,0.3,72,11,0,0,83,19,1,0,0,20,72,11,0,0,83,19,1,0,0,20,13.989,14.084,0,0,
2017,407,Altamaha Electric Member Corp,GA,SOCO,6.314,.,226.446,.,232.76,1.147,.,1.147,.,2.294,6.314,.,226.446,.,232.76,1.147,.,1.147,.,2.294,.,.,.,.,.,5,.,5,.,10,4.5,.,4.5,.,9,4.5,.,4.5,.,9,1,.,1,.,
2017,554,City of Ames - (IA),IA,MISO,2549,1697,.,.,4246,1.57,1.43,.,.,3,38159,28442,.,.,66601,1.25,1.01,.,.,2.26,512.57,530.98,.,.,1043.55,170.86,170.86,.,.,341.72,512.57,530.98,.,.,1043.55,170.86,170.86,.,.,341.72,14.97,16.76,.,.,
