Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2017,34,City of Abbeville - (SC),Y,SC,DUK,2952,470,0,.,3422,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2952,470,0,0,3422,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,55,City of Aberdeen - (MS),,MS,TVA,0,0,0,0,0,0,19,1,0,20,0,0,0,0,0,2576,634,1,0,3211,2576,653,2,0,3231,0,677.38,116251.34,0,116928.71,0,0,0,0,0,0,0,0,0,0
2017,59,City of Abbeville - (LA),,LA,MISO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4464,1032,27,0,5523,4464,1032,27,0,5523,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,84,A & N Electric Coop,,MD,PJM,274,27,.,.,301,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,274,27,0,0,301,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,84,A & N Electric Coop,,VA,PJM,31261,2917,4,.,34182,.,.,.,.,.,.,.,.,.,.,48,1075,4,.,1127,31309,3992,8,0,35309,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,87,City of Ada - (MN),Y,MN,MISO,989,159,23,.,1171,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,989,159,23,0,1171,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,97,Adams Electric Coop,,IL,MISO,.,.,.,.,.,11627,222,.,.,11849,.,.,.,.,.,.,.,.,.,.,11627,222,0,0,11849,109301,55057,.,.,164358,8603,222,.,.,8825,4293,.,.,.,4293
2017,108,Adams-Columbia Electric Coop,,WI,MISO,34138,2063,926,.,37127,.,.,.,.,.,.,.,.,.,.,.,11,.,.,11,34138,2074,926,0,37138,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,118,"Adams Rural Electric Coop, Inc",,OH,PJM,.,.,.,.,0,7136,326,.,.,7462,.,.,.,.,.,.,.,.,.,.,7136,326,0,0,7462,87563,15766,.,.,103329,.,.,.,.,.,.,.,.,.,.
2017,122,Village of Arcade - (NY),,NY,NYIS,3619,587,15,.,4221,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3619,587,15,0,4221,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,123,City of Adel- (GA),,GA,SOCO,.,.,.,.,.,2041,572,15,0,2628,.,.,.,.,.,0,0,0,0,0,2041,572,15,0,2628,25660,35325,54817,0,115802,.,.,.,.,.,.,.,.,.,.
