,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
0,4110.0,Commonwealth Edison Co,,IL,PJM,"1,010,241","1,087,182",0,0,"2,097,423",108.0,153.0,0.0,0.0,261.0,"7,597,833","12,038,446",0,0,"19,636,279",108.0,153.0,0.0,0.0,261.0,"83,453","129,113",0,0.0,"212,566","39,281","57,418",0,0.0,"96,699","83,453","129,113",0,0.0,"212,566","39,281","57,418",0,0.0,"96,699",7.41,11.35,0.0,0.0,http://www.ilsag.info/evaluation-documents.html
1,5585.0,Eastern Illinois Elec Coop,,IL,MISO,566,0,0,0,566,0.0,0.0,0.0,0.0,0.0,"8,490",0,0,0,"8,490",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,3,0,0,0.0,3,0,0,0,0.0,0,50,0,0,0.0,50,15.0,0.0,0.0,0.0,
2,9286.0,Illinois Municipal Elec Agency,,IL,MISO,141,0,"7,648",0,"7,789",0.0,0.0,0.9,0.0,1.0,564,0,"30,592",0,"31,156",0.0,0.0,0.9,0.0,1.0,11,0,828,0.0,839,11,0,17,0.0,28,11,0,828,0.0,839,11,0,17,0.0,28,4.0,0.0,4.0,0.0,
3,9750.0,"Jo-Carroll Energy, Inc",,IL,MISO,127,574,0,0,701,0.0,0.0,0.0,0.0,0.1,"1,782","7,955",0,0,"9,737",0.0,0.0,0.0,0.0,0.1,21,8,0,0.0,29,0,0,0,0.0,0,21,8,0,0.0,29,0,0,0,0.0,0,14.031,13.859,0.0,0.0,
4,12341.0,MidAmerican Energy Co,,IL,MISO,"12,705","5,747","3,346",0,"21,798",3.9,1.0,0.4,0.0,5.3,"56,750","80,447","44,186",0,"181,383",2.5,0.9,0.4,0.0,3.8,"1,084",650,789,0.0,"2,523",349,230,214,0.0,793,"1,084",650,789,0.0,"2,523",349,230,214,0.0,793,4.47,14.0,13.21,0.0,https://www.icc.illinois.gov/docket/P2013-0423/documents
5,12395.0,Menard Electric Coop,,IL,MISO,263,0,0,0,263,0.0,0.0,0.0,0.0,0.0,"3,948",0,0,0,"3,948",0.0,0.0,0.0,0.0,0.0,3,0,0,0.0,3,1,0,0,0.0,1,3,0,0,0.0,3,1,0,0,0.0,1,15.0,0.0,0.0,0.0,
6,12803.0,"Monroe County Elec Coop, Inc",,IL,MISO,290,0,0,0,290,0.1,0.0,0.0,0.0,0.1,"4,350",0,0,0,"4,350",0.1,0.0,0.0,0.0,0.1,29,0,0,0.0,29,0,0,0,0.0,0,29,0,0,0.0,29,0,0,0,0.0,0,15.0,0.0,0.0,0.0,
7,17828.0,City of Springfield - (IL),,IL,MISO,428,709,0,0,"1,138",0.1,0.2,0.0,0.0,0.2,"5,898","10,641",0,0,"16,539",0.1,0.2,0.0,0.0,0.2,51,182,0,0.0,232,263,53,0,0.0,316,51,182,0,0.0,232,263,53,0,0.0,316,11.18,15.0,0.0,0.0,www.cwlp.com
8,40211.0,"Wabash Valley Power Assn, Inc",,IL,MISO,0,"4,029",667,0,"4,696",0.0,0.4,0.1,0.0,0.6,0,"57,252","8,865",0,"66,117",0.0,0.4,0.1,0.0,0.6,46,307,76,0.0,429,28,57,56,0.0,141,46,307,76,0.0,429,28,57,56,0.0,141,23.492,14.211,13.292,0.0,
9,56697.0,Ameren Illinois Company,,IL,MISO,"127,986","205,338",0,0,"333,324",20.3,33.1,0.0,0.0,53.4,"931,580","2,562,095",0,0,"3,493,675",20.3,33.1,0.0,0.0,53.4,"28,112","32,630",0,0.0,"60,742","20,829","14,437",0,0.0,"35,266","28,112","32,630",0,0.0,"60,742","20,829","14,437",0,0.0,"35,266",10.325,13.241,0.0,0.0,
