Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2015,34,City of Abbeville - (SC),Y,SC,DUK,2955,488, , ,3443, , , , , , , , , , , , , , , ,2955,488,0,0,3443, , , , , , , , , , , , , , , 
2015,55,City of Aberdeen - (MS),,MS,TVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2609,645,2,0,3256,2609,645,2,0,3256,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
2015,59,City of Abbeville - (LA),,LA,MISO, , , , ,0, , , , ,0, , , , ,0,4576,1031,28, ,5635,4576,1031,28,0,5635, , , , ,0, , , , ,0, , , , ,0
2015,84,A & N Electric Coop,,MD,PJM,268,44, , ,312, , , , , , , , , , , , , , , ,268,44,0,0,312, , , , , ,220,36, , ,256, , , , , 
2015,84,A & N Electric Coop,,VA,PJM,30847,2854,4, ,33705, , , , , , , , , ,0,48,1077,4, ,1129,30895,3931,8,0,34834, , , , , , , , , , , , , , , 
2015,87,City of Ada - (MN),Y,MN,MISO,360,16,2, ,378, , , , ,0, , , , , , , , , , ,360,16,2,0,378, , , , ,0, , , , , , , , , , 
2015,97,Adams Electric Coop,,IL,MISO, , , , , ,11500,216, , ,11716, , , , , , , , , , ,11500,216,0,0,11716,109511,52301, , ,161812,8461,216, , ,8677,4217, , , ,4217
2015,108,Adams-Columbia Electric Coop,,WI,MISO,33718,1881,885, ,36484, , , , , , , , , , , ,11, , ,11,33718,1892,885,0,36495, , , , , , , , , , , , , , , 
2015,118,"Adams Rural Electric Coop, Inc",,OH,PJM,7395,13, , ,7408, , , , , , , , , , , , , , , ,7395,13,0,0,7408, , , , , , , , , , , , , , , 
2015,122,Village of Arcade - (NY),,NY,NYIS,3601,570,15, ,4186, , , , , , , , , , , , , , , ,3601,570,15,0,4186, , , , , , , , , , , , , , , 
