|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
2015,122,Village of Arcade - (NY),NY,NYIS,291,51,.,.,342,50,9,.,.,59,2913,515,.,.,3428,43.9,11.9,.,.,55.8,69,20,.,.,89,0,0,.,.,0,69,20,.,.,89,0,0,.,.,0,14,2,.,.,
2015,150,Adrian Public Utilities Comm,MN,MISO,75,43,5,0,123,0,0,0,0,0,939,502,62,0,1503,0,0,0,0,0,5,3,1,0,9,5,3,0,0,8,5,3,1,0,9,5,3,0,0,8,12.6,11.6,11.6,0,
2015,195,Alabama Power Co,AL,SOCO,6427,4766,1564,.,12757,1.6,6.7,0,.,8.3,76539.889,35075.223,2788.8,.,114403.912,1.92,3.43,0.1,.,5.45,313,0,0,.,313,2532,1166,593,.,4291,313,0,0,.,313,2532,1166,593,.,4291,20.08,11.59,5,.,
2015,207,City of Alameda,CA,CISO,1941,449,.,.,2390,1,0.1,.,.,1.1,9369,6678,.,.,16047,1,0.1,.,.,1.1,389,99,.,.,488,459,229,.,.,688,389,99,.,.,488,459,229,.,.,688,5,12,.,.,http:/media.alamedamp.com/assets/PUB/2016/01/16-0125-4F_SB%20103.pdf
2015,295,City of Alexandria - (MN),MN,MISO,368,771,2735,.,3874,0.1,0.1,0.5,.,0.7,4269,8484,30078,.,42831,0.1,0.1,0.5,.,0.7,48,39,139,.,226,43,35,123,.,201,48,39,139,.,226,43,35,123,.,201,11.6,11,11,.,
2015,309,City of Algona - (IA),IA,SWPP,224,295,412,.,931,0.2,0.1,0.1,.,0.4,4656,5730,8092,.,18478,0.2,0.1,0.1,.,0.4,58,46,15,.,119,17,15,8,.,40,58,46,15,.,119,17,15,8,.,41,20.8,19.5,19.6,.,
2015,329,"Allamakee-Clayton El Coop, Inc",IA,MISO,1850,155,.,.,2005,0.2,0,.,.,0.2,25980,1878,.,.,27858,2.8,0,.,.,2.8,80,11,.,.,91,129,7,.,.,136,80,11,.,.,91,129,7,.,.,136,14.044,23.53,.,.,
2015,554,City of Ames - (IA),IA,MISO,1437,4412,.,.,5849,1.4,1.2,.,.,2.6,18624,45444,.,.,64068,1.18,1.14,.,.,2.32,474,430,.,.,904,80,80,.,.,160,474,430,.,.,904,80,80,.,.,160,12.96,10.3,.,.,
2015,590,City of Anaheim - (CA),CA,CISO,11653,12513,5363,.,29529,7.5,2.7,1.2,.,11.4,165747,106102,45472,.,317321,7.5,2.7,1.2,.,11.4,1949,1294,554,.,3797,274,251,108,.,633,5264,3752,1497,.,10513,741,728,290,.,1759,2.7,2.9,2.7,.,
2015,691,City of Anoka,MN,MISO,2943,957,0,0,3900,1,2.8,0,0,3.8,6631,7679,0,0,14310,0.6,1,0,0,1.6,93,61,0,0,154,221,25,0,0,246,402,439,0,0,841,1086,134,0,0,1220,7,7,0,0,
2015,733,Appalachian Power Co,VA,PJM,2165,0,0,0,2165,1.1,0,0,0,1.1,20039,0,0,0,20039,1.1,0,0,0,1.1,443,0,0,0,443,1016,0,0,0,1016,443,0,0,0,443,1016,0,0,0,1016,9.3,0,0,0,
