|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
2015,97,Adams Electric Coop,IL,Cooperative,575.5,2.834,203.06987,167.1,1.645,101.58055,374.7,1.351,277.35011,8790,12.5,Y,.,.,.,.,.,.,.,,,.,
2015,108,Adams-Columbia Electric Coop,WI,Cooperative,121.38,0.773,157.02458,67.17,0.595,112.89076,114.05,0.713,159.95792,36248.5,12,Y,.,.,.,.,.,.,.,,,.,
2015,155,Agralite Electric Coop,MN,Cooperative,131.5,1.464,89.822404,131.5,1.464,89.822404,124.185,1.056,117.59943,5196,12,N,.,.,.,.,.,.,.,,,.,
2015,162,Aiken Electric Coop Inc,SC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,181.83,.,.,130.52,.,.,46325,N,L,25,N
2015,195,Alabama Power Co,AL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,203.1,1.651,123.01635,116.8,1.164,100.34364,1454676,N,F,35,Y
2015,207,City of Alameda,CA,Municipal,16.4,0.114,143.85965,.,.,.,.,.,.,34626,12,N,.,.,.,.,.,.,.,,,.,
2015,213,Alaska Electric Light&Power Co,AK,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,138,.,.,.,.,.,16539,N,O,12.5,N
2015,232,City of Albemarle - (NC),NC,Municipal,.,.,.,.,.,.,.,.,.,.,.,,72.71,1.04,69.913462,34.39,.,.,11821,N,L,14.4,N
2015,240,Albemarle Electric Member Corp,NC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,144,1,144,144,1,144,12644,N,F,12.5,N
2015,276,Alcorn County Elec Power Assn,MS,Cooperative,200.76,1.616,124.23267,.,.,.,.,.,.,18589,13.1,N,.,.,.,.,.,.,.,,,.,
2015,295,City of Alexandria - (MN),MN,Municipal,.,.,.,.,.,.,.,.,.,.,.,,17.034,0.2,85.17,.,.,.,9468,N,L,13.2,N
2015,305,Alger-Delta Coop Electric Assn,MI,Cooperative,108.4,1.09,99.449541,107.4,1.08,99.444444,49,0.5,98,9949,34.5,N,.,.,.,.,.,.,.,,,.,
2015,329,"Allamakee-Clayton El Coop, Inc",IA,Cooperative,123.648,0.884,139.8733,40.165,0.343,117.09913,123.648,0.884,139.8733,8848,12.5,Y,.,.,.,.,.,.,.,,,.,
2015,392,Alpena Power Co,MI,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,229.3,1.5,152.86667,96.7,1.1,87.909091,16392,N,L,13.2,N
2015,407,Altamaha Electric Member Corp,GA,Cooperative,89.8,1.25,71.84,31.3,0.51,61.372549,89.8,0.74,121.35135,20246,25,Y,.,.,.,.,.,.,.,,,.,
2015,554,City of Ames - (IA),IA,Municipal,38.72,0.86,45.023256,38.72,0.86,45.023256,38.72,0.86,45.023256,25568,13.8,N,.,.,.,.,.,.,.,,,.,
2015,562,Amicalola Electric Member Corp,GA,Cooperative,1119.5,4,279.875,498.6,3.1,160.83871,1115.5,4,278.875,46359,25,N,.,.,.,.,.,.,.,,,.,
2015,590,City of Anaheim - (CA),CA,Municipal,35,0.36,97.222222,35,0.36,97.222222,35,0.36,97.222222,115474,12,Y,.,.,.,.,.,.,.,,,.,
2015,599,Anchorage Municipal Light and Power,AK,Municipal,65.4,1.03,63.495146,65.4,1.03,63.495146,.,.,.,30932,35,N,.,.,.,.,.,.,.,,,.,
2015,636,City of Anderson - (IN),IN,Municipal,87.935,0.647,135.9119,87.935,0.647,135.9119,87.935,0.647,135.9119,33300,13.2,Y,.,.,.,.,.,.,.,,,.,
2015,689,Connexus Energy,MN,Cooperative,33.988,0.414,82.096618,23.981,0.335,71.585075,33.988,0.414,82.096618,129072.8,12.5,Y,.,.,.,.,.,.,.,,,.,
2015,691,City of Anoka,MN,Municipal,.,.,.,.,.,.,.,.,.,.,.,,40,2.5,16,31,0.8,38.75,11753,N,F,12.5,N
2015,694,Anza Electric Coop Inc,CA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,233.42,2.04,114.42157,23.64,0.06,394,4275,N,F,12,N
2015,727,Appalachian Electric Coop,TN,Cooperative,387.565,3.485,111.20947,117.336,1.635,71.765138,368.255,3.163,116.42586,45561,13.2,N,.,.,.,.,.,.,.,,,.,
2015,733,Appalachian Power Co,VA,Investor Owned,343,1.701,201.64609,311.5,1.655,188.21752,330.8,1.594,207.52823,525734,35,Y,.,.,.,.,.,.,.,,,.,
2015,733,Appalachian Power Co,WV,Investor Owned,1066.9,3.123,341.62664,641.6,2.771,231.54096,1013.2,2.839,356.88623,428721,35,Y,.,.,.,.,.,.,.,,,.,
