ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE,GeoLevel,Comparison,STATE_NAME,STATE_ABBR,COUNTY_FIPS,COUNTY_NAME
17,Illinois,IL,17001,Adams County,17001,"Adams County, Illinois",855.148811186626,65583,0,30226,106,27490,370,13551,1135,1344,295,5043,522,3038,411,3115,443,13151,135,14756,8,10961,755,1625,276,67,109,6093,121,1645,315,1475,270,533,164,1967,317,1532,50,21.1,1.8,3.9,0.9,18.3,1.9,6.7,0.9,4.8,0.7,20.1,0.2,22.5,0.1,17.0,1.2,5.9,1.0,0.1,0.2,9.3,0.2,5.4,1.0,4.9,0.9,1.9,0.5,7.2,1.1,2.3,0.1,0.4752,0.2376,0.3465,0.1881,0.3168,1.5642,0.2178,0.5347,0.7327,0.6337,0.6238,0.0594,2.5843,0.5941,0.4554,0.4554,0.4554,0.7228,0.4455,0.8119,0.6832,0.5149,3.1783,0.802,7.7822,0.4059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69859,4430,400,2565,296,1198,0,487,141,40,27,9,12,1698,322,96,75,16.1,1.4,3.9,0.5,1.8,0.0,0.7,0.2,0.1,0.1,0.0,0.1,2.6,0.5,0.1,0.1,County,State,Illinois,IL,17001,Adams County
17,Illinois,IL,17003,Alexander County,17003,"Alexander County, Illinois",235.393944174234,5261,0,3000,18,1727,121,1760,322,189,107,397,92,512,133,569,148,1236,10,1156,8,1234,151,127,55,0,68,1921,13,259,73,375,90,6,19,183,67,129,16,34.2,6.3,9.3,5.1,23.0,5.1,13.6,3.5,11.0,2.9,23.5,0.2,22.0,0.1,23.9,2.9,7.4,3.1,0.0,1.4,36.5,0.2,8.6,2.4,12.5,3.0,0.3,0.6,10.6,3.9,2.5,0.3,0.9802,1.0,0.8515,0.9109,0.9703,4.7129,1.0,0.8812,0.5941,0.9802,0.8911,0.0,3.3466,0.9604,0.9406,0.9406,0.9406,0.8812,0.8218,0.0594,0.9505,0.5644,3.2773,0.8614,12.2774,1.0,1,1,0,1,1,4,0,0,1,0,0,1,1,1,0,0,0,1,0,1,7,3552,686,96,1748,58,51,43,13,16,0,17,0,17,109,40,0,17,39.7,4.8,33.2,1.1,1.0,0.8,0.2,0.3,0.0,0.7,0.0,0.7,2.1,0.8,0.0,0.7,County,State,Illinois,IL,17003,Alexander County
17,Illinois,IL,17005,Bond County,17005,"Bond County, Illinois",380.336202926096,16750,0,6895,40,6220,156,3565,622,324,133,1230,239,1274,228,672,171,3026,49,3048,0,2739,313,443,146,16,77,2247,37,283,128,874,137,149,92,523,167,2039,63,24.3,4.2,4.3,1.7,19.8,3.8,11.1,2.0,4.4,1.1,18.1,0.3,18.2,0.0,17.9,2.0,7.1,2.3,0.1,0.5,13.4,0.2,4.1,1.9,12.7,2.0,2.4,1.3,8.4,2.7,12.2,0.4,0.7624,0.3366,0.5248,0.703,0.2079,2.5347,0.495,0.2376,0.0693,0.7426,0.8515,0.0594,1.9604,0.2079,0.604,0.604,0.604,0.5545,0.8317,0.901,0.8218,0.9802,4.0892,0.9901,9.1883,0.7426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,12778,1063,210,1160,151,637,0,77,59,120,71,0,19,239,151,14,12,17.1,3.4,6.9,0.9,3.8,0.0,0.5,0.4,0.7,0.4,0.0,0.2,1.4,0.9,0.1,0.1,County,State,Illinois,IL,17005,Bond County
17,Illinois,IL,17007,Boone County,17007,"Boone County, Illinois",280.740407852934,53459,0,20183,33,19024,312,8671,1120,2145,484,4288,547,4721,585,3034,580,8692,199,12906,53,7001,796,1059,302,1837,406,15750,175,527,178,1297,298,453,195,845,217,318,10,16.4,2.1,7.7,1.7,22.5,2.9,13.4,1.7,5.7,1.1,16.3,0.4,24.1,0.1,13.2,1.5,5.5,1.6,3.6,0.8,29.5,0.3,2.6,0.9,6.4,1.5,2.3,1.0,4.4,1.1,0.6,0.0,0.198,0.9208,0.8119,0.8812,0.6238,3.4357,0.8218,0.1188,0.9307,0.1683,0.4752,0.9505,2.6435,0.6139,0.8614,0.8614,0.8614,0.3762,0.5248,0.8911,0.2574,0.0495,2.099,0.3267,9.0396,0.6931,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,46049,2110,450,1117,228,12563,0,502,92,49,65,0,29,1497,291,22,36,11.1,2.3,2.1,0.4,23.5,0.0,0.9,0.2,0.1,0.1,0.0,0.1,2.8,0.5,0.0,0.1,County,State,Illinois,IL,17007,Boone County
17,Illinois,IL,17009,Brown County,17009,"Brown County, Illinois",305.726616155852,6334,0,2342,28,2066,100,1073,241,52,52,306,93,907,127,230,104,940,30,1117,59,924,203,101,52,66,79,1559,130,161,88,198,76,41,29,130,51,1693,51,23.2,5.2,2.1,2.1,14.8,4.4,19.7,2.8,5.0,2.2,14.8,0.5,17.6,0.9,19.9,4.3,4.9,2.5,1.1,1.3,24.6,2.1,6.9,3.8,8.5,3.2,2.0,1.2,6.3,2.4,26.7,0.8,0.6337,0.0198,0.0693,1.0,0.4257,2.1485,0.3762,0.0693,0.0198,0.8416,0.2673,0.7921,1.9901,0.2277,0.8119,0.8119,0.8119,0.8317,0.6535,0.8416,0.5743,1.0,3.9011,0.9802,8.8516,0.6337,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7514,404,110,1039,117,439,0,3,6,25,25,0,17,53,42,0,17,19.6,5.2,16.4,1.8,6.9,0.0,0.0,0.1,0.4,0.4,0.0,0.6,0.8,0.7,0.0,0.6,County,State,Illinois,IL,17009,Brown County
17,Illinois,IL,17011,Bureau County,17011,"Bureau County, Illinois",869.071035404446,33203,0,15640,40,13901,256,6981,657,964,171,2789,299,2295,270,2141,265,7415,32,6972,0,4655,315,744,149,319,116,4658,124,619,156,310,71,219,72,808,197,446,50,21.4,2.0,5.7,1.0,20.1,2.1,9.7,1.1,6.5,0.8,22.3,0.1,21.0,0.0,14.2,1.0,5.4,1.1,1.0,0.4,14.0,0.4,3.9,1.0,2.0,0.5,1.5,0.5,5.8,1.4,1.3,0.2,0.495,0.703,0.5842,0.604,0.7723,3.1585,0.7228,0.802,0.3663,0.2871,0.4653,0.7426,2.6633,0.6436,0.6337,0.6337,0.6337,0.5248,0.1287,0.5743,0.495,0.2475,1.9703,0.297,8.4258,0.5644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27882,2185,195,204,78,3288,0,303,54,20,16,0,26,732,175,111,104,15.7,1.4,0.6,0.2,9.9,0.0,0.9,0.2,0.1,0.1,0.0,0.1,2.2,0.5,0.3,0.3,County,State,Illinois,IL,17011,Bureau County
17,Illinois,IL,17013,Calhoun County,17013,"Calhoun County, Illinois",253.829317372768,4472,0,2322,22,1205,80,529,144,75,33,164,45,261,87,51,31,1080,22,903,6,934,164,27,18,1,46,221,62,7,16,266,59,22,22,37,20,118,11,12.1,3.3,4.1,1.8,13.6,3.6,8.0,2.6,1.2,0.7,24.2,0.5,20.2,0.2,21.3,3.7,2.3,1.5,0.0,1.1,4.9,1.4,0.3,0.7,11.5,2.5,1.8,0.9,3.1,1.6,2.6,0.2,0.0594,0.2772,0.0297,0.3663,0.0,0.7326,0.0198,0.9406,0.2574,0.9307,0.0099,0.0,2.1386,0.3168,0.198,0.198,0.198,0.0594,0.7921,0.7723,0.0396,0.5743,2.2377,0.3465,5.3069,0.1089,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,2684,187,40,33,35,36,34,1,3,9,16,0,12,142,69,0,12,15.5,3.0,0.7,0.8,0.8,0.8,0.0,0.1,0.2,0.4,0.0,0.8,3.2,1.5,0.0,0.8,County,State,Illinois,IL,17013,Calhoun County
17,Illinois,IL,17015,Carroll County,17015,"Carroll County, Illinois",445.4062633348,15594,0,8197,33,6317,230,2750,466,352,95,1175,180,1329,205,959,217,3727,44,2818,17,2304,190,262,86,16,70,1668,40,320,103,293,85,79,56,267,96,1001,30,18.8,3.2,4.9,1.3,18.6,2.8,11.6,1.8,6.6,1.5,23.9,0.3,18.1,0.1,15.8,1.3,4.2,1.4,0.1,0.5,10.7,0.3,4.0,1.3,3.6,1.0,1.3,0.7,4.2,1.5,6.4,0.2,0.3168,0.505,0.396,0.7624,0.7822,2.7624,0.5941,0.9307,0.0495,0.5347,0.099,0.0594,1.6733,0.099,0.505,0.505,0.505,0.5446,0.3267,0.4554,0.198,0.8317,2.3564,0.4158,7.2971,0.3564,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12871,951,168,515,34,720,0,103,22,41,23,0,19,272,45,17,21,15.1,2.5,3.3,0.2,4.6,0.0,0.7,0.1,0.3,0.1,0.0,0.2,1.7,0.3,0.1,0.1,County,State,Illinois,IL,17015,Carroll County
17,Illinois,IL,17017,Cass County,17017,"Cass County, Illinois",375.753772574706,12955,0,5684,21,5004,139,2948,395,336,113,827,165,1208,195,574,143,2331,74,3145,16,2028,226,243,85,709,230,3460,17,128,60,730,171,89,48,280,94,149,4,23.0,3.1,5.4,1.8,16.5,3.3,13.8,2.3,4.5,1.1,18.0,0.6,24.3,0.1,15.8,1.8,4.8,1.7,5.8,1.9,26.7,0.1,2.2,1.1,12.8,3.0,1.8,0.8,5.6,1.8,1.2,0.0,0.6238,0.6634,0.198,0.9406,0.2673,2.6931,0.5743,0.2079,0.9505,0.5347,0.2178,0.9901,2.901,0.802,0.8416,0.8416,0.8416,0.297,0.8416,0.7723,0.4554,0.198,2.5643,0.4851,9.0,0.6832,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,13197,793,153,438,150,2636,0,98,15,19,12,101,148,157,60,11,17,15.8,3.0,3.4,1.2,20.3,0.0,0.8,0.1,0.1,0.1,0.8,1.1,1.2,0.5,0.1,0.1,County,State,Illinois,IL,17017,Cass County
17,Illinois,IL,17019,Champaign County,17019,"Champaign County, Illinois",996.103784545836,206525,0,93444,191,82467,840,51239,2491,5064,740,23843,1376,6414,773,10026,951,27749,31,38942,72,20067,1092,4384,475,3128,582,72036,485,23732,1031,3241,370,802,226,9705,879,14069,320,26.6,1.3,4.8,0.7,28.9,1.6,5.3,0.6,4.9,0.5,13.4,0.1,18.9,0.1,9.8,0.5,5.3,0.6,1.6,0.3,34.9,0.2,25.4,1.1,3.5,0.4,1.0,0.2,11.8,1.0,6.8,0.2,0.8713,0.495,0.9703,0.0297,0.3564,2.7227,0.5842,0.0099,0.1089,0.0792,0.396,0.8713,1.4653,0.0495,0.9109,0.9109,0.9109,1.0,0.3069,0.2673,0.9703,0.8515,3.396,0.901,8.4949,0.5842,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,2,4,216529,10872,744,26903,871,13328,0,22674,429,121,61,59,68,8102,1017,849,386,13.2,0.9,13.0,0.4,6.5,0.0,11.0,0.2,0.1,0.1,0.0,0.1,3.9,0.5,0.4,0.2,County,State,Illinois,IL,17019,Champaign County
