|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,|.."Data Type O = Observed I = Imputed"|
2018,55,City of Aberdeen - (MS),MS,Municipal,SERC,32.9,35.2,0,"213,608",0,.,0,0,0,0,0,"213,608","209,731",0,0,55,"3,821","213,608","15,391.0",.,0.0,0.0,0.0,264.9,"15,655.9",O
2018,59,City of Abbeville - (LA),LA,Municipal,SERC,29.0,21.6,.,"139,192",.,.,0,.,.,0,.,"139,192","129,842",.,.,"1,258","8,092","139,192","12,635.5",.,.,.,.,.,"12,635.5",O
2018,84,A & N Electric Coop,VA,Cooperative,RFC,152.8,167.6,27,"763,001",.,.,0,.,.,0,.,"763,028","723,344",.,.,"1,920","37,764","763,028","78,076.4",.,.,.,.,"1,010.6","79,087.0",O
2018,97,Adams Electric Coop,IL,Cooperative,SERC,36.0,39.0,"4,551","183,020",.,.,0,.,.,0,.,"187,571","174,976",.,.,361,"12,234","187,571","23,346.0",.,.,.,.,221.0,"23,567.0",O
2018,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,141.6,91.0,.,"559,514",.,.,0,.,.,0,.,"559,514","530,437",90,.,"1,131","27,856","559,514","70,520.0",.,6.0,.,.,-83.0,"70,443.0",O
2018,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,75.0,85.0,.,"385,853",.,.,0,.,.,0,.,"385,853","378,795",.,.,.,"7,058","385,853","34,317.0",.,.,.,.,.,"34,317.0",O
2018,118,"Adams Rural Electric Coop, Inc",OH,Cooperative,RFC,23.9,33.0,.,"119,756",.,.,0,.,.,0,.,"119,756","112,662",.,.,135,"6,959","119,756","15,456.0",.,.,.,.,415.0,"15,871.0",O
2018,122,Village of Arcade - (NY),NY,Municipal,NPCC,25.8,37.4,.,"165,839",.,.,0,.,.,0,.,"165,839","157,457",.,.,613,"7,769","165,839","7,815.0",.,.,.,.,936.0,"8,751.0",O
2018,123,City of Adel- (GA),GA,Municipal,SERC,22.6,24.2,.,"126,289",.,.,0,.,.,0,.,"126,289","120,669",.,.,787,"4,833","126,289","13,491.0",.,.,.,.,.,"13,491.0",O
2018,150,Adrian Public Utilities Comm,MN,Municipal,MRO,3.0,3.0,8,"14,500",.,8,-8,.,.,0,.,"14,500","13,395",.,179,272,654,"14,500","1,535.0",.,.,.,.,.,"1,535.0",O
2018,155,Agralite Electric Coop,MN,Cooperative,MRO,36.8,43.5,539,"245,540",.,.,0,.,.,0,.,"246,079","231,038",.,.,337,"14,704","246,079","22,012.0",.,.,.,.,226.0,"22,238.0",O
2018,162,Aiken Electric Coop Inc,SC,Cooperative,SERC,215.5,261.4,.,"989,893",.,.,0,.,.,0,.,"989,893","948,645",.,.,"1,293","39,955","989,893","116,925.4",.,.,.,.,912.0,"117,837.4",O
2018,176,Ajo Improvement Co,AZ,Investor Owned,WECC,1.5,1.0,.,"7,427",.,.,0,.,.,0,.,"7,427","7,427",.,.,.,.,"7,427",825.2,.,.,.,.,.,825.2,O
2018,189,PowerSouth Energy Cooperative,AL,Cooperative,SERC,"1,845.0","2,458.0","6,334,935","2,828,589",.,.,0,.,.,0,.,"9,163,524",.,"8,814,120",.,"9,643","339,761","9,163,524",.,.,"611,702.2",.,459.9,394.0,"612,556.1",O
2018,195,Alabama Power Co,AL,Investor Owned,SERC,"10,875.3","11,989.3","60,470,675","7,555,231",.,.,0,"25,170,459","24,663,825","506,634",.,"68,532,540","55,686,192","9,583,354","1,473","131,597","3,129,924","68,532,540","5,475,948.0",0.0,"398,043.0","-111,461.0","56,706.0","143,882.0","5,963,118.0",O
2018,201,City of Alachua - (FL),FL,Municipal,FRCC,27.2,28.7,.,"137,545",.,.,0,.,.,0,.,"137,545","131,006",0,0,"1,255","5,284","137,545","14,261.0",0.0,0.0,0.0,0.0,54.0,"14,315.0",O
2018,207,City of Alameda,CA,Municipal,WECC,56.3,63.4,.,"347,631","178,376","178,376",0,.,.,0,.,"347,631","326,652",.,.,.,"20,979","347,631","58,421.9",.,.,.,.,"5,106.9","63,528.8",O
