,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
0,2015,97.0,Adams Electric Coop,IL,Cooperative,575.5,2.834,203.06987,167.1,1.645,101.58055,374.7,1.351,277.35011,8790,12.5,Y,.,.,.,.,.,.,.,,,.,
1,2015,4110.0,Commonwealth Edison Co,IL,Investor Owned,109,0.97,112.37113,72,0.86,83.72093,107,0.94,113.82979,3853843,34,Y,.,.,.,.,.,.,.,,,.,
2,2015,4362.0,Corn Belt Energy Corporation,IL,Cooperative,643.3,5.3,121.37736,246.1,4.2,58.595238,541.9,5.3,102.24528,35510,69,Y,.,.,.,.,.,.,.,,,.,
3,2015,5585.0,Eastern Illinois Elec Coop,IL,Cooperative,238.2,1.98,120.30303,126,1.34,94.029851,195.9,1.52,128.88158,13470,7.2,Y,.,.,.,.,.,.,.,,,.,
4,2015,7096.0,City of Geneva- (IL),IL,Municipal,19.309,0.4,48.2725,19.309,0.4,48.2725,.,.,.,10153,34.5,Y,.,.,.,.,.,.,.,,,.,
5,2015,9209.0,Illinois Rural Electric Coop,IL,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,71.123,.,.,65.927,.,.,10356,N,L,12.5,N
6,2015,9750.0,Jo-Carroll Energy Coop Inc,IL,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,124,1.08,114.81481,43.7,0.622,70.257235,20604,N,L,35,N
7,2015,12341.0,MidAmerican Energy Co,IL,Investor Owned,226,1.7,132.94118,100,1.18,84.745763,200,1.39,143.88489,84944,13.8,Y,.,.,.,.,.,.,.,,,.,
8,2015,12395.0,Menard Electric Coop,IL,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,397,3.06,129.73856,397,3.06,129.73856,10963,N,O,12.5,N
9,2015,12803.0,"Monroe County Elec Coop, Inc",IL,Cooperative,219.4,0.031,7077.4194,219.4,0.031,7077.4194,184.3,0.031,5945.1613,7280,12,N,.,.,.,.,.,.,.,,,.,
10,2015,13032.0,Mt Carmel Public Utility Co,IL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,236.237,2.85,82.890175,93,2,46.5,5537,N,L,7.2,N
11,2015,13208.0,City of Naperville - (IL),IL,Municipal,20.88,0.424,49.245283,.,.,.,.,.,.,59022,12.4,N,.,.,.,.,.,.,.,,,.,
12,2015,16420.0,Rural Electric Conven Coop,IL,Cooperative,89.611,0.791,113.28824,89.611,0.791,113.28824,89.611,0.791,113.28824,5802,15,Y,.,.,.,.,.,.,.,,,.,
13,2015,17585.0,"Southeastern IL Elec Coop, Inc",IL,Cooperative,174.178,1.579,110.30906,161.465,1.512,106.78902,.,.,.,23955,12.4,Y,.,.,.,.,.,.,.,,,.,
14,2015,17631.0,Southern Illinois Elec Coop,IL,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,170,.,.,170,.,.,11232,N,O,12.5,Y
15,2015,17697.0,Southwestern Electric Coop Inc - (IL),IL,Cooperative,160,1.632,98.039216,144,1.503,95.808383,127,1.315,96.577947,23276,13,N,.,.,.,.,.,.,.,,,.,
16,2015,17828.0,City of Springfield - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,70.9,0.767,92.43807,.,.,.,69689,N,L,12.5,N
17,2015,17860.0,City of St Charles - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,35.4,0.54,65.555556,35.4,0.54,65.555556,15558,Y,L,12.4,N
18,2015,18955.0,"Tri-County Electric Coop, Inc",IL,Cooperative,164.7,2,82.35,119.7,1.5,79.8,82.1,0.96,85.520833,16222,12.5,Y,.,.,.,.,.,.,.,,,.,
19,2015,20824.0,Village of Winnetka - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,12.3,0.51,24.117647,.,.,.,5051,N,F,12.4,Y
20,2015,56697.0,Ameren Illinois Company,IL,Investor Owned,352,1.39,253.23741,130,1.04,125,346,1.34,258.20896,1235089,69,Y,.,.,.,.,.,.,.,,,.,
