,|Utility Characteristics..Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Customers.Residential|,|Photovoltaic.Customers.Commercial|,|Photovoltaic.Customers.Industrial|,|Photovoltaic.Customers.Transportation|,|Photovoltaic.Customers.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Customers.Residential|,|Photovoltaic.Storage Customers.Commercial|,|Photovoltaic.Storage Customers.Industrial|,|Photovoltaic.Storage Customers.Transportation|,|Photovoltaic.Storage Customers.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Customers.Residential|,|Wind.Customers.Commercial|,|Wind.Customers.Industrial|,|Wind.Customers.Transportation|,|Wind.Customers.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Customers.Residential|,|Other.Customers.Commercial|,|Other.Customers.Industrial|,|Other.Customers.Transportation|,|Other.Customers.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Customers.Residential|,|All Technologies.Customers.Commercial|,|All Technologies.Customers.Industrial|,|All Technologies.Customers.Transportation|,|All Technologies.Customers.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
0,2015,97,Adams Electric Coop,IL,0.006, , , ,0.006,2, , , ,2, , , , ,0.0,0.018, , , ,0.018,5, , , ,5, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.024,0.0,0.0,0,0.024,7,0,0,0,7,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
1,2015,3931,Coles-Moultrie Electric Coop,IL,0.076, , , ,0.076,8, , , ,8, , , , ,0.0,0.01, , , ,0.01,1, , , ,1, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.086,0.0,0.0,0,0.086,9,0,0,0,9,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
2,2015,4110,Commonwealth Edison Co,IL,2.8,4.71, , ,7.51,517,85, , ,602, , , , ,0.0,0.21,2.33, , ,2.54,38,11, , ,49, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,3.01,7.04,0.0,0,10.05,555,96,0,0,651,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
3,2015,4362,Corn Belt Energy Corporation,IL,0.086, , , ,0.086,14, , , ,14, , , , ,0.0,0.012, , , ,0.012,2, , , ,2, , , , ,0.0, , ,2.58, ,2.58, , ,1, ,1, , , , ,0.0,0.098,0.0,2.58,0,2.678,16,0,1,0,17,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
4,2015,5585,Eastern Illinois Elec Coop,IL,0.076, , , ,0.076,12, , , ,12,34.298, , , ,34.298,0.01, , , ,0.01,1, , , ,1,0.48, , , ,0.48, , , , ,0.0, , , , ,0, , , , ,0.0,0.086,0.0,0.0,0,0.086,13,0,0,0,13,34.778,0.0,0.0,0,34.778,,,,,,,,,,,,,,,,,,,,,,
5,2015,7096,City of Geneva- (IL),IL,0.024, , , ,0.024,3, , , ,3, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.024,0.0,0.0,0,0.024,3,0,0,0,3,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
6,2015,8824,M J M Electric Cooperative Inc,IL,0.01, , , ,0.01,7, , , ,7,0, , , ,0.0,0.01, , , ,0.01,2, , , ,2,0, , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.02,0.0,0.0,0,0.02,9,0,0,0,9,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
7,2015,9750,Jo-Carroll Energy Coop Inc,IL,0.351,0.034, , ,0.385,54,3, , ,57,231,21, , ,252.0,0.016, , , ,0.016,7, , , ,7,2, , , ,2.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.367,0.034,0.0,0,0.401,61,3,0,0,64,233.0,21.0,0.0,0,254.0,,,,,,,,,,,,,,,,,,,,,,
8,2015,12341,MidAmerican Energy Co,IL,0.042,0.562, , ,0.604,11,3, , ,14,1.507, , , ,1.507,0.022,0.6, , ,0.622,2,1, , ,3, , , , ,0.0, ,1.2, , ,1.2, ,1, , ,1, , , , ,0.0,0.064,2.362,0.0,0,2.426,13,5,0,0,18,1.507,0.0,0.0,0,1.507,,,,,,,,,,,,,,,,,,,,,,
9,2015,12395,Menard Electric Coop,IL,0.048, , , ,0.048,9, , , ,9,16.774, , , ,16.774,0.018, , , ,0.018,3, , , ,3,5.953, , , ,5.953, , , , ,0.0, , , , ,0, , , , ,0.0,0.066,0.0,0.0,0,0.066,12,0,0,0,12,22.727,0.0,0.0,0,22.727,,,,,,,,,,,,,,,,,,,,,,
