,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
0,2015,4110.0,Commonwealth Edison Co,IL,PJM,720836,775483,.,.,1496319,61.9,114.2,.,.,176.1,3131844,7065250,.,.,10197094,61.9,114.2,.,.,176.1,22855,56817,.,.,79672,22007,24746,.,.,46753,22855,56817,.,.,79672,22007,24746,.,.,46753,4.34,9.11,.,.,http://www.ilsag.info/evaluation-documents.html
1,2015,5585.0,Eastern Illinois Elec Coop,IL,MISO,634,.,.,.,634,.,.,.,.,.,9510,.,.,.,9510,.,.,.,.,.,.,.,.,.,.,3,.,.,.,3,.,.,.,.,.,50,.,.,.,50,15,.,.,.,
2,2015,9286.0,Illinois Municipal Elec Agency,IL,MISO,508,.,3879,.,4387,0,.,0.5,.,0.5,2032,.,15516,.,17548,0,.,0.5,.,0.5,15,.,550,.,565,42,.,17,.,59,15,.,550,.,565,42,.,17,.,59,4,.,4,.,
3,2015,9750.0,Jo-Carroll Energy Coop Inc,IL,MISO,345,462,.,.,807,0.1,0,.,.,0.1,5590,6571,.,.,12161,1.6,0,.,.,1.6,24,27,.,.,51,36,6,.,.,42,24,27,.,.,51,36,6,.,.,42,16.203,14.222,.,.,
4,2015,12341.0,MidAmerican Energy Co,IL,MISO,15035,4422,7571,.,27028,4.5,0.8,1.1,.,6.4,67878,58085,117603,.,243566,3.4,0.72,0.85,.,4.97,2151,900,1699,.,4750,849,154,285,.,1288,2151,900,1699,.,4750,849,154,285,.,1288,4.51,13.14,15.53,.,https://efs.iowa.gov/efs/ShowDocketSummary.do?docketNumber=EEP-2012-0002
5,2015,12395.0,Menard Electric Coop,IL,MISO,537,.,.,.,537,.,.,.,.,.,8055,.,.,.,8055,.,.,.,.,.,7,.,.,.,7,3,.,.,.,3,7,.,.,.,7,3,.,.,.,3,15,.,.,.,
6,2015,12803.0,"Monroe County Elec Coop, Inc",IL,MISO,420,.,.,.,420,0.2,.,.,.,0.2,6300,.,.,.,6300,2.4,.,.,.,2.4,42,.,.,.,42,.,.,.,.,.,42,.,.,.,42,.,.,.,.,.,15,.,.,.,
7,2015,17828.0,City of Springfield - (IL),IL,MISO,5666,7070,.,.,12736,0.4,1.3,.,.,1.7,26797,62723,.,.,89520,0.033,0.174,.,.,0.207,422,461,.,.,883,136,149,.,.,285,422,461,.,.,883,136,149,.,.,285,4.73,8.87,.,.,http://www.cwlp.com/eso/eso.html
8,2015,40211.0,"Wabash Valley Power Assn, Inc",IL,MISO,505,242,2540,.,3287,0,0,0,.,0,3821,3600,36178,.,43599,0,0,0.3,.,0.3,103,16,178,.,297,54,54,61,.,169,103,16,178,.,297,54,54,61,.,169,7.561,14.859,14.244,.,
9,2015,56697.0,Ameren Illinois Company,IL,MISO,124716,186716,.,.,311432,19.7,24.3,.,.,44,685938,2126695,.,.,2812633,19.7,24.3,.,.,44,21614,18400,.,.,40014,14598,9495,.,.,24093,21614,18400,.,.,40014,14598,9495,.,.,24093,5.5,11.39,.,.,
