,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Residential|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Commercial|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Industrial|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Transportation|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Total|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Residential|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Commercial|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Industrial|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Transportation|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Total|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Residential|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Commercial|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Industrial|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Transportation|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Total|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Residential|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Commercial|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Industrial|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Transportation|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Total|,|Program Costs.Customer Incentives (Thousand Dollars).Residential|,|Program Costs.Customer Incentives (Thousand Dollars).Commercial|,|Program Costs.Customer Incentives (Thousand Dollars).Industrial|,|Program Costs.Customer Incentives (Thousand Dollars).Transportation|,|Program Costs.Customer Incentives (Thousand Dollars).Total|,|Program Costs.All Other Costs (Thousand Dollars).Residential|,|Program Costs.All Other Costs (Thousand Dollars).Commercial|,|Program Costs.All Other Costs (Thousand Dollars).Industrial|,|Program Costs.All Other Costs (Thousand Dollars).Transportation|,|Program Costs.All Other Costs (Thousand Dollars).Total|,|DSM Program.Grid Connected.Water Heater|
0,2018,97,Adams Electric Coop,IL,MISO,"4,309",68,.,.,"4,377",.,.,.,.,.,4.0,6.0,.,.,10.0,4.0,.,.,.,4.0,67,360,.,.,427,11,.,.,.,11,11
1,2018,3931,Coles-Moultrie Electric Coop,IL,MISO,"4,945",149,6,.,"5,100",.,.,.,.,.,0.5,0.5,0.5,.,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,2018,4110,Commonwealth Edison Co,IL,PJM,"86,000","1,520","1,265",0,"88,785",120,0,0,0,120,86.0,260.0,640.0,0.0,986.0,86.0,0.0,0.0,0.0,86.0,"2,840",0,0,0,"2,840","2,470",50,50,0,"2,570",.
3,2018,4362,Corn Belt Energy Corporation,IL,MISO,.,60,.,.,60,.,.,.,.,.,.,3.5,.,.,3.5,.,3.5,.,.,3.5,.,"1,029",.,.,"1,029",.,.,.,.,.,.
4,2018,9209,Illinois Rural Electric Coop,IL,MISO,.,183,.,.,183,.,4,.,.,4,.,4.0,.,.,4.0,.,4.0,.,.,4.0,.,.,.,.,.,.,20,.,.,20,.
5,2018,9750,"Jo-Carroll Energy, Inc",IL,MISO,"1,587",.,3,.,"1,590",.,.,.,.,.,1.6,.,0.4,.,2.0,1.5,.,0.3,.,1.8,132,0,3,.,135,12,.,.,.,12,0
6,2018,12341,MidAmerican Energy Co,IL,MISO,"3,304",2,3,.,"3,309",2,5,5,.,12,1.0,3.5,19.9,.,24.4,1.0,3.5,19.9,.,24.4,99,161,915,.,"1,175",37,4,23,.,64,.
7,2018,12395,Menard Electric Coop,IL,MISO,968,18,"1,233",.,"2,219",33,1,238,.,272,2.0,7.7,49.0,.,58.6,.,.,.,.,.,52,1,.,.,53,.,.,169,.,169,.
8,2018,17040,"Shelby Electric Coop, Inc",IL,MISO,"1,480",46,.,.,"1,526",.,.,.,.,.,6.3,7.5,.,.,13.8,3.0,3.5,.,.,6.5,0,0,.,.,0,4,1,.,.,5,.
9,2018,40211,"Wabash Valley Power Assn, Inc",IL,MISO,"4,562",.,.,.,"4,562",0,.,.,.,0,9.4,.,.,.,9.4,8.4,.,.,.,8.4,490,.,.,.,490,.,.,.,.,.,.
