,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
0,2018,4110.0,Commonwealth Edison Co,IL,PJM,"1,078,734","1,101,310",.,.,"2,180,044",70.0,125.0,.,.,195.0,"9,052,448","15,464,467",.,.,"24,516,915",70.0,125.0,.,.,195.0,"78,680","124,500",.,.,"203,180","44,400","53,630",.,.,"98,030","78,680","124,500",.,.,"203,180","44,400","53,630",.,.,"98,030",8.390,11.150,.,.,http://www.ilsag.info/evaluation-documents.html
1,2018,5585.0,Eastern Illinois Elec Coop,IL,MISO,562,.,.,.,562,0.0,.,.,.,0.0,"8,430",.,.,.,"8,430",0.0,.,.,.,0.0,.,.,.,.,.,3,.,.,.,3,.,.,.,.,.,50,.,.,.,50,15.000,.,.,.,
2,2018,9286.0,Illinois Municipal Elec Agency,IL,MISO,737,.,"4,841",.,"5,578",0.2,.,0.8,.,1.0,"2,948",.,"19,364",.,"22,312",1.0,.,0.8,.,1.7,55,.,556,.,611,11,.,17,.,28,55,.,556,.,611,11,.,17,.,28,4.000,.,4.000,.,
3,2018,9750.0,"Jo-Carroll Energy, Inc",IL,MISO,176,549,.,.,725,0.0,0.1,.,.,0.1,"2,463","7,982",.,.,"10,445",0.0,0.1,.,.,0.1,21,11,.,.,32,0,0,.,.,0,21,11,.,.,32,0,0,.,.,0,13.997,14.539,0.000,0.000,
4,2018,12341.0,MidAmerican Energy Co,IL,MISO,"15,038","4,436","8,335",.,"27,809",4.8,0.7,1.0,.,6.5,"74,373","57,755","122,687",.,"254,815",3.7,0.6,1.1,.,5.4,"1,536",798,"2,034",.,"4,368",380,110,274,.,764,"1,536",798,"2,034",.,"4,368",380,110,274,.,764,4.950,13.020,14.720,.,
5,2018,12395.0,Menard Electric Coop,IL,MISO,178,.,.,.,178,0.0,.,.,.,0.0,"2,674",.,.,.,"2,674",0.0,.,.,.,0.0,2,.,.,.,2,1,.,.,.,1,2,.,.,.,2,1,.,.,.,1,15.000,.,.,.,
6,2018,12803.0,"Monroe County Elec Coop, Inc",IL,MISO,160,.,.,.,160,0.1,.,.,.,0.1,"2,400",.,.,.,"2,400",0.1,.,.,.,0.1,16,.,.,.,16,.,.,.,.,.,16,.,.,.,16,.,.,.,.,.,15.000,.,.,.,
7,2018,17828.0,City of Springfield - (IL),IL,MISO,784,898,.,.,"1,682",0.1,0.2,.,.,0.3,"10,889","13,471",.,.,"24,360",0.1,0.2,.,.,0.3,147,184,.,.,332,299,107,.,.,407,147,184,.,.,332,299,107,.,.,407,11.520,15.000,0.000,0.000,
8,2018,40211.0,"Wabash Valley Power Assn, Inc",IL,MISO,291,"2,217",364,0,"2,872",0.0,0.3,0.1,.,0.4,"4,415","30,424","4,841",.,"39,680",0.0,0.3,0.1,.,0.4,90,202,38,.,330,11,43,43,.,97,90,202,38,.,330,11,43,43,.,97,15.185,13.721,13.315,.,
9,2018,56697.0,Ameren Illinois Company,IL,MISO,"159,536","221,621",.,.,"381,157",21.9,29.6,.,.,51.5,"1,267,520","2,416,911",.,.,"3,684,431",21.9,29.6,.,.,51.5,"29,570","30,794",.,.,"60,364","19,270","19,058",.,.,"38,328","29,570","30,794",.,.,"60,364","19,270","19,058",.,.,"38,328",11.100,12.250,.,.,
