,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
0,2017,97.0,Adams Electric Coop,IL,Cooperative,222.046,1.211,183.35756,125.856,1.178,106.83871,123.172,0.986,124.92089,8916,12.5,Y,.,.,.,.,.,.,.,,,.,
1,2017,4110.0,Commonwealth Edison Co,IL,Investor Owned,95.285,0.818,116.48533,55.414,0.656,84.472561,94.516,0.807,117.1202,4029200,34,Y,.,.,.,.,.,.,.,,,.,
2,2017,4362.0,Corn Belt Energy Corporation,IL,Cooperative,230.4,4.15,55.518072,230.4,4.15,55.518072,120.1,3.99,30.100251,35911,69,Y,.,.,.,.,.,.,.,,,.,
3,2017,5585.0,Eastern Illinois Elec Coop,IL,Cooperative,203.3,1.72,118.19767,130.5,1.34,97.38806,175.8,1.41,124.68085,13462,7.2,Y,.,.,.,.,.,.,.,,,.,
4,2017,7096.0,City of Geneva- (IL),IL,Municipal,34.617,0.366,94.581967,34.617,0.366,94.581967,.,.,.,10153,34.5,N,.,.,.,.,.,.,.,,,.,
5,2017,9209.0,Illinois Rural Electric Coop,IL,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,109.4,.,.,109.4,.,.,10339,N,L,12.5,N
6,2017,9750.0,"Jo-Carroll Energy, Inc",IL,Cooperative,129.9,0.783,165.90038,65.7,0.47,139.78723,129.45,0.783,165.32567,20814,34.5,Y,.,.,.,.,.,.,.,,,.,
7,2017,12341.0,MidAmerican Energy Co,IL,Investor Owned,121,1.12,108.03571,87,0.97,89.690722,104,0.93,111.82796,85103,13.8,Y,.,.,.,.,.,.,.,,,.,
8,2017,12395.0,Menard Electric Coop,IL,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,169.42,1.321,128.25132,169.42,1.321,128.25132,11077,N,O,12.5,N
9,2017,12803.0,"Monroe County Elec Coop, Inc",IL,Cooperative,122.4,1.161,105.42636,122.4,1.161,105.42636,83.3,1.161,71.748493,7336,12,N,.,.,.,.,.,.,.,,,.,
10,2017,13032.0,Mt Carmel Public Utility Co,IL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,.,2.99,.,.,2.99,.,5343,Y,L,7.2,N
11,2017,13208.0,City of Naperville - (IL),IL,Municipal,22.24,0.34,65.411765,.,.,.,.,.,.,59144,12.4,N,.,.,.,.,.,.,.,,,.,
12,2017,16420.0,Rural Electric Conven Coop,IL,Cooperative,167.729,1.742,96.285304,94.916,1.084,87.560886,151.969,1.422,106.8699,5807,15,Y,.,.,.,.,.,.,.,,,.,
13,2017,17585.0,"Southeastern IL Elec Coop, Inc",IL,Cooperative,316.914,2.21,143.4,134.651,1.508,89.291114,.,.,.,24002,12.4,Y,.,.,.,.,.,.,.,,,.,
14,2017,17631.0,Southern Illinois Elec Coop,IL,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,200.28,.,.,184.14,.,.,11288,N,O,12.5,Y
15,2017,17697.0,Southwestern Electric Coop Inc - (IL),IL,Cooperative,278.68,1.54,180.96104,278.68,1.54,180.96104,253.3,1.4,180.92857,22862,13,Y,.,.,.,.,.,.,.,,,.,
16,2017,17828.0,City of Springfield - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,99.14,0.902,109.91131,.,.,.,70650,N,F,12.5,Y
17,2017,17860.0,City of St Charles - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,56.9,1.55,36.709677,56.9,1.55,36.709677,15563,Y,L,12.4,N
18,2017,18955.0,"Tri-County Electric Coop, Inc",IL,Cooperative,243.3,1.9,128.05263,73,0.85,85.882353,128.7,1.03,124.95146,16260,12.5,Y,.,.,.,.,.,.,.,,,.,
19,2017,20824.0,Village of Winnetka - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,22.455,1.067,21.044986,.,.,.,5896,,F,12.4,N
20,2017,56697.0,Ameren Illinois Company,IL,Investor Owned,192,1.12,171.42857,118,0.9,131.11111,188,1.09,172.47706,1239479,69,Y,.,.,.,.,.,.,.,,,.,
