,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,"|..""Data Type O = Observed I = Imputed""|"
0,2017,97,Adams Electric Coop,IL,Cooperative,SERC,37,37,4677,170432,.,.,0,.,.,0,.,175109,164358,.,.,318,10433,175109,22070,.,.,.,.,241,22311,O
1,2017,970,Homefield Energy,IL,Retail Power Marketer,RFC,.,.,.,8812911,.,.,0,.,.,0,.,8812911,8812911,.,.,.,.,8812911,527741.6,.,.,.,.,.,527741.6,O
2,2017,1325,City of Batavia - (IL),IL,Municipal,RFC,87.1,66.4,.,441580,.,.,0,.,.,0,.,441580,416903,.,.,.,24677,441580,46984.7,.,.,.,.,2491.2,49475.9,O
3,2017,3806,"Clinton County Elec Coop, Inc",IL,Cooperative,RFC,33,29,.,143556,.,.,0,.,.,0,.,143556,136066,.,.,.,7490,143556,16387,.,.,.,.,129,16516,O
4,2017,3931,Coles-Moultrie Electric Coop,IL,Cooperative,SERC,42.3,45,.,207711,.,.,0,.,.,0,.,207711,195571,.,.,487,11653,207711,24823,.,.,.,.,801,25624,O
5,2017,4110,Commonwealth Edison Co,IL,Investor Owned,RFC,20351,14730,.,28811123,.,.,0,.,.,0,.,28811123,25783309,1190851,437993,75391,1323579,28811123,2969046.5,1606267.4,28344.9,.,754469.9,129442.7,5487571.4,O
6,2017,4362,Corn Belt Energy Corporation,IL,Cooperative,RFC,143.1,112.7,.,655624,.,.,0,.,.,0,.,655624,633819,.,.,1328,20477,655624,77096.4,.,.,.,.,199.8,77296.2,O
7,2017,5535,Egyptian Electric Coop Assn,IL,Cooperative,RFC,79.1,90.2,.,347216,.,.,0,.,.,0,.,347216,333771,.,.,.,13445,347216,39034,.,.,.,.,.,39034,O
8,2017,5585,Eastern Illinois Elec Coop,IL,Cooperative,RFC,46.9,51.3,.,254554,.,.,0,.,.,0,.,254554,233910,.,.,92,20552,254554,34219,.,.,-24,.,43,34238,O
9,2017,5748,Electric Energy Inc,IL,Investor Owned,SERC,0,0,3914255,0,0,0,0,0,0,0,0,3914255,0,3914255,0,0,0,3914255,0,0,116444,0,0,0,116444,O
10,2017,6417,City of Flora - (IL),IL,Municipal,,26.6,17.8,149,123028,.,.,0,.,.,0,.,123177,114607,.,1350,.,7220,123177,13039,.,.,.,.,18,13057,O
11,2017,7096,City of Geneva- (IL),IL,Municipal,RFC,81.7,66.3,3498,400976,.,.,0,.,.,0,-13409,391065,386897,.,.,.,4168,391065,40048,.,.,.,.,1149.5,41197.5,O
12,2017,8573,City of Highland,IL,Municipal,SERC,35,21.6,270,133176,.,.,0,.,.,0,.,133446,122011,.,561,1324,9550,133446,13969.4,.,.,.,.,491.6,14461,O
13,2017,8824,M J M Electric Cooperative Inc,IL,Cooperative,RFC,30.7,26.9,.,136986,.,.,0,.,.,0,.,136986,127239,.,.,11,9736,136986,18987.3,.,.,.,.,192.3,19179.6,O
14,2017,9209,Illinois Rural Electric Coop,IL,Cooperative,RFC,46.9,37.2,3602,184435,.,.,0,.,.,0,.,188037,173998,.,.,.,14039,188037,29379,.,.,.,.,213,29592,O
15,2017,9286,Illinois Municipal Elec Agency,IL,Municipal Mktg Authority,SERC & RFC,895.4,618.1,2558813,1439802,.,.,0,.,.,0,.,3998615,.,3998615,.,.,.,3998615,.,.,317981,.,.,541,318522,O
16,2017,9750,"Jo-Carroll Energy, Inc",IL,Cooperative,MRO,95.8,80.9,526,545390,.,.,0,.,.,0,.,545916,528613,.,.,928,16375,545916,57601.5,.,.,.,.,.,57601.5,O
17,2017,12395,Menard Electric Coop,IL,Cooperative,RFC,66.1,35.4,.,223751,.,.,0,.,.,0,.,223751,205228,.,.,255,18268,223751,28389.1,.,.,.,.,227.1,28616.2,O
18,2017,12803,"Monroe County Elec Coop, Inc",IL,Cooperative,RFC,32,26,.,120607,.,.,0,.,.,0,.,120607,112965,.,.,322,7320,120607,16236,.,.,.,.,203,16439,O
19,2017,13032,Mt Carmel Public Utility Co,IL,Investor Owned,SERC,24.4,17.4,.,103272,.,.,0,.,.,0,.,103272,91713,3387,265,413,7494,103272,12739.2,.,258.9,.,.,41.7,13039.8,O
20,2017,13208,City of Naperville - (IL),IL,Municipal,RFC,330.9,230.2,.,1381701,.,.,0,.,.,0,.,1381701,1317879,31925,4166,.,27731,1381701,155134.3,.,2475,-2475,.,8009.5,163143.8,O
21,2017,13292,Norris Electric Coop,IL,Cooperative,RFC,99.8,84,.,373484,.,.,0,.,.,0,.,373484,347259,.,.,463,25762,373484,46516.4,.,.,.,.,254.8,46771.2,O
