Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
January,01/01/2022,12:36:00,01/01/2022,14:12:00,Washington: Thurston County;,WECC,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",System Operations,0,0
January,01/01/2022,12:36:00,01/02/2022,19:43:00,Washington: Thurston County;,WECC,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",System Operations,0,0
January,01/01/2022,01:01:00,Unknown,Unknown,Georgia: Clayton County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
January,01/01/2022,00:06:00,01/01/2022,05:51:00,New Hampshire: Merrimack County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,2,845
January,01/02/2022,13:21:00,01/02/2022,17:38:00,California: Tuolumne County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,3,1706
January,01/03/2022,12:45:00,01/03/2022,12:46:00,Washington: Thurston County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
January,01/03/2022,05:00:00,01/04/2022,18:00:00,South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,60424
January,01/03/2022,05:30:00,01/04/2022,12:30:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,142000
January,01/03/2022,01:00:00,01/03/2022,14:00:00,Georgia: Alabama: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,283,40885
January,01/05/2022,12:32:00,01/05/2022,12:45:00,Massachusetts: Plymouth County;,NPCC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0
