,EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
0,1002024,KANE (ZONE), ,01/25/2022,200,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165761,Z,12,LOT,0,0,ASOS, , , , , , , , ,01/25/2022,900, , , , ,,Wind chill values dropped to 20 below to 25 below zero across parts of northern Illinois during the morning of January 25th.,111
1,1002023,DE KALB (ZONE), ,01/25/2022,400,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165761,Z,11,LOT,0,0,AWOS, , , , , , , , ,01/25/2022,1000, , , , ,,Wind chill values dropped to 20 below to 25 below zero across parts of northern Illinois during the morning of January 25th.,112
2,1002068,KANE (ZONE), ,01/25/2022,1800,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,12,LOT,0,0,ASOS, , , , , , , , ,01/26/2022,300, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,113
3,1002065,DE KALB (ZONE), ,01/25/2022,2100,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,11,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,400, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,114
4,1002062,LEE (ZONE), ,01/25/2022,2200,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,10,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,600, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,115
5,1002036,WINNEBAGO (ZONE), ,01/25/2022,2200,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,3,LOT,0,0,ASOS, , , , , , , , ,01/26/2022,1100, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,116
6,1002042,OGLE (ZONE), ,01/25/2022,2200,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,8,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,1000, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,117
7,1002037,BOONE (ZONE), ,01/25/2022,2300,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,4,LOT,0,0,ASOS, , , , , , , , ,01/26/2022,1100, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,118
8,1002038,MCHENRY (ZONE), ,01/25/2022,2300,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,5,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,1000, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,119
9,1002044,DU PAGE (ZONE), ,01/25/2022,2300,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,13,LOT,0,0,ASOS, , , , , , , , ,01/26/2022,900, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,120
10,1002049,KENDALL (ZONE), ,01/26/2022,0,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,20,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,1000, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,121
11,1002052,GRUNDY (ZONE), ,01/26/2022,0,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,21,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,1000, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,122
12,1002059,SOUTHERN WILL COUNTY (ZONE), ,01/26/2022,200,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,107,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,900, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,123
13,1002060,NORTHERN WILL COUNTY (ZONE), ,01/26/2022,200,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,106,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,900, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,124
14,1002047,LA SALLE (ZONE), ,01/26/2022,300,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,19,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,900, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,125
15,1002069,KANE (ZONE), ,01/26/2022,300,Extreme Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,12,LOT,0,0,ASOS, , , , , , , , ,01/26/2022,700, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,126
16,1002054,KANKAKEE (ZONE), ,01/26/2022,300,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,23,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,900, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,127
17,1002061,SOUTHERN COOK COUNTY (ZONE), ,01/26/2022,330,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,105,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,900, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,128
18,1002058,EASTERN WILL COUNTY (ZONE), ,01/26/2022,330,Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,108,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,900, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,129
19,1002066,DE KALB (ZONE), ,01/26/2022,400,Extreme Cold/Wind Chill, , ,0,0,0,0,IL,CST-6, ,165762,Z,11,LOT,0,0,AWOS, , , , , , , , ,01/26/2022,700, , , , ,,Wind chills dropped to 20 below to 30 below zero across most of northern Illinois during the morning of January 26th with some areas dropping into the 30 below to 40 below zero range.,130
