Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2021,162,Aiken Electric Coop Inc,SC,SC,205,3,0,0,208,0.0,0.0,0.0,0.0,0.0,"2,054",30,0,0,"2,084",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,48,0,0,0,48,0,0,0,0,0,48,0,0,0,48,10.000,10.000,.,.,
2021,189,PowerSouth Energy Cooperative,AL,SOCO,"1,946",.,.,.,"1,946",2.3,.,.,.,2.3,"23,355",.,.,.,"23,355",2.3,.,.,.,2.3,781,.,.,.,781,456,.,.,.,456,781,.,.,.,781,456,.,.,.,456,12.000,.,.,.,
2021,195,Alabama Power Co,AL,SOCO,"5,410",359,.,.,"5,769",5.4,0.1,.,.,5.4,"22,870","1,795",.,.,"24,664",5.4,0.1,.,.,5.4,93,0,.,.,93,"1,069",309,.,.,"1,378",93,0,.,.,93,"1,069",309,.,.,"1,378",14.700,5.000,.,.,
2021,207,Alameda Municipal Power,CA,CISO,210,"1,288",0,.,"1,498",0.6,0.2,0.0,.,0.8,"2,734","16,132",0,.,"18,866",0.6,0.2,0.0,.,0.8,218,296,0,.,514,231,278,0,.,509,218,296,0,.,514,231,278,0,.,509,13.803,12.631,0.000,.,
2021,295,City of Alexandria - (MN),MN,MISO,196,675,"2,392",.,"3,263",0.0,0.1,0.4,.,0.6,"3,178","8,838","31,334",.,"43,350",0.0,0.1,0.4,.,0.6,38,24,85,.,146,19,12,43,.,75,38,24,85,.,146,19,12,43,.,75,16.196,13.100,13.100,.,brightenergysolutions.com
2021,590,City of Anaheim - (CA),CA,CISO,"2,576","3,640","1,560",.,"7,776",0.7,0.9,0.4,.,2.0,"29,818","41,631","16,845",.,"88,294",0.7,0.9,0.4,.,2.0,"1,741",698,299,.,"2,738",324,230,98,.,652,"1,741",698,299,.,"2,738",324,230,98,.,652,11.575,11.437,10.798,.,
2021,691,City of Anoka,MN,MISO,675,"1,831",.,.,"2,507",0.3,0.4,.,.,0.7,"1,482","16,854",.,.,"18,336",0.3,0.4,.,.,0.7,13,117,.,.,130,116,28,.,.,143,13,117,.,.,130,116,28,.,.,143,12.000,14.000,.,.,
2021,733,Appalachian Power Co,VA,PJM,"2,200","9,720","1,080",0,"13,000",1.2,1.5,0.2,0.0,2.9,"21,120","79,704","8,856",0,"109,680",1.2,1.5,0.2,0.0,2.9,"3,718",701,78,0,"4,497","2,286","1,216",135,0,"3,637","3,718",701,78,0,"4,497","2,286","1,216",135,0,"3,637",9.600,8.200,8.200,0.000,
2021,733,Appalachian Power Co,WV,PJM,"4,528",0,0,0,"4,528",0.3,0.0,0.0,0.0,0.3,"43,464",0,0,0,"43,464",0.3,0.0,0.0,0.0,0.3,"1,808",0,0,0,"1,808","1,210",0,0,0,"1,210","1,808",0,0,0,"1,808","1,210",0,0,0,"1,210",9.600,0.000,0.000,0.000,
2021,803,Arizona Public Service Co,AZ,AZPS,"88,048","182,586",.,.,"270,634",58.9,32.0,.,.,90.9,"780,306","2,703,716",.,.,"3,484,022",58.9,32.0,.,.,90.9,"12,543","10,374",.,.,"22,918","9,432","9,002",.,.,"18,434","12,543","10,374",.,.,"22,918","9,432","9,002",.,.,"18,434",8.900,14.800,.,.,
2021,814,Entergy Arkansas LLC,AR,MISO,"126,792","94,305","86,844",.,"307,941",25.1,13.9,12.5,.,51.5,"2,292,368","1,253,895","921,672",.,"4,467,935",25.1,13.9,12.5,.,51.5,"17,389","11,319","5,388",.,"34,096","6,824","4,320","4,365",.,"15,509","17,389","11,319","5,388",.,"34,096","6,824","4,320","4,365",.,"15,509",18.000,14.700,12.500,.,
2021,924,"Associated Electric Coop, Inc",MO,SWPP,"3,573","3,824",281,0,"7,678",0.5,0.9,0.1,0.0,1.4,"103,907","101,355","15,439",0,"220,701",0.6,0.9,0.1,0.0,1.6,"2,008",269,56,0,"2,333",87,2,0,0,90,"2,008",269,56,0,"2,333",87,2,0,0,90,18.000,13.000,13.000,0.000,
2021,963,Atlantic City Electric Co,NJ,PJM,"7,887",892,.,.,"8,779",3.6,0.1,.,.,3.7,"18,598","12,666",.,.,"31,263",3.6,0.1,.,.,3.7,9,254,.,.,263,"2,204","2,032",.,.,"4,236",9,254,.,.,263,"2,204","2,032",.,.,"4,236",2.400,14.200,.,.,
2021,1009,City of Austin - (MN),MN,MISO,265,442,193,.,900,0.1,0.3,0.0,.,0.4,"2,648","44,180","1,930",.,"48,758",0.1,0.3,0.0,.,0.4,46,156,10,.,211,138,14,1,.,153,46,156,10,.,211,138,14,1,.,153,10.000,10.000,10.000,.,
2021,1015,Austin Energy,TX,ERCO,"27,366","79,052","26,351",.,"132,769",12.9,30.6,10.2,.,53.6,"519,961","1,264,834","421,611",.,"2,206,406",12.9,30.6,10.2,.,53.6,"8,959","2,143",714,.,"11,816","3,453","1,848",616,.,"5,917","8,959","2,143",714,.,"11,816","3,453","1,848",616,.,"5,917",19.000,16.000,16.000,.,
2021,1050,City of Azusa,CA,CISO,879,"1,485",28,.,"2,392",0.0,0.6,0.0,.,0.6,"9,503","14,281",413,.,"24,197",0.0,0.6,0.0,.,0.6,63,"1,112",20,.,"1,195",52,77,2,.,131,63,"1,112",20,.,"1,195",52,77,2,.,131,14.274,12.669,15.000,.,
2021,1167,Baltimore Gas & Electric Co,MD,PJM,"241,697","132,870",.,.,"374,567",52.7,21.6,.,.,74.2,"680,946","1,575,601",.,.,"2,256,547",52.7,21.6,.,.,74.2,"29,318","34,538",.,.,"63,857","18,741","13,106",.,.,"31,847","29,318","34,538",.,.,"63,857","18,741","13,106",.,.,"31,847",2.817,11.858,.,.,https://www.psc.state.md.us/officialfilings/
2021,1251,Barron Electric Coop,WI,MISO,366,22,0,0,388,0.0,0.0,0.0,0.0,0.0,"5,266",323,0,0,"5,589",0.0,0.0,0.0,0.0,0.0,48,3,0,0,51,74,2,0,0,75,48,3,0,0,51,74,2,0,0,75,14.387,14.667,0.000,0.000,
2021,1273,"Bartlett Electric Coop, Inc",TX,ERCO,15,3,0,0,17,0.0,0.0,0.0,0.0,0.0,169,29,0,0,198,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,1,0,0,0,1,15,0,0,0,15,1,0,0,0,1,12.490,10.000,.,.,www.bartlettec.coop
2021,1366,City of Bay City - (MI),MI,MISO,938,"1,930",.,.,"2,868",0.1,0.2,.,.,0.3,"6,725","21,852",.,.,"28,577",0.1,0.1,.,.,0.2,145,131,.,.,276,112,79,.,.,191,145,131,.,.,276,112,79,.,.,191,7.170,13.630,.,.,www.BayCityEnergySmart.org
2021,1529,"Beltrami Electric Coop, Inc",MN,MISO,"2,315",337,0,0,"2,652",0.3,0.0,0.0,0.0,0.4,"32,729","4,153",0,0,"36,882",0.3,0.0,0.0,0.0,0.4,205,58,0,0,263,138,2,0,0,140,205,58,0,0,263,138,2,0,0,140,13.350,12.210,0.000,0.000,Included BEC Share of G&T CIP Costs
