Year,Month,Event date and time,Restoration date and time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
2018,7,07/21/2018 7:20 AM,07/21/2018 11:30 AM,,"4 Hours, 10 Minutes",Southern Company,SERC,Georgia:,hour or more-Severe Weather,,143,42901
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Severe,,,
,,,,,,,,,Weather/Transmission,,,
2018,7,07/23/2018 4:16 AM,07/23/2018 4:29 AM,,"0 Hours, 13 Minutes",Duke Energy Florida,FRCC,Florida: Pinellas County;,Interruption,,40,Unknown
