Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
January,01/01/2018,18:21:00,01/02/2018,18:11:00,Tennessee:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,Unknown,Unknown
January,01/01/2018,17:43:00,Unknown,Unknown,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,Unknown,Unknown
January,01/01/2018,21:37:00,01/02/2018,10:30:00,Tennessee:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,Unknown,Unknown
January,01/02/2018,10:00:00,02/12/2018,08:00:00,New York: Niagara County;,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,675,Unknown
January,01/02/2018,07:30:00,Unknown,Unknown,South Carolina:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,0,717000
January,01/02/2018,06:45:00,01/02/2018,09:00:00,North Carolina: South Carolina:,SERC,System-wide voltage reductions of 3 percent or more,Severe Weather,14998,Unknown
January,01/04/2018,01:49:00,01/04/2018,02:09:00,Texas: Midland County;,TRE,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack,Unknown,500
January,01/12/2018,13:08:00,01/12/2018,14:53:00,"Michigan: Midland County, Genesee County;",RF,Cyber event that causes interruptions of electrical system operations,System Operations,41,23007
January,01/15/2018,04:20:00,01/18/2018,05:48:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,Unknown,Unknown
January,01/16/2018,15:00:00,01/18/2018,13:00:00,Tennessee:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,Unknown,Unknown
January,01/16/2018,15:00:00,01/18/2018,13:00:00,Tennessee: Shelby County;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,Unknown,Unknown
January,01/16/2018,13:57:00,01/16/2018,14:32:00,Texas:,TRE,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,Unknown,Unknown
January,01/17/2018,05:10:00,01/17/2018,13:00:00,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,1788,420000
January,01/17/2018,06:10:00,01/17/2018,14:00:00,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,Unknown,Unknown
January,01/18/2018,05:00:00,01/18/2018,11:00:00,Arkansas: Mississippi: Louisiana: Texas:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,31500,Unknown
January,01/18/2018,05:00:00,01/18/2018,09:45:00,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,1760,420000
