,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
0,2022,4110.0,Commonwealth Edison Co,IL,Investor Owned,65.800,0.630,104.444,37.640,0.520,72.385,65.330,0.629,103.863,"4,194,257",34.0,Y,.,.,.,.,.,.,.,,,.,
1,2022,4362.0,Corn Belt Energy Corporation,IL,Cooperative,159.400,3.230,49.350,142.300,3.190,44.608,98.500,3.120,31.571,"36,807",69.0,Y,.,.,.,.,.,.,.,,,.,
2,2022,5585.0,Eastern Illinois Elec Coop,IL,Cooperative,176.900,1.680,105.298,163.700,1.520,107.697,122.100,1.120,109.018,"13,506",7.2,Y,.,.,.,.,.,.,.,,,.,
3,2022,7096.0,City of Geneva- (IL),IL,Municipal,22.120,0.564,39.220,22.120,0.564,39.220,.,.,.,"10,153",34.5,N,.,.,.,.,.,.,.,,,.,
4,2022,9750.0,"Jo-Carroll Energy, Inc",IL,Cooperative,52.492,0.493,106.475,42.917,0.428,100.273,52.492,0.493,106.475,"20,356",13.8,N,.,.,.,.,.,.,.,,,.,
5,2022,12341.0,MidAmerican Energy Co,IL,Investor Owned,111.000,1.080,102.778,111.000,1.080,102.778,109.000,1.010,107.921,"85,352",13.8,Y,.,.,.,.,.,.,.,,,.,
6,2022,12395.0,Menard Electric Coop,IL,Cooperative,121.690,1.394,87.296,121.690,1.394,87.296,92.482,0.996,92.853,"11,180",12.5,Y,.,.,.,.,.,.,.,,,.,
7,2022,13032.0,Mt Carmel Public Utility Co,IL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,291.630,3.430,85.023,107.136,1.430,74.920,"5,307",N,L,69.0,Y
8,2022,13208.0,City of Naperville - (IL),IL,Municipal,16.580,0.300,55.267,.,.,.,.,.,.,"62,212",12.4,Y,.,.,.,.,.,.,.,,,.,
9,2022,16179.0,Rochelle Municipal Utilities,IL,Municipal,55.000,0.787,69.886,.,.,.,.,.,.,"6,943",15.0,N,.,.,.,.,.,.,.,,,.,
10,2022,16196.0,Rock Energy Cooperative,IL,Cooperative,13.325,0.180,74.028,.,.,.,.,.,.,"10,386",12.5,Y,.,.,.,.,.,.,.,,,.,
11,2022,17585.0,"Southeastern IL Elec Coop, Inc",IL,Cooperative,175.829,1.632,107.738,137.022,1.338,102.408,.,.,.,"24,726",12.4,Y,.,.,.,.,.,.,.,,,.,
12,2022,17697.0,Southwestern Electric Coop Inc - (IL),IL,Cooperative,645.560,3.449,187.173,431.560,2.883,149.691,371.540,2.136,173.942,"24,012",13.0,Y,.,.,.,.,.,.,.,,,.,
13,2022,17828.0,City of Springfield - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,57.810,0.848,68.172,.,.,.,"70,454",N,L,12.5,Y
14,2022,17860.0,City of St Charles - (IL),IL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,19.811,1.245,15.912,10.437,1.088,9.593,"16,266",Y,L,12.4,N
15,2022,18955.0,"Tri-County Electric Coop, Inc (IL)",IL,Cooperative,183.500,1.590,115.409,68.100,0.710,95.915,140.900,1.200,117.417,"16,657",12.5,Y,.,.,.,.,.,.,.,,,.,
16,2022,56697.0,Ameren Illinois Company,IL,Investor Owned,162.300,1.020,159.118,114.900,0.880,130.568,161.900,1.010,160.297,"1,251,346",69.0,Y,.,.,.,.,.,.,.,,,.,
