Data Year,Utility Number,Utility Name,Merge Date,Merge Company,New Parent,Merge Address,Merge City,Merge State,Merge Zip
2016,221,"Alaska Village Elec Coop, Inc",10/04/2016,Oscarville Village Council - Electric di,Alaska Village Electric Cooperative Inc.,4831 Eagle Street,Anchorage,AK,99503.0
2016,796,Arizona Electric Pwr Coop Inc,03/01/2016,Southwest Transmission Coop Inc,Arizona Electric Pwr Coop Inc,3525 N US Highway 191,Cochise,AZ,85602.0
2016,963,Atlantic City Electric Co,03/23/2016,Exelon Corporation,Exelon Corporation,P.O. Box 805398,Chicago,IL,60680.0
2016,3278,AEP Texas Central Company,12/31/2016,AEP Texas North Company,"AEP Texas, Inc.",One Riverside Plaza,Columbus,OH,43215.0
2016,3461,Cheyenne Light Fuel & Power d/b/a Black Hills Energy,02/12/2016,"SourceGas Holdings, LLC",Black Hills Corporation,625 Ninth Sreet,Rapid City,SD,57701.0
2016,5027,Delmarva Power,03/23/2016,Exelon Corporation,Exelon Corporation,P.O. Box 805398,Chicago,IL,60680.0
2016,15049,Electrical Dist No4 Pinal County,02/03/2016,Electrical District No5 Pinal County,Electrical District No4 Pinal County,231 S Sunshine Blvd,Eloy,AZ,85131.0
2016,15270,Potomac Electric Power Co,03/23/2016,Exelon Corporation,Exelon Corporation,P.O. Box 805398,Chicago,IL,60680.0
2016,16840,"Calpine Energy Solutions, LLC",12/01/2016,,Calpine Corporation,,,,
2016,19545,"Black Hills Power, Inc. d/b/a",02/12/2016,"SourceGas Holdings, LLC",Black Hills Corporation,625 Ninth Street,Rapid City,SD,57701.0
2016,20404,AEP Texas North Company,12/31/2016,AEP Texas Central Company,"AEP Texas, Inc.",One Riverside Plaza,Columbus,OH,43215.0
2016,56146,Black Hills/Colorado Elec.Util,02/12/2016,"SourceGas Holdings, LLC",Black Hills Corporation,625 Ninth Street,Rapid City,SD,57701.0
2016,59059,Town Square Energy,11/02/2016,,Genie Retail Energy,520 Broad Street,Newark,NJ,7102.0
2016,59112,"Guttman Energy, Inc.",02/19/2016,GDF Suez Energy,GDF Suez Energy,1990 Post Oak Blvd Suite 1900,Houston,TX,77056.0
