Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Reporting Year Incremental Annual Savings,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Incremental Life Cycle Savings,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Reporting Year Incremental Cost,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Incremental Life Cycle Costs,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Weighted Average Life,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2016,122,Village of Arcade - (NY),NY,NYIS,175,12,17,0,204,30,2.1,3,0,35.1,1755,123,174,0,2052,30,2.1,3,0,35.1,37,7,13,0,57,0,0,0,0,0,37,7,13,0,57,0,0,0,0,0,10,5,5,.,
2016,150,Adrian Public Utilities Comm,MN,MISO,12,123,15,0,150,0,0,0,0,0,201,1472,182,0,1855,0,0,0,0,0,1,8,1,0,10,1,5,1,0,7,1,8,1,0,10,1,5,1,0,6,15.8,12,12,0,
2016,162,Aiken Electric Coop Inc,SC,SC,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,25,0,0,0,25,20,0,0,0,
2016,189,PowerSouth Energy Cooperative,AL,AEC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,977,.,.,.,977,465,.,.,.,465,1966,.,.,.,1966,885,.,.,.,885,15,.,.,.,
2016,195,Alabama Power Co,AL,SOCO,6009,4104,1781,0,11894,3.5,5.9,0,0,9.4,75903.567,33815.488,3124.8,0,112843.855,1.99,3.02,0.1,0,5.11,184,0,0,0,184,2190,1140,642,0,3972,184,0,0,0,184,2190,1140,642,0,3972,11.74,13.11,5,0,
2016,207,City of Alameda,CA,CISO,1778,2421,.,.,4199,0,0.6,.,.,0.6,3719,28995,.,.,32714,0,0.6,.,.,0.6,79,454,.,.,533,318,614,.,.,932,79,454,.,.,533,318,614,.,.,931,5,12,.,.,"http://media,alamedamp.com/assets/PUB/2017/01/17-0123-5B-Energy-Efficiency-R.pdf"
2016,295,City of Alexandria - (MN),MN,MISO,351,882,3127,.,4360,0.1,0.2,0.7,.,1,5069,10891,38612,.,54572,0.1,0.2,0.7,.,1,46,59,208,.,313,26,33,117,.,176,46,59,208,.,313,26,33,117,.,176,14.5,12.3,12.3,.,
2016,309,City of Algona - (IA),IA,SWPP,61,158,22,.,241,0.1,0,0,.,0.1,1119,3140,442,.,4701,0.1,0,0,.,0.1,44,46,6,.,96,16,29,8,.,53,44,46,6,.,96,16,29,8,.,53,18,20,20,.,
2016,329,"Allamakee-Clayton El Coop, Inc",IA,MISO,2106,476,.,.,2582,0.2,0,.,.,0.2,29804,6744,.,.,36548,2.8,0,.,.,2.8,86,12,.,.,98,170,9,.,.,179,86,12,.,.,98,170,9,.,.,179,14.152,28.374,.,.,
2016,554,City of Ames - (IA),IA,MISO,1045,1253,.,.,2298,1.6,0.8,.,.,2.4,12122,12530,.,.,24652,1.27,1.12,.,.,2.39,402,256,.,.,658,75,75,.,.,150,402,256,.,.,658,75,75,.,.,150,11.6,10,.,.,
2016,590,City of Anaheim - (CA),CA,CISO,13899,16208,6946,.,37053,8.2,3.8,1.6,.,13.6,181746,122243,52390,.,356379,8.2,3.8,1.6,.,13.6,2589,1411,605,.,4605,292,269,115,.,676,2589,1411,605,.,4605,584,538,230,.,1352,13.1,7.5,7.5,.,
2016,691,City of Anoka,MN,MISO,319,4046,0,0,4365,0.1,3,0,0,3.1,6950,11725,0,0,18675,3.1,7.8,0,0,10.9,23,336,0,0,359,197,25,0,0,222,425,775,0,0,1200,1283,159,0,0,1442,7,7,0,0,
2016,733,Appalachian Power Co,VA,PJM,10979,8714,8714,0,28407,5.2,1.4,1.4,0,8,104084,114626,114626,0,333336,5.2,1.4,1.4,0,8,2305,469,469,0,3243,2210,173,173,0,2556,2305,469,469,0,3243,2210,173,173,0,2556,9.5,13.2,13.2,0,
