,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
0,2016,4110.0,Commonwealth Edison Co,IL,PJM,801191,946418,.,.,1747609,69,138,.,.,207,4636360,7879043,.,.,12515403,69,138,.,.,207,43387,76804,.,.,120191,27676,33891,.,.,61567,43387,76804,.,.,120191,27676,33891,.,.,61567,5.8,8.3,.,.,http://www.ilsag.info/evaluation-documents.html
1,2016,5585.0,Eastern Illinois Elec Coop,IL,MISO,996,.,.,.,996,.,.,.,.,.,14940,.,.,.,14940,.,.,.,.,.,.,.,.,.,.,3,.,.,.,3,.,.,.,.,.,50,.,.,.,50,15,.,.,.,
2,2016,9286.0,Illinois Municipal Elec Agency,IL,MISO,231,.,9212,.,9443,0,.,0.8,.,0.8,934,.,36848,.,37782,0,.,0.8,.,0.8,13,.,1679,.,1692,38,.,17,.,55,13,.,1679,.,1692,38,.,17,.,55,4,.,4,.,
3,2016,9750.0,Jo-Carroll Energy Coop Inc,IL,MISO,122,1246,.,.,1368,0,0.1,.,.,0.1,1758,17956,.,.,19714,0,1.4,.,.,1.4,17,29,.,.,46,42,8,1,.,51,17,29,0,.,46,42,8,1,.,51,14.413,14.411,0,0,
4,2016,12341.0,MidAmerican Energy Co,IL,MISO,14336,6430,7656,.,28422,4.6,0.9,1.2,.,6.7,68535,76471,106555,.,251561,3.8,0.9,1.2,.,5.9,2170,1445,2360,.,5975,796,159,315,.,1270,2170,1445,2360,.,5975,796,159,315,.,1270,4.78,11.89,13.92,.,http://www.icc.illinois.gov/docket/Documents.aspx?no=13-0423
5,2016,12395.0,Menard Electric Coop,IL,MISO,204,.,.,.,204,.,.,.,.,.,3059,.,.,.,3059,.,.,.,.,.,3,.,.,.,3,1,.,.,.,1,3,.,.,.,3,1,.,.,.,1,15,.,.,.,
6,2016,12803.0,"Monroe County Elec Coop, Inc",IL,MISO,265,.,.,.,265,0.1,.,.,.,0.1,3975,.,.,.,3975,1.5,.,.,.,1.5,27,.,.,.,27,.,.,.,.,.,27,.,.,.,27,.,.,.,.,.,15,.,.,.,
7,2016,17828.0,City of Springfield - (IL),IL,MISO,5237,388,.,.,5625,0.1,0.4,.,.,0.5,12814,5474,.,.,18288,2,4.9,.,.,6.9,252,119,.,.,371,223,105,.,.,328,258,119,.,.,377,223,105,.,.,328,2.45,18.47,.,.,https://www.cwlp.com/ConservationHome/ConservationHome.aspx
8,2016,40211.0,"Wabash Valley Power Assn, Inc",IL,MISO,1482,2087,141,.,3710,0.1,20.3,0,.,20.4,14408,28363,1894,.,44665,0.1,20.3,0,.,20.4,449,181,24,.,654,32,49,46,.,127,449,181,24,.,654,32,49,46,.,127,9.723,13.593,13.392,.,
9,2016,56697.0,Ameren Illinois Company,IL,MISO,161548,190330,.,.,351878,18.7,25.4,.,.,44.1,1085603,2122180,.,.,3207783,18.7,25.4,.,.,44.1,24721,15797,.,.,40518,20890,8898,.,.,29788,24721,15797,.,.,40518,20890,8898,.,.,29788,6.72,11.15,.,.,
