,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,"|..""Data Type O = Observed I = Imputed""|"
0,2016,97,Adams Electric Coop,IL,Cooperative,SERC,35,37,4450,172331,.,.,0,.,.,0,.,176781,164284,.,.,330,12167,176781,21629,.,.,.,.,251,21880,O
1,2016,970,Homefield Energy,IL,Retail Power Marketer,RFC,.,.,.,12151352,.,.,0,.,.,0,.,12151352,12151352,.,.,.,.,12151352,705700.3,.,.,.,.,.,705700.3,O
2,2016,1325,City of Batavia - (IL),IL,Municipal,RFC,92.7,65.9,.,450253,.,.,0,.,.,0,.,450253,435002,.,.,.,15251,450253,49205,.,.,.,.,1943,51148,O
3,2016,3806,"Clinton County Elec Coop, Inc",IL,Cooperative,RFC,32,29,.,148039,.,.,0,.,.,0,.,148039,140607,.,.,.,7432,148039,16699,.,.,.,.,131,16830,O
4,2016,3931,Coles-Moultrie Electric Coop,IL,Cooperative,SERC,42.1,42.7,.,213742,.,.,0,.,.,0,.,213742,202195,.,.,524,11023,213742,24074,.,.,.,.,1418,25492,O
5,2016,4110,Commonwealth Edison Co,IL,Investor Owned,RFC,20949,15385,.,28050971,.,.,0,.,.,0,.,28050971,25092989,705078,455434,81484,1715986,28050971,2730710.8,1697251.9,17266,.,694096.7,.,5139325.4,O
6,2016,4362,Corn Belt Energy Corporation,IL,Cooperative,RFC,140.1,110.5,0,676719,.,.,0,.,.,0,.,676719,651890,.,.,1369,23460,676719,80066.2,.,.,.,.,265.9,80332.1,O
7,2016,5535,Egyptian Electric Coop Assn,IL,Cooperative,RFC,75.2,91.4,.,353499,.,.,0,.,.,0,.,353499,331170,.,.,.,22329,353499,38519.4,.,.,.,.,.,38519.4,O
8,2016,5585,Eastern Illinois Elec Coop,IL,Cooperative,RFC,47,49.4,.,259086,.,.,0,.,.,0,.,259086,238870,.,.,107,20109,259086,33132,.,.,-25,.,31,33138,O
9,2016,5748,Electric Energy Inc,IL,Investor Owned,SERC,0,0,3162668,0,0,0,0,0,0,0,0,3162668,0,3162668,0,0,0,3162668,0,0,90755,0,0,0,90755,O
10,2016,6417,City of Flora - (IL),IL,Municipal,,25.9,18.4,55,128378,.,.,0,.,.,0,.,128433,119654,.,1799,.,6980,128433,12854,.,.,.,.,74,12928,O
11,2016,7096,City of Geneva- (IL),IL,Municipal,RFC,85.8,70.4,6440,414096,.,.,0,.,.,0,-13746,406790,398962,.,.,.,7828,406790,40049.6,.,.,.,.,1149.4,41199,O
12,2016,8573,City of Highland,IL,Municipal,SERC,33.8,21.6,221,138746,.,.,0,.,.,0,.,138967,129209,.,571,976,8211,138967,13490.1,.,.,.,.,501.5,13991.6,O
13,2016,8824,M J M Electric Cooperative Inc,IL,Cooperative,RFC,31,26,.,141835,.,.,0,.,.,0,.,141835,130999,.,.,.,10836,141835,19543,.,.,.,.,244,19787,O
14,2016,9209,Illinois Rural Electric Coop,IL,Cooperative,RFC,44.6,38.1,3216,186699,.,.,0,.,.,0,.,189915,183276,.,.,.,6639,189915,29139,.,.,.,.,213,29352,O
15,2016,9286,Illinois Municipal Elec Agency,IL,Municipal Mktg Authority,SERC & RFC,941.7,644.2,2519573,1637324,.,.,0,.,.,0,.,4156897,.,4156897,.,.,.,4156897,.,.,321369,.,.,3396,324765,O
16,2016,9750,Jo-Carroll Energy Coop Inc,IL,Cooperative,MRO,99.2,84.8,446,548319,.,.,0,.,.,0,.,548765,531321,.,.,981,16463,548765,55471.4,.,.,.,.,.,55471.4,O
17,2016,12395,Menard Electric Coop,IL,Cooperative,RFC,64.3,34.1,.,221789,.,.,0,.,.,0,.,221789,204231,.,.,267,17291,221789,27998.5,.,.,.,.,284.5,28283,O
18,2016,12803,"Monroe County Elec Coop, Inc",IL,Cooperative,RFC,31,26,.,123218,.,.,0,.,.,0,.,123218,115281,.,327,.,7610,123218,16217,.,.,.,.,205,16422,O
