Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2018,3400,City of Chaska - (MN),MN,MISO,267,"2,819","2,855",.,"5,941",0.3,0.9,0.4,.,1.6,"2,671","28,186","28,550",.,"59,406",0.3,0.9,0.4,.,1.6,37,238,168,.,443,8,64,62,.,134,37,238,168,.,443,8,64,62,.,134,10.000,10.000,10.000,.,
2018,3413,PUD No 1 of Chelan County,WA,CHPD,"3,200","10,456","3,009",.,"16,665",1.5,2.4,0.6,.,4.5,"50,916","135,301","15,394",.,"201,610",1.5,2.4,0.6,.,4.5,759,"2,064",349,.,"3,172",224,711,18,.,953,759,"2,064",349,.,"3,172",224,711,18,.,953,15.900,12.900,5.100,.,
2018,3420,City of Cheney - (WA),WA,AVA,40,106,318,.,464,0.0,0.0,0.1,.,0.1,479,"1,267","3,817",.,"5,563",0.0,0.0,0.1,.,0.1,14,18,92,.,124,.,.,.,.,.,14,18,92,.,124,.,.,.,.,.,10.000,20.000,20.000,.,
2018,3461,Cheyenne Light Fuel & Power d/b/a Black,WY,WACM,291,"4,702",.,.,"4,993",0.1,1.0,.,.,1.1,"4,365","70,530",.,.,"74,895",0.1,1.0,.,.,1.1,34,550,.,.,584,138,186,.,.,325,34,550,.,.,584,138,186,.,.,325,15.000,15.000,.,.,https://dms.wyo.gov/ManageDocket.aspx?DocketId=G62sAjKKWLPYc3pfVHt%2bpl1oqbFVesW5WemC136PWMg%3d
2018,3477,City of Chicopee - (MA),MA,ISNE,151,645,467,.,"1,263",0.0,0.1,0.1,.,0.2,"1,509","9,678","7,011",.,"18,198",0.0,0.1,0.1,.,0.2,58,160,88,.,307,38,53,29,.,120,58,160,88,.,307,38,53,29,.,120,10.000,15.000,15.000,.,
2018,3498,Chippewa Valley Electric Coop,WI,MISO,246,0,0,0,246,0.0,0.0,0.0,0.0,0.0,"3,370",0,0,0,"3,370",0.0,0.0,0.0,0.0,0.0,24,0,0,0,24,45,0,0,0,45,24,0,0,0,24,45,0,0,0,45,13.698,0.000,0.000,0.000,
2018,3502,"Choctawhatche Elec Coop, Inc",FL,AEC,65,.,.,.,65,71.1,.,.,.,71.1,977,.,.,.,977,71.1,.,.,.,71.1,22,.,.,.,22,0,.,.,.,0,33,.,.,.,33,1,.,.,.,1,15.000,.,.,.,
2018,3503,"Choptank Electric Coop, Inc",MD,PJM,9,0,0,.,9,0.0,0.0,0.0,.,0.0,80,0,0,.,80,0.0,0.0,0.0,.,0.0,3,0,0,.,3,0,0,0,.,0,3,0,0,.,3,0,0,0,.,0,13.000,0.000,0.000,.,
2018,3542,Duke Energy Ohio Inc,OH,PJM,"216,537","124,009",.,.,"340,546",38.7,20.3,.,.,59.0,"1,417,572","1,079,335",.,.,"2,496,907",38.7,20.3,.,.,59.0,"7,793","12,303",.,.,"20,096","8,632","3,407",.,.,"12,039","7,793","12,303",.,.,"20,096","8,632","3,407",.,.,"12,039",6.500,8.700,.,.,
2018,3644,PUD No 1 of Clallam County,WA,BPAT,"2,673","2,069",634,.,"5,376",.,.,.,.,.,"39,784","25,528","7,125",.,"72,437",.,.,.,.,.,411,343,105,.,859,334,153,7,.,494,411,343,105,.,859,334,153,7,.,494,14.880,12.340,11.240,.,http://www.commerce.wa.gov/growing-the-economy/energy/energy-independence-act/eia-reporting/
2018,3660,PUD No 1 of Clark County - (WA),WA,BPAT,"20,096","25,980","12,888",.,"58,964",4.7,6.1,3.0,.,13.9,"261,248","311,760","128,880",.,"701,888",4.7,6.1,3.0,.,13.9,"3,280","3,726","2,219",.,"9,225","1,009",836,444,.,"2,289","3,280","3,726","2,219",.,"9,225","1,009",836,444,.,"2,289",13.000,12.000,10.000,.,https://www.commerce.wa.gov/growing-the-economy/energy/energy-independence-act/eia-reporting/
2018,3701,Clark Electric Coop - (WI),WI,MISO,864,682,.,.,"1,546",0.1,0.0,.,.,0.1,"11,981","9,291",.,.,"21,272",0.1,0.0,.,.,0.1,58,9,.,.,67,4,0,.,.,4,58,9,.,.,67,4,0,.,.,4,13.763,13.623,.,.,
2018,3739,Clearwater Power Company,ID,BPAT,255,539,454,.,"1,248",0.1,0.1,0.1,.,0.2,"4,845","6,472","5,446",.,"16,763",0.1,0.1,0.1,.,0.2,68,83,40,.,191,20,43,36,.,100,68,83,40,.,191,20,43,36,.,100,16.468,12.000,12.000,.,
2018,3739,Clearwater Power Company,WA,BPAT,8,3,.,.,11,0.0,0.0,.,.,0.0,350,41,.,.,391,0.0,0.0,.,.,0.0,3,1,.,.,3,1,0,.,.,1,3,1,.,.,3,1,0,.,.,1,30.000,12.000,.,.,
2018,3755,Cleveland Electric Illum Co,OH,PJM,"147,227","109,071","31,446",0,"287,744",24.7,19.3,3.9,0.0,47.9,"1,579,743","1,424,463","410,686",0,"3,414,893",24.7,19.3,3.9,0.0,47.9,"6,879","3,806","1,924",0,"12,609","4,163","3,352","1,273",0,"8,788","6,879","3,806","1,924",0,"12,609","4,163","3,352","1,273",0,"8,788",10.730,13.060,13.060,0.000,http://dis.puc.state.oh.us/
2018,3757,"Clay Electric Cooperative, Inc",FL,SEC,"2,238",0,0,0,"2,238",0.2,0.0,0.0,0.0,0.2,"31,895",0,0,0,"31,895",0.2,0.0,0.0,0.0,0.2,176,0,0,0,176,326,0,0,0,326,176,0,0,0,176,326,0,0,0,326,14.252,0.000,0.000,0.000,
2018,3764,Clearwater-Polk Elec Coop Inc,MN,MISO,137,.,.,.,137,.,.,.,.,.,"2,379",.,.,.,"2,379",.,.,.,.,.,28,.,.,.,28,8,.,.,.,8,28,.,.,.,28,8,.,.,.,8,8.880,.,.,.,www.clearwater-polk.com/content/rebates
2018,3828,Cloverland Electric Co-op,MI,MISO,"2,059","4,426",.,.,"6,485",.,.,.,.,.,"24,710","53,113",.,.,"77,823",.,.,.,.,.,460,279,.,.,739,299,404,.,.,703,460,279,.,.,739,299,404,.,.,703,12.000,12.000,.,.,
2018,3841,Coast Electric Power Assn,MS,SOCO,"5,837",28,.,.,"5,866",1.0,0.0,.,.,1.0,"43,300",423,.,.,"43,724",1.0,0.0,.,.,1.0,258,23,.,.,281,41,2,.,.,43,258,23,.,.,281,41,2,.,.,43,7.420,15.000,.,.,
2018,3915,Coldwater Board of Public Util,MI,MISO,149,"1,701","5,613",.,"7,463",0.0,0.4,13.5,.,13.9,"1,043","17,010","56,130",.,"74,183",0.0,0.0,0.1,.,0.2,49,163,139,.,351,14,26,59,.,99,49,163,139,.,351,14,26,59,.,99,7.000,10.000,10.000,.,
2018,3940,City of College Station - (TX),TX,ERCO,"1,152","1,563",.,.,"2,715",0.9,0.4,.,.,1.3,"14,979","20,318",.,.,"35,296",0.9,0.4,.,.,1.3,331,43,.,.,374,88,21,.,.,109,331,43,.,.,374,88,21,.,.,109,13.000,13.000,.,.,
2018,3989,City of Colorado Springs - (CO),CO,WACM,"32,007","18,303",0,0,"50,310",7.5,2.4,0.0,0.0,9.9,"331,243","183,687",0,0,"514,931",7.5,2.4,0.0,0.0,9.9,776,"2,209",0,0,"2,985",480,408,0,0,888,776,"2,209",0,0,"2,985",480,408,0,0,888,10.349,10.036,0.000,0.000,
2018,4003,City of Colton - (CA),CA,CISO,683,975,344,.,"2,002",0.1,0.1,0.1,.,0.3,"6,621","11,537","2,752",.,"20,909",0.1,0.1,0.1,.,0.3,193,469,53,.,714,238,326,136,.,699,193,469,53,.,714,238,326,136,.,699,10.046,13.632,8.000,.,
2018,4005,"Columbia Basin Elec Cooperative, Inc",OR,BPAT,14,742,507,0,"1,262",0.0,0.0,0.1,0.0,0.1,536,"3,706","7,605",0,"11,847",0.0,0.0,0.1,0.0,0.1,3,36,35,0,75,0,20,14,0,35,3,36,35,0,75,0,20,14,0,35,0.425,0.205,6.024,0.000,https://cbec.cc/energy-efficiency-programs
2018,4008,Columbia Power Coop Assn Inc,OR,BPAT,3,.,310,.,313,0.5,.,0.5,.,1.0,30,.,"3,100",.,"3,130",0.4,.,0.4,.,0.8,14,.,16,.,30,.,.,.,.,.,14,.,16,.,30,.,.,.,.,.,10.000,.,10.000,.,
2018,4045,City of Columbia - (MO),MO,MISO,"1,005","2,700",.,.,"3,705",0.3,0.8,.,.,1.1,"20,100","38,206",.,.,"58,306",0.2,0.7,.,.,0.9,424,392,.,.,816,350,300,.,.,650,424,392,.,.,816,350,300,.,.,650,20.000,15.000,.,.,
2018,4110,Commonwealth Edison Co,IL,PJM,"1,078,734","1,101,310",.,.,"2,180,044",70.0,125.0,.,.,195.0,"9,052,448","15,464,467",.,.,"24,516,915",70.0,125.0,.,.,195.0,"78,680","124,500",.,.,"203,180","44,400","53,630",.,.,"98,030","78,680","124,500",.,.,"203,180","44,400","53,630",.,.,"98,030",8.390,11.150,.,.,http://www.ilsag.info/evaluation-documents.html
2018,4147,Town of Concord - (MA),MA,ISNE,363,668,.,.,"1,031",0.1,0.1,.,.,0.3,"3,610","8,289",.,.,"11,899",0.1,0.1,.,.,0.3,185,131,.,.,316,63,51,.,.,114,185,131,.,.,316,63,51,.,.,114,9.950,12.000,.,.,
2018,4176,Connecticut Light & Power Co,CT,ISNE,"149,265","178,040","53,365",.,"380,669",20.8,25.7,7.7,.,54.2,"1,078,720","2,130,520","638,589",.,"3,847,829",20.8,25.7,7.7,.,54.2,"27,304","29,546","8,826",.,"65,676","12,721","13,018","5,802",.,"31,541","27,304","29,546","8,826",.,"65,676","12,721","13,018","5,802",.,"31,541",7.220,11.960,11.960,.,http://www.ctenergydashboard.com
2018,4226,Consolidated Edison Co-NY Inc,NY,NYIS,"186,696","247,644",.,.,"434,340",29.2,62.6,.,.,91.8,"1,720,827","2,386,908",.,.,"4,107,735",29.2,62.6,.,.,91.8,"18,891","46,611",.,.,"65,502","16,482","16,268",.,.,"32,750","20,988","50,238",.,.,"71,226","17,704","17,585",.,.,"35,289",9.220,9.640,.,.,
2018,4254,Consumers Energy Co,MI,MISO,"174,525","275,858","91,953",0,"542,336",16.5,39.0,13.5,0.0,69.0,"1,822,704","3,665,832","1,221,944",0,"6,710,480",16.5,39.0,13.5,0.0,69.0,"15,183","33,642","11,214",0,"60,039","21,148","27,488","9,162",0,"57,798","15,183","33,642","11,214",0,"60,039","21,148","27,488","9,162",0,"57,798",10.400,13.300,13.300,0.000,
2018,4363,Corn Belt Power Coop,IA,SWPP,"3,551","11,473","5,504",.,"20,529",0.4,1.4,1.5,.,3.4,"47,429","206,585","68,881",.,"322,896",0.4,1.4,1.5,.,3.4,417,257,232,.,906,16,44,21,.,82,417,257,232,.,906,16,44,21,.,82,13.355,18.006,12.515,.,
2018,4401,"Cotton Electric Coop, Inc",OK,SWPP,156,.,.,.,156,2.1,.,.,.,2.1,"1,416",.,.,.,"1,416",2.0,.,.,.,2.0,43,.,.,.,43,12,.,.,.,12,43,.,.,.,43,137,.,.,.,137,10.000,.,.,.,
2018,4432,Coweta-Fayette El Member Corp,GA,SOCO,"1,674",86,.,.,"1,760",1.9,0.7,.,.,2.6,"16,740",864,.,.,"17,604",1.9,0.7,.,.,2.6,66,13,.,.,78,141,30,.,.,171,66,13,.,.,78,141,30,.,.,171,10.000,10.000,.,.,www.utility.org
2018,4442,PUD No 1 of Cowlitz County,WA,BPAT,"2,046","6,103","19,468",0,"27,618",0.3,0.9,2.2,0.0,3.4,"35,807","74,294","74,397",0,"184,498",0.3,0.9,2.2,0.0,3.4,878,"1,175","2,357",0,"4,410",195,162,140,0,496,878,"1,175","2,357",0,"4,410",195,162,140,0,496,17.497,12.173,3.821,0.000,https://www.commerce.wa.gov/growing-the-economy/energy/energy-independence-act/eia-reporting/
2018,4683,City of Cuyahoga Falls - (OH),OH,PJM,0,"2,599",117,0,"2,716",0.0,0.4,0.0,0.0,0.4,0,"36,742","1,519",0,"38,261",0.0,0.4,0.0,0.0,0.4,0,118,9,0,127,0,0,0,0,0,0,118,9,0,127,0,0,0,0,0,0.000,14.140,13.000,0.000,
2018,4794,City of Danville - (VA),VA,PJM,257,"1,180","1,477",.,"2,914",0.1,0.2,0.0,.,0.4,"3,703","34,475","36,084",.,"74,262",0.1,0.2,0.0,.,0.4,66,92,52,.,210,270,26,2,.,297,121,150,63,.,334,496,27,2,.,524,13.180,13.180,13.180,.,
2018,4911,Dawson Power District,NE,SWPP,638,920,371,.,"1,929",0.2,0.1,0.0,.,0.3,"11,971","10,268","4,476",.,"26,714",0.2,0.1,0.0,.,0.3,96,45,19,.,159,7,16,7,.,30,96,45,19,.,159,7,16,7,.,30,18.767,11.156,12.077,.,
2018,4922,Dayton Power & Light Co,OH,PJM,"69,430","66,527","50,557",.,"186,514",7.8,11.1,6.3,.,25.3,"1,108,418","688,967","523,576",.,"2,320,961",7.9,11.2,6.4,.,25.4,"4,922","4,553","3,460",.,"12,935","3,825","1,773","1,347",.,"6,945","4,922","4,553","3,460",.,"12,935","3,825","1,773","1,347",.,"6,945",15.970,10.360,10.360,.,
2018,5027,Delmarva Power,MD,PJM,"27,952","26,407",.,.,"54,359",4.9,5.3,.,.,10.2,"141,459","350,041",.,.,"491,500",4.9,5.3,.,.,10.2,"3,303","8,544",.,.,"11,847","4,425","3,960",.,.,"8,385","3,303","8,544",.,.,"11,847","4,425","3,960",.,.,"8,385",5.100,13.300,.,.,
2018,5056,City of Denison - (IA),IA,SWPP,207,259,883,.,"1,348",0.0,0.0,0.1,.,0.2,"2,632","3,205","10,665",.,"16,502",0.0,0.0,0.1,.,0.2,17,10,35,.,61,9,10,25,.,44,17,10,35,.,61,9,10,25,.,44,12.700,12.390,12.090,.,
2018,5063,City of Denton - (TX),TX,ERCO,461,.,.,.,461,0.3,.,.,.,0.3,"8,298",.,.,.,"8,298",0.3,.,.,.,0.3,154,.,.,.,154,40,.,.,.,40,154,.,.,.,154,40,.,.,.,40,15.000,.,.,.,
2018,5070,Delaware Electric Cooperative,DE,PJM,200,156,.,.,356,3.9,0.0,.,.,3.9,826,"1,045",.,.,"1,871",2.0,0.0,.,.,2.0,39,13,.,.,52,8,3,.,.,10,39,13,.,.,52,8,3,.,.,10,7.800,13.000,.,.,
2018,5109,DTE Electric Company,MI,MISO,"325,999","401,531",.,.,"727,530",31.8,59.3,.,.,91.1,"20,014,967","27,486,403",.,.,"47,501,370",34.8,51.0,.,.,85.8,.,.,.,.,.,"61,892","44,737",.,.,"106,629",.,.,.,.,.,"397,382","325,224",.,.,"722,606",13.680,13.910,.,.,
2018,5111,City of Detroit Lakes - (MN),MN,MISO,350,480,932,.,"1,761",0.0,0.1,0.2,.,0.3,"4,731","6,084","11,810",.,"22,625",0.0,0.1,0.2,.,0.3,24,25,49,.,99,9,9,18,.,37,24,25,49,.,99,9,9,18,.,37,13.500,12.700,12.700,.,
2018,5175,Dixie Electric Power Assn,MS,MISO,"1,990",.,.,.,"1,990",0.4,.,.,.,0.4,"6,294",.,.,.,"6,294",0.4,.,.,.,0.4,15,.,.,.,15,229,.,.,.,229,15,.,.,.,15,229,.,.,.,229,3.160,.,.,.,
2018,5204,Dixie Electric Coop,AL,AEC,18,.,.,.,18,0.2,.,.,.,0.2,180,.,.,.,180,0.2,.,.,.,0.2,13,.,.,.,13,.,.,.,.,.,13,.,.,.,13,.,.,.,.,.,10.000,.,.,.,
2018,5327,Douglas Electric Coop - (OR),OR,BPAT,520,13,.,.,533,0.0,0.0,.,.,0.0,"9,517",203,.,.,"9,720",0.0,0.0,.,.,0.0,172,3,.,.,175,38,1,.,.,39,172,3,.,.,175,38,1,.,.,39,9.000,16.000,.,.,www.dec.coop
2018,5336,City of Dover - (OH),OH,PJM,199,810,43,.,"1,052",0.0,0.1,0.0,.,0.1,"1,370","11,741",546,.,"13,657",0.0,0.1,0.0,.,0.1,12,26,1,.,39,79,104,5,.,188,12,26,1,.,39,79,104,5,.,188,7.000,15.000,13.000,.,tcoyle@efficiencysmart.org
2018,5416,"Duke Energy Carolinas, LLC",NC,DUK,"525,663","260,479",.,.,"786,142",106.0,45.0,.,.,150.9,"3,723,229","2,689,372",.,.,"6,412,601",106.0,45.0,.,.,150.9,"36,041","30,902",.,.,"66,943","20,763","8,756",.,.,"29,519","36,041","30,902",.,.,"66,943","20,763","8,756",.,.,"29,519",7.100,10.300,.,.,
2018,5416,"Duke Energy Carolinas, LLC",SC,DUK,"194,423","96,342",.,.,"290,765",39.2,16.6,.,.,55.8,"1,377,085","994,699",.,.,"2,371,784",39.2,16.6,.,.,55.8,"13,330","11,430",.,.,"24,760","7,680","3,238",.,.,"10,918","13,330","11,430",.,.,"24,760","7,680","3,238",.,.,"10,918",7.100,10.300,.,.,
2018,5417,Dunn County Electric Coop,WI,MISO,617,352,.,.,969,0.1,0.0,.,.,0.1,"8,639","4,768",.,.,"13,407",0.1,0.0,.,.,0.1,30,5,.,.,35,98,1,.,.,99,30,5,.,.,35,98,1,.,.,99,14.002,13.545,.,.,
2018,5487,Duquesne Light Co,PA,PJM,"38,315","42,936","16,298",.,"97,549",4.1,6.0,1.2,.,11.4,"483,936","342,550","186,703",.,"1,013,189",4.1,6.0,1.2,.,11.4,"1,127","2,795","1,673",.,"5,595","5,091","5,142","2,567",.,"12,800","1,127","2,795","1,673",.,"5,595","5,091","5,142","2,567",.,"12,800",6.990,7.000,15.000,0.000,
2018,5552,"East River Elec Pwr Coop, Inc",SD,SWPP,0,0,0,0,0,36.8,7.6,31.7,0.0,76.1,0,0,0,0,0,36.8,7.6,31.7,0.0,76.1,337,68,17,0,421,353,71,18,0,441,337,68,17,0,421,353,71,18,0,441,.,.,.,.,
2018,5575,City of East Grand Forks - (MN),MN,MISO,118,"1,231","1,518",.,"2,867",0.0,0.1,0.1,.,0.2,"1,788","15,704","24,183",.,"41,675",0.0,0.1,0.1,.,0.2,49,110,56,.,215,10,18,9,.,37,49,110,56,.,215,10,18,9,.,37,15.000,12.000,16.000,.,
2018,5580,"East Kentucky Power Coop, Inc",KY,PJM,"11,854","18,240",0,0,"30,094",1.2,2.6,0.0,0.0,3.8,"192,357","182,398",0,0,"374,755",1.2,2.6,0.0,0.0,3.8,"2,364",527,0,0,"2,891","2,108","1,027",0,0,"3,135","2,364",527,0,0,"2,891","2,108","1,027",0,0,"3,135",16.200,10.000,0.000,0.000,
2018,5585,Eastern Illinois Elec Coop,IL,MISO,562,.,.,.,562,0.0,.,.,.,0.0,"8,430",.,.,.,"8,430",0.0,.,.,.,0.0,.,.,.,.,.,3,.,.,.,3,.,.,.,.,.,50,.,.,.,50,15.000,.,.,.,
2018,5632,Eau Claire Electric Coop,WI,MISO,734,"1,621",0,0,"2,355",0.1,0.3,0.0,0.0,0.4,"10,383","22,749",0,0,"33,132",0.1,0.3,0.0,0.0,0.4,98,51,0,0,149,22,1,0,0,23,98,51,0,0,149,22,1,0,0,23,14.146,14.034,0.000,0.000,
2018,5701,El Paso Electric Co,NM,EPE,"12,793","9,135",0,0,"21,928",3.8,1.2,0.0,0.0,5.0,"171,254","125,313",0,0,"296,567",3.8,1.2,0.0,0.0,5.0,"1,918","1,265",0,0,"3,184",693,"1,015",0,0,"1,708","1,918","1,265",0,0,"3,184",693,"1,015",0,0,"1,708",13.386,13.718,0.000,0.000,
2018,5701,El Paso Electric Co,TX,EPE,"5,194","15,466",0,0,"20,659",2.2,3.3,0.0,0.0,5.5,"74,887","225,651",0,0,"300,537",2.2,3.3,0.0,0.0,5.5,"1,447","1,911",0,0,"3,359",30,88,0,0,117,"1,447","1,911",0,0,"3,359",30,88,0,0,117,14.419,14.591,0.000,0.000,
2018,5729,Electrical Dist No8 Maricopa,AZ,AZPS,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,.,34,.,.,.,.,.,.,.,34,.,34,.,.,.,.,
2018,5780,Elkhorn Rural Public Pwr Dist,NE,SWPP,57,"1,132",107,.,"1,296",0.0,0.2,0.0,.,0.2,982,"12,431","1,638",.,"15,051",0.0,0.2,0.0,.,0.2,9,57,7,.,74,4,10,5,.,18,9,57,7,.,74,4,10,5,.,18,17.369,10.977,15.330,.,www.erppd.com
2018,5832,Elmhurst Mutual Power & Light Co,WA,BPAT,110,686,.,.,796,0.0,0.1,.,.,0.1,"2,404","8,606",.,.,"11,010",0.0,0.1,.,.,0.1,18,37,.,.,55,.,.,.,.,.,18,37,.,.,55,.,.,.,.,.,21.920,12.540,.,.,
2018,5860,Empire District Electric Co,AR,SWPP,97,49,21,0,167,0.0,0.0,0.0,0.0,0.0,"1,272",641,275,0,"2,188",0.0,0.0,0.0,0.0,0.0,52,6,3,0,61,19,4,2,0,25,52,6,3,0,61,19,4,2,0,25,13.000,13.000,13.000,0.000,www.apscservices.info
2018,5860,Empire District Electric Co,MO,SWPP,615,"6,028","2,584",0,"9,227",0.2,0.9,0.4,0.0,1.5,"7,990","78,372","33,588",0,"119,950",0.2,0.9,0.4,0.0,1.5,403,498,213,0,"1,114",98,56,24,0,178,403,498,213,0,"1,114",98,56,24,0,178,13.000,13.000,13.000,.,Reports not available online.
2018,5862,"Empire Electric Assn, Inc",CO,WACM,264,"4,845",.,.,"5,108",0.2,2.1,.,.,2.2,"2,283","29,067",.,.,"31,350",0.2,2.1,.,.,2.2,153,81,.,.,234,20,20,.,.,40,153,81,.,.,234,20,20,.,.,40,10.730,6.000,.,.,
2018,5905,Excelsior Electric Member Corp,GA,SOCO,13,.,.,.,13,0.1,.,.,.,0.1,132,.,.,.,132,0.1,.,.,.,0.1,1,.,.,.,1,0,.,.,.,0,0,.,.,.,0,5,.,.,.,5,10.000,.,.,.,
2018,5930,Village of Fairport - (NY),NY,NYIS,"1,097",149,.,.,"1,246",19.2,0.3,.,.,19.5,"10,972","1,785",.,.,"12,757",10.1,0.3,.,.,10.4,86,30,.,.,116,13,4,.,.,17,97,30,.,.,127,15,5,.,.,19,10.000,12.000,.,.,
2018,5997,Town of Estes Park,CO,PSCO,14,945,0,0,959,0.0,0.1,0.0,0.0,0.1,201,"10,491",0,0,"10,692",0.0,0.1,0.0,0.0,0.1,12,221,0,0,234,31,20,0,0,52,12,221,0,0,234,31,20,0,0,52,14.070,11.106,0.000,0.000,
2018,6022,City of Eugene - (OR),OR,BPAT,"3,477","8,792",978,0,"13,247",1.5,1.9,0.2,0.0,3.5,"59,109","131,880","12,714",0,"203,703",1.5,1.9,0.2,0.0,3.5,"1,159","1,020",41,0,"2,220",0,0,0,0,0,"1,159","1,020",41,0,"2,220",0,0,0,0,0,17.000,15.000,13.000,0.000,
2018,6151,Fairmont Public Utilities Comm,MN,MISO,602,733,733,0,"2,068",0.1,0.1,0.1,0.0,0.2,"3,791","12,759","12,759",0,"29,308",0.1,0.1,0.1,0.0,0.2,79,65,65,0,209,39,34,34,0,107,79,65,65,0,209,39,34,34,0,107,6.300,17.400,17.400,0.000,
2018,6168,Farmers Electric Coop - (IA),IA,MISO,13,.,.,.,13,0.0,.,.,.,0.0,126,.,.,.,126,0.0,.,.,.,0.0,4,.,.,.,4,.,.,.,.,.,4,.,.,.,4,.,.,.,.,.,10.000,.,.,.,
2018,6198,"Farmers Electric Coop, Inc - (NM)",NM,SWPP,88,.,.,.,88,0.3,.,.,.,0.3,88,.,.,.,88,0.3,.,.,.,0.3,21,.,.,.,21,.,.,.,.,.,21,.,.,.,21,0,.,.,.,0,1.000,.,.,.,
2018,6335,"Firelands Electric Coop, Inc",OH,PJM,654,.,.,.,654,2.0,.,.,.,2.0,"11,717",.,.,.,"11,717",1.0,.,.,.,1.0,60,.,.,.,60,.,.,.,.,.,60,.,.,.,60,.,.,.,.,.,18.000,.,.,.,
2018,6374,Fitchburg Gas & Elec Light Co,MA,ISNE,"2,094","5,856","2,510",0,"10,461",0.4,0.8,0.4,0.0,1.5,"15,390","85,952","36,837",0,"138,179",0.4,0.8,0.4,0.0,1.5,"1,513",856,367,0,"2,737","1,005",436,187,0,"1,627","1,513",856,367,0,"2,737","1,005",436,187,0,"1,627",7.350,14.680,14.680,0.000,N/A
2018,6390,City of Flandreau,SD,MISO,22,35,1,.,57,0.0,0.0,0.0,.,0.0,353,417,13,.,783,0.0,0.0,0.0,.,0.0,2,2,0,.,4,1,1,0,.,2,2,2,0,.,4,1,1,0,.,2,16.400,12.000,12.000,.,
2018,6395,Flathead Electric Coop Inc,MT,BPAT,"2,151","6,380","1,024",.,"9,555",.,.,.,.,.,"36,903","77,187","31,104",.,"145,194",.,.,.,.,.,465,"1,037",324,.,"1,827",.,.,.,.,.,465,"1,037",324,.,"1,827",.,.,.,.,.,20.000,12.000,12.000,.,
2018,6452,Florida Power & Light Co,FL,FPL,"21,366","60,146",.,.,"81,512",10.0,15.0,.,.,25.0,.,.,.,.,.,.,.,.,.,.,"4,159","3,611",.,.,"7,770","17,807","10,527",.,.,"28,334",.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2018,6455,"Duke Energy Florida, LLC",FL,FPC,"40,861","37,195",0,0,"78,056",29.0,22.0,.,.,51.0,"346,139","376,836",0,0,"722,975",29.0,22.0,0.0,0.0,51.0,"7,906","2,101",0,0,"10,007","8,286","2,513",0,0,"10,799","7,906","2,101",0,0,"10,007","8,286","2,513",0,0,"10,799",8.500,10.100,.,.,http://www.psc.state.fl.us/ElectricNaturalGas/ARDemandSidePlans
2018,6457,Florida Public Utilities Co,FL,JEA,746,105,0,0,851,0.3,0.0,0.0,0.0,0.3,978,209,0,0,"1,187",0.3,0.0,0.0,0.0,0.3,25,14,0,0,39,517,316,0,0,833,25,14,0,0,39,517,316,0,0,833,10.000,10.000,.,.,
2018,6579,City of Forest City- (IA),IA,MISO,10,71,82,.,163,0.0,0.1,0.0,.,0.2,176,"1,430","1,641",.,"3,247",0.0,0.1,0.0,.,0.2,2,0,57,.,59,0,27,3,.,30,2,0,57,.,59,0,27,3,.,30,17.970,20.000,20.000,.,
2018,6604,City of Fort Collins - (CO),CO,PSCO,"15,441","8,376","8,376",0,"32,193",1.8,1.0,1.0,0.0,3.8,"46,839","106,241","106,241",0,"259,321",1.8,1.0,1.0,0.0,3.8,"1,587","2,025","2,025",0,"5,637",732,142,142,0,"1,016","1,587","2,025","2,025",0,"5,637",732,142,142,0,"1,016",3.000,12.700,12.700,0.000,www.fcgov.com/conserves www.efficiencyworks.org
2018,6615,City of Fort Pierre - (SD),SD,SWPP,30,0,.,.,31,0.0,0.0,.,.,0.0,538,5,.,.,543,0.0,0.0,.,.,0.0,5,0,.,.,6,2,0,.,.,2,5,0,.,.,6,2,0,.,.,2,17.800,15.000,15.000,.,
2018,6616,Fort Pierce Utilities Authority,FL,FMPP,173,.,.,.,173,0.1,.,.,.,0.1,"2,277",.,.,.,"2,277",0.1,.,.,.,0.1,63,.,.,.,63,6,.,.,.,6,63,.,.,.,63,6,.,.,.,6,13.170,.,.,.,www.fpua.com
