Utility Characteristics,,,,,Number and Capacity (MW),,,,Photovoltaic,,,,,,,Storage,,,,,,Wind,,,,,,Hydroelectric,,,,,,Fuel Cells,,,,,,Internal Combustion,,,,,,Combustion Turbine,,,,,,Steam,,,,,,Other,,,,,,Total,,,,,
Year,State,Utility Number,Utility Name,BA_CODE,Number of Generators,Total Capacity,Capacity Back-up Only,Capacity Utility Owned,Type,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total
2018,MS,55,City of Aberdeen - (MS),TVA,1,0.007,0.000,0.000,AC,0.007,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.007
2018,IL,97,Adams Electric Coop,MISO,1,0.900,.,0.900,DC,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,0.900,0.900,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.000,0.000,0.000,0.000,0.900,0.900
2018,NY,122,Village of Arcade - (NY),NYIS,13,1.000,1.000,1.000,,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,1.000,.,.,1.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.000,0.000,1.000,0.000,0.000,1.000
2018,AL,195,Alabama Power Co,SOCO,169,2.488,.,.,,0.502,1.199,0.740,0.000,0.000,2.441,.,.,.,.,.,0.000,0.002,0.005,0.000,0.000,0.000,0.007,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,0.040,.,.,0.040,0.504,1.204,0.780,0.000,0.000,2.488
2018,AK,213,Alaska Electric Light&Power Co,NA,6,0.141,.,.,,.,0.090,.,.,.,0.090,.,.,.,.,.,0.000,.,0.002,.,.,.,0.002,.,0.030,.,.,.,0.030,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,0.019,.,.,0.019,.,.,.,.,.,0.000,0.000,0.122,0.019,0.000,0.000,0.141
2018,AK,219,Alaska Power and Telephone Co,NA,29,13.815,7.770,13.815,AC,.,.,.,.,0.024,0.024,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,0.800,0.800,.,.,.,.,.,0.000,.,.,.,.,12.991,12.991,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.000,0.000,0.000,0.000,13.815,13.815
2018,AK,221,"Alaska Village Elec Coop, Inc",NA,118,17.575,3.346,17.287,,0.015,0.082,.,.,0.033,0.130,.,.,.,.,.,0.000,0.016,0.174,.,.,3.428,3.618,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,13.827,13.827,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.031,0.256,0.000,0.000,17.288,17.575
2018,NC,232,City of Albemarle - (NC),DUK,1,0.400,0.400,0.000,,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,0.400,.,.,.,0.400,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.000,0.400,0.000,0.000,0.000,0.400
2018,NC,240,Albemarle Electric Member Corp,PJM,16,0.091,.,.,AC,0.083,0.008,.,.,.,0.091,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.083,0.008,0.000,0.000,0.000,0.091
2018,AL,241,Albertville Municipal Utilities Board,TVA,2,0.020,0.000,0.000,AC,0.020,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.020
