Utility Characteristics,,,,,IEEE Standard,,,,,,,,,,,,Other Standard,,,,,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED Minus LOS,CAIDI Minus MED,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2018,84,A & N Electric Coop,MD,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,1.740,0.006,290.000,0.200,0.003,66.667,311,Y,O,12.5,N
2018,84,A & N Electric Coop,VA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,178.405,1.707,104.514,68.926,1.030,66.918,"35,908",Y,O,24.9,N
2018,97,Adams Electric Coop,IL,Cooperative,131.990,1.120,117.848,131.990,1.120,117.848,130.120,1.110,117.225,"8,665",12.5,Y,.,.,.,.,.,.,.,,,.,
2018,108,Adams-Columbia Electric Coop,WI,Cooperative,387.114,0.905,427.750,49.824,0.464,107.379,376.920,0.780,483.231,"36,944",12.0,Y,.,.,.,.,.,.,.,,,.,
2018,155,Agralite Electric Coop,MN,Cooperative,115.913,1.111,104.332,115.913,1.111,104.332,98.048,0.932,105.202,"5,274",12.4,Y,.,.,.,.,.,.,.,,,.,
2018,162,Aiken Electric Coop Inc,SC,Cooperative,239.960,.,.,89.670,.,.,239.630,.,.,"46,690",25.0,Y,.,.,.,.,.,.,.,,,.,
2018,195,Alabama Power Co,AL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,278.600,1.430,194.825,113.200,1.045,108.325,"1,476,907",N,F,35.0,Y
2018,207,City of Alameda,CA,Municipal,33.910,0.830,40.855,.,.,.,.,.,.,"35,329",12.0,Y,.,.,.,.,.,.,.,,,.,
2018,213,Alaska Electric Light&Power Co,AK,Investor Owned,100.000,2.800,35.714,100.000,2.800,35.714,40.000,0.922,43.384,"16,768",12.5,N,.,.,.,.,.,.,.,,,.,
2018,219,Alaska Power and Telephone Co,AK,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,261.600,6.039,43.318,.,.,.,"8,016",N,L,12.5,N
2018,232,City of Albemarle - (NC),NC,Municipal,213.400,1.435,148.711,37.500,0.574,65.331,.,.,.,"11,821",14.4,N,.,.,.,.,.,.,.,,,.,
2018,240,Albemarle Electric Member Corp,NC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,60.400,0.568,106.338,60.400,0.568,106.338,"12,840",N,F,12.5,Y
2018,241,Albertville Municipal Utilities Board,AL,Municipal,29.682,0.483,61.453,.,.,.,29.682,0.483,61.453,"10,054",12.5,N,.,.,.,.,.,.,.,,,.,
2018,276,Alcorn County Elec Power Assn,MS,Cooperative,87.540,1.336,65.524,.,.,.,.,.,.,"18,788",13.1,N,.,.,.,.,.,.,.,,,.,
2018,295,City of Alexandria - (MN),MN,Municipal,5.550,0.079,70.253,.,.,.,.,.,.,"9,928",13.2,N,.,.,.,.,.,.,.,,,.,
2018,296,"Alfalfa Electric Coop, Inc",KS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,48.000,0.462,103.896,16.101,0.338,47.636,953,N,O,14.4,Y
2018,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,137.966,1.076,128.221,43.783,0.497,88.095,"8,610",N,O,14.4,Y
2018,305,Alger-Delta Coop Electric Assn,MI,Cooperative,74.245,0.333,222.958,74.244,0.333,222.955,72.910,0.324,225.031,"10,047",34.5,Y,.,.,.,.,.,.,.,,,.,
2018,329,"Allamakee-Clayton El Coop, Inc",IA,Cooperative,90.600,0.733,123.602,90.600,0.733,123.602,.,.,.,"8,836",12.5,Y,.,.,.,.,.,.,.,,,.,
2018,392,Alpena Power Co,MI,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,206.200,1.900,108.526,91.900,1.000,91.900,"16,436",N,L,13.2,N
2018,407,Altamaha Electric Member Corp,GA,Cooperative,991.800,2.420,409.835,43.340,0.708,61.215,986.700,2.320,425.302,"20,736",24.9,N,.,.,.,.,.,.,.,,,.,
2018,554,City of Ames - (IA),IA,Municipal,39.779,0.515,77.241,39.779,0.515,77.241,39.779,0.515,77.241,"27,267",13.8,N,.,.,.,.,.,.,.,,,.,
2018,562,Amicalola Electric Member Corp,GA,Cooperative,928.280,3.920,236.806,563.640,3.560,158.326,924.740,3.550,260.490,"48,499",25.0,N,.,.,.,.,.,.,.,,,.,
2018,590,City of Anaheim - (CA),CA,Municipal,27.400,0.500,54.800,27.400,0.500,54.800,27.400,0.500,54.800,"121,464",12.0,Y,.,.,.,.,.,.,.,,,.,
2018,599,Anchorage Municipal Light and Power,AK,Municipal,25.520,0.339,75.280,25.520,0.339,75.280,25.520,0.339,75.280,"31,106",35.0,Y,.,.,.,.,.,.,.,,,.,
2018,636,City of Anderson - (IN),IN,Municipal,290.854,1.526,190.599,137.908,1.051,131.216,73.178,0.524,139.653,"35,254",13.2,Y,.,.,.,.,.,.,.,,,.,
2018,689,Connexus Energy,MN,Cooperative,40.087,0.500,80.174,37.022,0.465,79.617,38.831,0.473,82.095,"132,918",12.5,Y,.,.,.,.,.,.,.,,,.,
2018,694,Anza Electric Coop Inc,CA,Cooperative,"6,520.060",11.222,581.007,"6,356.070",10.940,580.994,307.420,1.869,164.484,"5,614",7.2,N,.,.,.,.,.,.,.,,,.,
2018,727,Appalachian Electric Coop,TN,Cooperative,294.942,3.338,88.359,294.942,3.338,88.359,294.942,3.338,88.359,"46,705",13.8,Y,.,.,.,.,.,.,.,,,.,
2018,733,Appalachian Power Co,VA,Investor Owned,"1,247.100",2.410,517.469,426.500,1.786,238.802,"1,177.400",2.192,537.135,"531,820",35.0,Y,.,.,.,.,.,.,.,,,.,
2018,733,Appalachian Power Co,WV,Investor Owned,"1,067.800",3.112,343.123,693.900,2.705,256.525,982.900,2.815,349.165,"422,611",35.0,Y,.,.,.,.,.,.,.,,,.,
2018,803,Arizona Public Service Co,AZ,Investor Owned,153.300,1.077,142.340,86.300,0.839,102.861,133.000,0.918,144.880,"1,239,949",69.0,N,.,.,.,.,.,.,.,,,.,
2018,814,Entergy Arkansas LLC,AR,Investor Owned,448.500,1.927,232.745,297.200,1.740,170.805,440.300,1.841,239.164,"722,846",34.5,Y,.,.,.,.,.,.,.,,,.,
