|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,|Utility Characteristics.."Data Type O = Observed I = Imputed"|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
2016,55,City of Aberdeen - (MS),A,Bundled,O,AL,Municipal,TVA,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0
2016,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,3913,35243,2607,5018,47874,669,5686,117989,2,0,0,0,14617,201106,3278
2016,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,MISO,5748.2,55262,4531,4247.9,37857,1033,3460.9,38959,28,.,.,.,13457,132078,5592
2016,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,248,2063,266,63.3,502,44,0,0,0,0,0,0,311.3,2565,310
2016,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,39757,340556,31000,17027.4,157615,3987,14907.2,173874,8,0,0,0,71691.6,672045,34995
2016,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,16207,111299,8513,5422,52985,221,.,.,.,.,.,.,21629,164284,8734
2016,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,40934,256276,33915,8397,68234,1916,13749,144365,897,.,.,.,63080,468875,36728
2016,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,22492.1,281490,37286,9070.5,127353,7079,0,0,0,0,0,0,31562.6,408843,44365
2016,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,2542.6,31774,2861,855.5,11793,416,0,0,0,0,0,0,3398.1,43567,3277
2016,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,13527,93694,7209,2052,16202,191,.,.,.,.,.,.,15579,109896,7400
2016,122,Village of Arcade - (NY),A,Bundled,O,NY,Municipal,NYIS,3391,66969,3610,2031,46024,564,1578,37815,15,.,.,.,7000,150808,4189
2016,123,City of Adel- (GA),A,Bundled,O,GA,Municipal,SOCO,3719,26285,1994,4972,34879,564,3954,50371,15,.,.,.,12645,111535,2573
2016,150,Adrian Public Utilities Comm,A,Bundled,O,MN,Municipal,MISO,728,6243,529,676,6008,107,76,568,2,0,0,0,1480,12819,638
2016,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,9388,81802,4388,5390,77340,271,5834,71819,563,.,.,.,20612,230961,5222
2016,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,84418,615270,44086,13957,135241,2741,13759,189555,16,.,.,.,112134,940066,46843
2016,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,517.7,4772,769,405.3,4698,210,0,0,0,0,0,0,923,9470,979
2016,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,2321848,18342899,1262752,1657249,14299128,199902,1416105,22310047,6090,.,.,.,5395202,54952074,1468744
2016,201,City of Alachua - (FL),A,Bundled,O,FL,Municipal,FPC,5570,44900,3789,9621,85523,733,0,0,0,0,0,0,15191,130423,4522
2016,207,City of Alameda,A,Bundled,O,CA,Municipal,CISO,20310.8,124253,30721,33750.1,217583,4112,.,.,.,.,.,.,54060.9,341836,34833
2016,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,,16508.4,139419,14466,11369.5,115771,2262,14384.1,138076,125,.,.,.,42262,393266,16853
2016,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,,7900,25754,5501,8771,37637,2335,.,.,.,.,.,.,16671,63391,7836
2016,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,,19588.9,40289,7860,29230.6,72799,3058,0,0,0,0,0,0,48819.5,113088,10918
2016,230,Albany Water Gas & Light Comm,A,Bundled,O,GA,Municipal,SOCO,37062.7,360766,31473,60381.9,560813,5610,.,.,.,.,.,.,97444.6,921579,37083
2016,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,16786.4,126907,9826,14288.7,132173,2234,2828.9,32426,13,0,0,0,33904,291506,12073
2016,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,PJM,22341,171975,11545,3902,36174,1118,447,6055,18,0,0,0,26690,214204,12681
2016,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,TVA,11478,119033,7915,17744,175359,2228,17397,290544,14,0,0,0,46619,584936,10157
2016,261,AGC Division of APG Inc,A,Bundled,O,IN,Investor Owned,MISO,.,.,.,.,.,.,84667.5,2629819,1,.,.,.,84667.5,2629819,1
2016,276,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,TVA,24778,219979,14655,20413,174449,4144,12002,213463,6,0,0,0,57193,607891,18805
2016,289,City of Alexander City,A,Bundled,O,AL,Municipal,SOCO,5553,53626,5155,4040,28828,1030,3815,48292,66,.,.,.,13408,130746,6251
2016,295,City of Alexandria - (MN),A,Bundled,O,MN,Municipal,MISO,7513.5,73007,7883,3688.7,38014,1668,13412.9,174677,200,.,.,.,24615.1,285698,9751
2016,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,SWPP,372,3898,223,957,7445,728,1789,26677,22,.,.,.,3118,38020,973
2016,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,SWPP,4631,48672,2747,6450,50354,4675,56198,972895,254,.,.,.,67279,1071921,7676
2016,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,MISO,30309.9,307675,20299,40683.2,431634,3784,482.8,5939,6,.,.,.,71475.9,745248,24089
2016,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,MISO,9852,47550,9449,2087,13527,522,2077,15639,1,0,0,0,14016,76716,9972
2016,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,MISO,1446.4,11283,1655,1643.6,14578,357,1719.4,19300,3,0,0,0,4809.4,45161,2015
2016,308,City of Acworth - (GA),A,Bundled,O,GA,Municipal,SOCO,9085.9,63470,5888,4467,34589,569,205.1,1605,2,.,.,.,13758,99664,6459
2016,309,City of Algona - (IA),A,Bundled,O,IA,Municipal,SWPP,4081,28886,3035,3408,29960,681,3689,55968,14,.,.,.,11178,114814,3730
2016,329,"Allamakee-Clayton El Coop, Inc",A,Bundled,O,IA,Cooperative,MISO,16170.7,112068,9432,1727.9,13784,520,.,.,.,.,.,.,17898.6,125852,9952
2016,367,City of Alliance- (NE),A,Bundled,O,NE,Municipal,SWPP,4930.8,38514,4239,5239.5,43890,1053,2846.5,27839,13,.,.,.,13016.8,110243,5305
2016,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,MISO,11667.3,87893,13720,12136.8,107050,3971,9230,155998,4,0,0,0,33034.1,350941,17695
2016,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,31047,236991,18331,9695,85842,1818,6708,88109,203,0,.,.,47450,410942,20352
2016,416,City of Altus - (OK),A,Bundled,O,OK,Municipal,SWPP,12220.6,86386,7657,7203.8,68051,1197,3294,41189,2,0,0,0,22718.4,195626,8856
2016,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,917,7274,705,972,8722,180,6213,80373,1,0,0,0,8102,96369,886
2016,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,PSEI,0,0,0,0,0,0,23212,835770,2,0,0,0,23212,835770,2
2016,540,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,ERCO,0,0,0,0,0,0,4042,47012,2,0,0,0,4042,47012,2
2016,554,City of Ames - (IA),A,Bundled,O,IA,Municipal,MISO,17768.4,166099,23122,25040,346649,2949,10161.1,145878,7,.,.,.,52969.5,658626,26078
2016,560,City of Amherst- (OH),A,Bundled,O,OH,Municipal,PJM,6371,58703,5397,1744,14371,504,3552,33977,70,.,.,.,11667,107051,5971
2016,562,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,70028.5,618095,42959,13914.2,113393,4683,.,.,.,.,.,.,83942.7,731488,47642
2016,571,City of Amory,A,Bundled,O,MS,Municipal,TVA,4281,40852,2935,6316,57252,1086,3127,40339,3,0,0,0,13724,138443,4024
2016,577,City of Alcoa Utilities,A,Bundled,O,TN,Municipal,TVA,40536,388712,25159,24408,239701,3582,144,1132,1,0,0,0,65088,629545,28742
2016,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,CISO,98348,588355,114466,132986,770914,15150,144782.7,997008,303,.,.,.,376116.7,2356277,129919
2016,599,Anchorage Municipal Light and Power,A,Bundled,O,AK,Municipal,AMPL,22260.3,127732,24678,123380.4,864147,6402,.,.,.,.,.,.,145640.7,991879,31080
2016,604,City of Andalusia,A,Bundled,O,AL,Municipal,AEC,5437,41374,3627,8790,62990,988,14349,256783,2,.,.,.,28576,361147,4617
2016,636,City of Anderson - (IN),A,Bundled,O,IN,Municipal,PJM,35985.3,301959,31276,31558.4,313281,4248,16762.8,216974,53,0,0,0,84306.5,832214,35577
2016,689,Connexus Energy,A,Bundled,O,MN,Cooperative,MISO,153412.5,1149335,119241,68996.6,670298,11315,12682.2,133614,399,0,0,0,235091.3,1953247,130955
2016,690,City of Bardstown - (KY),A,Bundled,O,KY,Municipal,LGEE,3802,44766,3385,4307,56773,1057,6888,94374,15,.,.,.,14997,195913,4457
2016,691,City of Anoka,A,Bundled,O,MN,Municipal,MISO,9250,73568,10567,9681,99183,1328,8705,102483,15,.,.,.,27636,275234,11910
2016,694,Anza Electric Coop Inc,A,Bundled,O,CA,Cooperative,WALC,7815.5,43704,4560,1891.9,10466,318,0,0,0,.,.,.,9707.4,54170,4878
2016,719,Town of Apex- (NC),A,Bundled,O,NC,Municipal,CPLE,19356.1,186194,16350,10258.4,116575,1426,.,.,.,.,.,.,29614.5,302769,17776
2016,727,Appalachian Electric Coop,A,Bundled,O,TN,Cooperative,TVA,68343,611469,39469,27796,248430,6456,3823,67323,5,0,0,0,99962,927222,45930
2016,733,Appalachian Power Co,A,Bundled,O,VA,Investor Owned,PJM,698596,6153226,449723,361555,4005898,76007,352750,5208469,1881,0,0,0,1412901,15367593,527611
2016,733,Appalachian Power Co,A,Bundled,O,WV,Investor Owned,PJM,616181,5267832,360500,321466,3547985,66274,275818,4140263,2273,0,0,0,1213465,12956080,429047
2016,733,Appalachian Power Co,C,Delivery,O,VA,Investor Owned,PJM,0,0,0,456,53389,55,431,61176,3,0,0,0,887,114565,58
2016,750,Arab Electric Coop Inc,A,Bundled,O,AL,Cooperative,TVA,21063,194292,12498,11949,108608,2897,305,4359,1,0,0,0,33317,307259,15396
2016,803,Arizona Public Service Co,A,Bundled,O,AZ,Investor Owned,AZPS,1729901,13195346,1061814,1415053,12558968,127852,190275,2267688,3845,.,.,.,3335229,28022002,1193511
2016,814,Entergy Arkansas Inc,A,Bundled,O,AR,Investor Owned,MISO,782205.2,7618426,589522,509557.1,6225368,93493,441954.2,6795445,23855,11.2,103,1,1733727.7,20639342,706871
2016,814,Entergy Arkansas Inc,A,Bundled,O,TN,Investor Owned,MISO,1.6,17,2,2.8,23,3,1.3,4,3,.,.,.,5.7,44,8
2016,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,AR,Cooperative,SWPP,73714,706400,50491,16133.4,168311,3682,12781,250874,26,.,.,.,102628.4,1125585,54199
2016,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,OK,Cooperative,SWPP,5694,55924,4079,2601.2,30125,485,.,.,.,.,.,.,8295.2,86049,4564
2016,828,City of Arlington - (MN),A,Bundled,O,MN,Municipal,MISO,808.5,8351,971,727.4,7452,160,.,.,.,.,.,.,1535.9,15803,1131
2016,887,"Arrowhead Electric Coop, Inc",A,Bundled,O,MN,Cooperative,MISO,5860,40478,3771,2887,27265,514,.,.,.,.,.,.,8747,67743,4285
2016,907,City of Ashland - (OR),A,Bundled,O,OR,Municipal,PACW,7307,85373,10309,6819,80246,1603,.,.,.,.,.,.,14126,165619,11912
2016,918,City of Aspen- (CO),A,Bundled,O,CO,Municipal,PSCO,3033.3,22815,2017,4976.8,43168,1005,.,.,.,.,.,.,8010.1,65983,3022
