|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
2016,84,A & N Electric Coop,MD,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,55.54,0.63,88.15873,40.8,0.43,94.883721,311,Y,O,12.5,N
2016,84,A & N Electric Coop,VA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,331.34,2.16,153.39815,245.3,1.58,155.25316,35058,Y,O,24.9,N
2016,97,Adams Electric Coop,IL,Cooperative,293.2,2.29,128.03493,121.2,1.46,83.013699,135.8,1.41,96.312057,8842,12.5,Y,.,.,.,.,.,.,.,,,.,
2016,108,Adams-Columbia Electric Coop,WI,Cooperative,147.21,0.983,149.75585,115,0.853,134.81829,147.21,0.983,149.75585,36477,12,Y,.,.,.,.,.,.,.,,,.,
2016,155,Agralite Electric Coop,MN,Cooperative,116.927,1.019,114.74681,106.811,0.984,108.54776,88.002,0.34,258.82941,5222,12,N,.,.,.,.,.,.,.,,,.,
2016,162,Aiken Electric Coop Inc,SC,Cooperative,264.05,.,.,102.95,.,.,258.61,.,.,45905,25,Y,.,.,.,.,.,.,.,,,.,
2016,195,Alabama Power Co,AL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,176.3,1.544,114.18394,107.9,1.066,101.21951,1468787,N,F,35,Y
2016,207,City of Alameda,CA,Municipal,15.75,0.31,50.806452,.,.,.,.,.,.,33580,12,N,.,.,.,.,.,.,.,,,.,
2016,213,Alaska Electric Light&Power Co,AK,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,106,2.03,52.216749,.,.,.,16745,N,O,12.5,N
2016,232,City of Albemarle - (NC),NC,Municipal,489.9,1.56,314.03846,42.92,0.57,75.298246,.,.,.,11821,14.4,N,.,.,.,.,.,.,.,,,.,
