|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
2020,13998,Ohio Edison Co,OH,PJM,"173,769","61,345","48,943",0,"284,058",23.3,8.7,6.6,0.0,38.5,"1,726,534","805,889","666,348",0,"3,198,770",23.3,8.7,6.6,0.0,38.5,"13,231","2,809","2,121",0,"18,161","6,290","2,024","1,332",0,"9,646","13,231","2,809","2,121",0,"18,161","6,290","2,024","1,332",0,"9,646",9.936,13.137,13.615,0.000,https://dis.puc.state.oh.us/
2020,14006,Ohio Power Co,OH,PJM,"213,387","310,208","204,735",0,"728,330",37.9,46.5,30.7,0.0,115.1,"2,347,261","4,963,329","3,275,760",0,"10,586,350",37.9,46.5,30.7,0.0,115.1,"11,875","17,833","11,769",0,"41,477","9,402","8,164","4,856",0,"22,422","11,875","17,833","11,769",0,"41,477","9,402","8,164","4,856",0,"22,422",11.000,16.000,16.000,0.000,
2020,14063,Oklahoma Gas & Electric Co,AR,SWPP,"7,915","20,135",0,0,"28,050",1.6,3.2,0.0,0.0,4.9,"140,612","290,078",0,0,"430,690",1.5,3.0,0.0,0.0,4.5,"2,049","2,371",0,0,"4,420",841,"1,605",0,0,"2,447","2,049","2,371",0,0,"4,420",841,"1,605",0,0,"2,447",11.000,11.000,0.000,0.000,http://www.apscservices.info/eeAnnualReports.aspx   
2020,14063,Oklahoma Gas & Electric Co,OK,SWPP,"60,308","47,694","47,694",0,"155,696",12.5,8.1,8.1,0.0,28.8,"736,731","507,646","507,646",0,"1,752,023",10.0,6.5,6.5,0.0,23.0,"11,271","4,487","4,487",0,"20,246","5,213","3,930","3,930",0,"13,072","11,271","4,487","4,487",0,"20,246","5,213","3,930","3,930",0,"13,072",11.102,11.000,11.000,0.000,http://www.occeweb.com/pu/ogande.htm   
2020,14109,"Oregon Trail El Cons Coop, Inc",OR,BPAT,191,672,"1,584",0,"2,446",0.2,0.5,1.1,0.0,1.7,"4,084","8,193","15,369",0,"27,646",0.2,0.5,1.1,0.0,1.7,70,126,285,0,481,0,0,0,0,0,70,126,285,0,481,0,0,0,0,0,20.950,13.160,9.710,0.000,
2020,14127,Omaha Public Power District,NE,SWPP,"1,745","11,061",.,.,"12,806",1.9,2.9,.,.,4.8,"19,703","146,000",.,.,"165,703",1.9,2.9,.,.,4.8,931,842,.,.,"1,773",363,202,.,.,565,931,842,.,.,"1,773",363,202,.,.,565,11.290,13.200,.,.,
2020,14154,Orange & Rockland Utils Inc,NY,NYIS,"41,365","15,556","1,182",0,"58,103",2.6,3.4,0.3,0.0,6.4,"496,374","171,583","13,829",0,"681,786",2.6,3.4,0.3,0.0,6.4,"1,461",783,87,0,"2,331","1,727",579,0,0,"2,306","1,461",783,87,0,"2,331","1,727",579,0,0,"2,306",12.000,11.030,11.700,0.000,
2020,14175,"Tri-County Electric Coop, Inc (SC)",SC,SC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2020,14232,Otter Tail Power Co,MN,MISO,"22,388","26,938","21,324",.,"70,650",18.7,5.8,3.1,.,27.6,"284,022","399,158","311,060",.,"994,241",18.7,5.8,3.1,.,27.6,"1,489","2,537","1,851",.,"5,877","2,031","1,062",673,.,"3,767","1,489","2,537","1,851",.,"5,877","2,031","1,062",673,.,"3,767",12.686,14.818,14.588,.,
2020,14232,Otter Tail Power Co,SD,MISO,894,"10,015",.,.,"10,909",0.5,1.7,.,.,2.2,"15,588","151,484",.,.,"167,072",0.5,1.7,.,.,2.2,106,521,.,.,627,29,104,.,.,133,106,521,.,.,627,29,104,.,.,133,17.430,15.725,.,.,
2020,14245,Overton Power District No 5,NV,NEVP,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2020,14246,City of Owatonna - (MN),MN,MISO,390,"3,622","1,106",0,"5,118",0.1,0.6,0.1,0.0,0.9,"3,900","36,219","11,064",0,"51,183",0.1,0.6,0.1,0.0,0.9,71,248,58,0,377,62,25,28,0,115,71,248,58,0,377,62,25,28,0,115,10.000,10.000,10.000,0.000,
2020,14288,Ozark Electric Coop Inc - (MO),MO,AECI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Our information is being reported by Associated Electric (AECI).
2020,14328,Pacific Gas & Electric Co.,CA,CISO,"873,671","823,244","62,200",0,"1,759,115",150.0,136.0,12.0,0.0,298.0,"10,827,704","11,522,352","560,572",0,"22,910,628",124.0,122.0,15.0,0.0,261.0,"19,332","23,693","9,816",0,"52,841","134,928","56,711","24,437",0,"216,076","19,332","23,693","9,816",0,"52,841","134,928","56,711","24,437",0,"216,076",12.400,14.000,9.000,0.000,"PG&E's 2020 annual report submittal to CPUC is pending by May 3, 2021  https://www.cpuc.ca.gov/general.aspx?id=6442468251 PG&E's 2020 annual claims submittal to CEDARS is pending by May 3, 2021  https://cedars.sound-data.com/upload/dashboard/list/"
2020,14354,PacifiCorp,CA,PACW,648,"2,697","1,665",0,"5,010",0.1,0.5,0.3,0.0,0.9,"9,060","35,065","20,723",0,"64,848",0.1,0.5,0.3,0.0,0.9,301,408,292,0,"1,000",333,520,327,0,"1,180",301,408,292,0,"1,000",333,520,327,0,"1,180",13.973,13.000,12.449,0.000,https://www.pacificorp.com/environment/demand-side-management.html
2020,14354,PacifiCorp,ID,PACE,"6,780","8,106","8,886",0,"23,771",1.4,1.6,1.8,0.0,4.8,"34,285","96,299","110,193",0,"240,777",1.4,1.6,1.8,0.0,4.8,458,937,"1,062",0,"2,456",858,"1,094","1,164",0,"3,117",458,937,"1,062",0,"2,456",858,"1,094","1,164",0,"3,117",5.057,11.880,12.401,0.000,https://www.pacificorp.com/environment/demand-side-management.html
2020,14354,PacifiCorp,UT,PACE,"135,452","152,967","44,206",0,"332,625",19.6,22.1,6.4,0.0,48.0,"1,032,078","1,970,215","439,687",0,"3,441,981",19.6,22.1,6.4,0.0,48.0,"9,598","19,828","3,219",0,"32,645","7,294","12,702","3,814",0,"23,810","9,598","19,828","3,219",0,"32,645","7,294","12,702","3,814",0,"23,810",7.620,12.880,9.946,0.000,https://www.pacificorp.com/environment/demand-side-management.html
2020,14354,PacifiCorp,WA,PACW,"13,360","42,365","15,336",0,"71,061",1.8,5.8,2.1,0.0,9.8,"158,079","521,085","185,956",0,"865,119",1.8,5.8,2.1,0.0,9.8,"1,380","2,091",827,0,"4,298","5,403","2,993","1,146",0,"9,542","1,380","2,091",827,0,"4,298","5,403","2,993","1,146",0,"9,542",11.832,12.300,12.125,0.000,https://www.pacificorp.com/environment/demand-side-management.html
2020,14354,PacifiCorp,WY,PACE,"17,217","7,387","35,510",0,"60,114",2.2,1.0,4.6,0.0,7.7,"126,945","98,253","401,168",0,"626,366",2.2,1.0,4.6,0.0,7.7,"1,428",765,"3,111",0,"5,304","1,409","2,762","4,446",0,"8,617","1,428",765,"3,111",0,"5,304","1,409","2,762","4,446",0,"8,617",7.373,13.300,11.297,0.000,https://www.pacificorp.com/environment/demand-side-management.html
2020,14398,Palmetto Electric Coop Inc,SC,SC,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,www.palmetto.coop
2020,14401,City of Palo Alto - (CA),CA,CISO,189,"2,523",.,.,"2,712",0.1,0.3,.,.,0.4,"2,303","26,227",.,.,"28,530",0.1,0.3,.,.,0.4,0,205,.,.,205,354,648,.,.,"1,003",0,205,.,.,205,354,648,.,.,"1,003",14.500,13.000,.,.,FY 2020 - Palo Alto (page 158) https://www.ncpa.com/policy/reports/energy-efficiency/ 
2020,14468,People's Cooperative Services,MN,MISO,"1,445","1,194",102,0,"2,741",0.2,0.2,0.0,0.0,0.4,"20,594","14,489","1,496",0,"36,579",0.2,0.2,0.0,0.0,0.4,124,41,1,0,166,188,16,2,0,206,124,41,1,0,166,188,16,2,0,206,14.252,12.135,14.667,0.000,
2020,14534,City of Pasadena - (CA),CA,CISO,"7,107","2,418",.,.,"9,525",10.7,0.7,.,.,11.4,"12,189","13,682",.,.,"25,871",10.7,0.7,.,.,11.4,"1,222",740,.,.,"1,962",840,360,.,.,"1,200","1,222",740,.,.,"1,962",840,360,.,.,"1,200",8.800,7.850,.,.,https://ww5.cityofpasadena.net/water-and-power/eereports/
2020,14537,Pascoag Utility District,RI,ISNE,38,66,0,0,104,0.0,0.0,0.0,0.0,0.0,309,796,0,0,"1,105",0.0,0.0,0.0,0.0,0.0,50,36,0,0,86,24,18,0,0,42,50,36,0,0,86,24,18,0,0,42,8.200,12.000,0.000,0.000,Any Questions on the EE Programs please email Ddolan@pud-ri.org
2020,14557,"Pee Dee Electric Coop, Inc",SC,SC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2020,14563,Pearl River Valley El Pwr Assn,MS,MISO,598,.,.,.,598,0.2,.,.,.,0.2,"10,629",.,.,.,"10,629",0.2,.,.,.,0.2,64,.,.,.,64,90,.,.,.,90,64,.,.,.,64,90,.,.,.,90,17.770,.,.,.,
2020,14606,"Peace River Electric Coop, Inc",FL,SEC,292,63,.,.,355,.,.,.,.,.,"3,611",779,.,.,"4,390",.,.,.,.,.,.,.,.,.,.,602,80,.,.,682,.,.,.,.,.,602,80,.,.,682,12.367,12.367,.,.,
2020,14610,Orlando Utilities Comm,FL,FMPP,"16,803","9,693",.,.,"26,495",0.7,2.2,.,.,3.0,"44,507","158,809",.,.,"203,316",0.7,2.2,.,.,3.0,856,644,.,.,"1,500","2,295","1,068",.,.,"3,363",856,644,.,.,"1,500","2,295","1,068",.,.,"3,363",2.649,16.385,.,.,
2020,14624,PUD No 2 of Grant County,WA,GCPD,304,"2,172","23,130",.,"25,605",0.0,0.2,1.3,.,1.6,"6,109","32,600","231,264",.,"269,973",0.0,0.2,1.2,.,1.5,54,92,376,.,522,58,58,235,.,351,54,92,376,.,522,58,58,235,.,351,22.180,15.000,9.680,.,
2020,14653,PUD No 1 of Pend Oreille County,WA,AVA,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2020,14668,Peninsula Light Company,WA,BPAT,"1,462",459,.,.,"1,921",1.5,0.5,.,.,2.0,"19,010","5,971",.,.,"24,981",1.5,0.5,.,.,2.0,283,53,.,.,336,179,45,.,.,224,283,53,.,.,336,179,45,.,.,224,13.000,13.000,.,.,
2020,14711,Pennsylvania Electric Co,PA,PJM,"43,286","21,296","6,450",0,"71,032",4.8,2.9,0.6,0.0,8.3,"167,755","312,806","94,935",0,"575,497",4.8,2.9,0.6,0.0,8.3,"1,420",820,514,0,"2,754","4,414","1,304",637,0,"6,354","1,420",820,514,0,"2,754","4,414","1,304",637,0,"6,354",3.875,14.688,14.718,0.000,https://www.firstenergycorp.com/customer_choice/pennsylvania/pennsylvania_tariffs.html
2020,14715,PPL Electric Utilities Corp,PA,PJM,"75,082","103,062","46,773",0,"224,916",12.3,15.6,6.8,0.0,34.7,"675,734","1,442,866","654,820",0,"2,773,420",21.4,20.5,8.0,0.0,50.0,"3,579","8,201","2,398",0,"14,178","16,847","5,008","2,516",0,"24,371","3,579","8,201","2,398",0,"14,178","16,847","5,008","2,516",0,"24,371",9.000,14.000,14.000,0.000,http://www.puc.state.pa.us/filing_resources/issues_laws_regulations/act_129_information/electric_distribution_company_act_129_reporting_requirements.aspx
2020,14716,Pennsylvania Power Co,PA,PJM,"17,702","7,524","1,556",0,"26,783",2.5,1.0,0.2,0.0,3.8,"66,017","110,359","22,618",0,"198,995",2.5,1.0,0.2,0.0,3.8,711,264,165,0,"1,139","1,152",435,181,0,"1,768",711,264,165,0,"1,139","1,152",435,181,0,"1,768",3.729,14.667,14.532,0.000,https://www.firstenergycorp.com/customer_choice/pennsylvania/pennsylvania_tariffs.html
2020,14717,Pee Dee Electric Member Corp,NC,CPLE,20,.,.,.,20,0.0,.,.,.,0.0,357,.,.,.,357,0.0,.,.,.,0.0,13,.,.,.,13,0,.,.,.,0,13,.,.,.,13,0,.,.,.,0,18.000,.,.,.,
2020,14940,PECO Energy Co,PA,PJM,"273,078","206,624",0,0,"479,702",34.0,35.0,0.0,0.0,69.0,"945,655","554,282",0,0,"1,499,937",34.0,35.0,0.0,0.0,69.0,"8,965","11,197",0,0,"20,162","26,632","13,733",0,0,"40,365","39,200","56,000",0,0,"95,200","96,900","68,500",0,0,"165,400",9.720,13.000,.,.,http://www.puc.pa.gov/about_puc/consolidated_case_view.aspx?Docket=M-2015-2515691
2020,15023,Piedmont Electric Member Corp,NC,DUK,"3,068",200,.,.,"3,268",1.0,1.0,.,.,2.0,"3,416","3,391",.,.,"6,807",1.0,1.0,.,.,2.0,21,21,.,.,43,8,8,.,.,17,21,21,.,.,43,8,8,.,.,17,1.100,17.000,.,.,
2020,15231,City of Port Angeles - (WA),WA,BPAT,373,203,158,.,734,0.2,0.2,0.0,.,0.4,"3,730","2,031","1,581",.,"7,342",0.2,0.2,0.0,.,0.4,130,23,32,.,185,.,.,.,.,.,130,23,32,.,185,.,.,.,.,.,10.000,10.000,10.000,.,
2020,15257,"Poudre Valley REA, Inc",CO,WACM,647,"2,410",0,0,"3,057",0.3,1.0,0.0,0.0,1.2,"9,804","33,452",0,0,"43,256",0.3,0.9,0.0,0.0,1.1,253,119,0,0,373,.,.,.,.,.,253,119,7,0,380,.,.,.,.,.,8.000,3.000,3.000,0.000,
2020,15263,The Potomac Edison Company,MD,PJM,"68,628","34,656","25,096",0,"128,380",12.2,6.7,4.8,0.0,23.8,"301,165","447,241","323,864",0,"1,072,270",12.2,6.7,4.8,0.0,23.8,"5,102","6,531","4,801",0,"16,434","4,816","2,613","1,921",0,"9,351","5,102","6,531","4,801",0,"16,434","4,816","2,613","1,921",0,"9,351",4.388,12.905,12.905,0.000,https://www.psc.state.md.us/
2020,15270,Potomac Electric Power Co,MD,PJM,"66,660","166,991",0,0,"233,651",13.2,28.3,0.0,0.0,41.5,"375,208","2,231,341",0,0,"2,606,549",13.2,28.3,0.0,0.0,41.5,"10,299","33,813",0,0,"44,112","7,416","12,899",0,0,"20,315","10,299","33,813",0,0,"44,112","7,416","12,899",0,0,"20,315",5.600,13.400,0.000,0.000,
2020,15296,New York Power Authority,NY,NYIS,0,"6,333",0,"7,859","14,192",0.0,48.9,0.0,1.3,50.2,0,"94,994",0,"117,879","212,873",0.0,48.9,0.0,1.3,50.2,0,0,0,0,0,0,71,0,9,81,0,0,0,0,0,0,71,0,9,81,0.000,15.000,0.000,15.000,https://data.ny.gov/Energy-Environment/Energy-Efficiency-Completed-projecs 
2020,15344,Polk-Burnett Electric Coop,WI,MISO,603,646,0,0,"1,249",0.1,0.1,0.0,0.0,0.2,"9,421","9,845",0,0,"19,266",0.1,0.1,0.0,0.0,0.2,155,33,0,0,187,13,1,0,0,14,155,33,0,0,187,13,1,0,0,14,15.623,15.240,0.000,0.000,
2020,15419,PUD No 3 of Mason County,WA,BPAT,954,368,257,0,"1,579",1.0,0.4,0.3,0.0,1.7,"16,514","5,300","2,641",0,"24,455",1.0,0.4,0.3,0.0,1.7,358,67,12,0,437,204,79,55,0,338,358,67,12,0,437,204,79,55,0,338,17.000,15.000,11.000,0.000,
2020,15466,Public Service Co of Colorado,CO,PSCO,"265,461","260,096","39,126",0,"564,683",60.0,50.8,5.2,0.0,116.0,"3,383,535","4,242,551","643,178",0,"8,269,264",60.0,50.8,5.2,0.0,116.0,"15,694","28,359","3,384",0,"47,437","8,151","13,138","1,271",0,"22,560","15,694","28,359","3,384",0,"47,437","8,151","13,138","1,271",0,"22,560",12.746,16.311,16.439,0.000,http://www.xcelenergy.com/About_Us/Rates_&_Regulations/Regulatory_Filings/CO_DSM
2020,15470,"Duke Energy Indiana, LLC",IN,MISO,"96,765","77,941",0,0,"174,706",10.5,15.7,0.0,0.0,26.3,"656,764","1,038,192",0,0,"1,694,956",10.5,15.7,0.0,0.0,26.3,"3,097","9,511",0,0,"12,608","9,281","3,829",0,0,"13,110","3,097","9,511",0,0,"12,608","9,281","3,829",0,0,"13,110",6.787,13.320,0.000,0.000,
2020,15472,Public Service Co of NH,NH,ISNE,"23,120","68,316",.,.,"91,435",8.5,7.9,.,.,16.4,"218,717","901,546",.,.,"1,120,264",8.5,7.9,.,.,16.4,"19,336","19,556",.,.,"38,892","2,398","3,435",.,.,"5,833","19,336","19,556",.,.,"38,892","2,398","3,435",.,.,"5,833",9.460,13.197,.,.,https://www.puc.nh.gov/Electric/coreenergyefficiencyprograms.htm
2020,15473,Public Service Co of NM,NM,PNM,"42,799","21,335","22,206",0,"86,340",9.7,2.7,2.6,0.0,15.0,"487,186","226,155","235,386",0,"948,727",9.7,2.7,2.6,0.0,15.0,"4,985","2,927","2,925",0,"10,837","4,258","2,173","2,172",0,"8,603","4,985","2,927","2,925",0,"10,837","4,258","2,173","2,172",0,"8,603",12.800,12.800,12.800,.,
2020,15474,Public Service Co of Oklahoma,OK,SWPP,"89,507","62,082",0,0,"151,589",19.6,12.5,0.0,0.0,32.1,"669,745","661,957",0,0,"1,331,702",19.6,12.5,0.0,0.0,32.1,"11,567","7,753",0,0,"19,320","6,750","4,697",0,0,"11,446","11,567","7,753",0,0,"19,320","6,750","15,376",0,0,"22,126",7.500,10.700,0.000,0.000,
2020,15477,Public Service Elec & Gas Co,NJ,PJM,"32,567","13,504",.,.,"46,071",7.6,2.0,.,.,9.7,"284,774","231,999",.,.,"516,773",7.6,2.0,.,.,9.7,"8,845","10,784",.,.,"19,628","3,744","2,621",.,.,"6,365","8,845","10,784",.,.,"19,628","3,744","2,621",.,.,"6,365",8.740,17.180,.,.,
