Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2022,162,Aiken Electric Coop Inc,SC,SC,308,0,0,0,308,4,0,0,0,4,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,15,0,0,0,15,0,0,0,0,0,288
2022,189,PowerSouth Energy Cooperative,AL,SOCO,"20,374",.,.,.,"20,374",0,.,.,.,0,18.0,.,.,.,18.0,18.0,.,.,.,18.0,0,.,.,.,0,147,.,.,.,147,476
2022,195,Alabama Power Co,AL,SOCO,"4,781",5,32,.,"4,818",144,1,"2,336",.,"2,481",142.3,4.4,"1,404.4",.,"1,551.1",49.9,4.0,292.0,.,345.9,130,100,"28,667",.,"28,896",940,143,428,.,"1,510",.
2022,207,Alameda Municipal Power,CA,CISO,"32,146","4,231",.,.,"36,377",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2022,213,Alaska Electric Light & Power Co.,AK,NA,"2,254",27,.,.,"2,281",.,.,.,.,.,5.0,13.0,.,.,18.0,.,.,.,.,.,63,1,.,.,64,0,0,.,.,0,.
2022,295,City of Alexandria - (MN),MN,MISO,"2,817",.,.,.,"2,817",.,.,.,.,.,9.0,.,.,.,9.0,3.7,.,.,.,3.7,0,.,.,.,0,55,.,.,.,55,.
2022,332,Allegheny Electric Coop Inc,PA,PJM,"42,567",.,.,.,"42,567",.,.,.,.,.,42.4,.,.,.,42.4,42.4,.,.,.,42.4,.,.,.,.,.,"2,879",.,.,.,"2,879",1
2022,407,Altamaha Electric Member Corp,GA,SOCO,.,.,231,.,231,.,.,25,.,25,.,.,16.0,.,16.0,.,.,10.0,.,10.0,.,.,.,.,.,.,.,.,.,.,.
2022,554,City of Ames - (IA),IA,MISO,"10,956",169,1,0,"11,126",0,0,0,0,0,3.2,0.1,2.0,0.0,5.2,3.2,0.1,0.0,0.0,3.2,220,8,21,0,249,0,0,0,0,0,.
