Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
January,01/09/2020,23:07:00,01/09/2020,23:19:00,Arkansas: Yell County;,SPP RE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,0,0
January,01/09/2020,20:45:00,01/10/2020,21:23:00,Washington: King County;,WECC,Cyber event that could potentially impact electric power system adequacy or reliability.,Suspicious Activity,0,0
January,01/09/2020,07:40:00,01/09/2020,08:48:00,Minnesota: North Dakota: Wisconsin:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
January,01/09/2020,23:07:00,01/09/2020,23:18:00,Arkansas:,SPP RE,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,Unknown,Unknown
January,01/10/2020,14:53:00,Unknown,Unknown,Tennessee: Hamilton County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown
January,01/11/2020,02:25:00,01/11/2020,07:56:00,Arkansas: Cross County;,SPP RE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,22,7541
January,01/11/2020,23:02:00,01/12/2020,02:01:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,66475
January,01/11/2020,03:30:00,01/11/2020,17:30:00,Arkansas: Texas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,68138
January,01/11/2020,13:20:00,Unknown,Unknown,Tennessee:,SERC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,4,Unknown
January,01/11/2020,12:50:00,01/12/2020,13:33:00,Alabama: Georgia: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,219,30715
January,01/12/2020,11:15:00,01/12/2020,11:18:00,Texas: Brazos County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
January,01/14/2020,00:00:00,01/14/2020,01:00:00,Florida: Alachua County;,FRCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
January,01/16/2020,11:06:00,01/16/2020,11:36:00,Texas: Harris County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
January,01/17/2020,05:28:00,01/17/2020,10:13:00,California: Humboldt County;,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather/Transmission Interruption,87,67864
January,01/20/2020,06:30:00,01/20/2020,06:31:00,California: Los Angeles County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
January,01/22/2020,02:57:00,01/22/2020,03:17:00,Nevada: Humboldt County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,7,3120
January,01/23/2020,23:30:00,01/24/2020,00:39:00,Florida: Manatee County;,FRCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0
January,01/24/2020,04:34:00,Unknown,Unknown,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0
January,01/27/2020,14:10:00,01/27/2020,18:58:00,North Dakota: South Dakota: Montana:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,540,130000
January,01/30/2020,03:01:00,01/30/2020,04:36:00,North Dakota: Burleigh County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,75,0
January,01/31/2020,09:50:00,02/03/2020,10:00:00,California:,WECC,Cyber event that could potentially impact electric power system adequacy or reliability.,Suspicious Activity,0,0
February,02/06/2020,14:29:00,02/07/2020,12:44:00,North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,Unknown,284256
February,02/06/2020,13:30:00,02/07/2020,20:08:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,89500
February,02/07/2020,16:25:00,02/08/2020,12:00:00,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,123359
February,02/07/2020,14:42:00,02/10/2020,09:25:00,New York:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,7500
February,02/07/2020,11:00:00,Unknown,Unknown,Pennsylvania:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,Unknown,52000
February,02/07/2020,08:48:00,Unknown,Unknown,Virginia: North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,87000
February,02/08/2020,13:56:00,02/08/2020,15:04:00,California:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
February,02/09/2020,09:30:00,02/09/2020,21:40:00,"California: Alameda County, Contra Costa County, El Dorado County, Nevada County, Placer County, Sierra County, Santa Clara County, Napa County, Marin County, Santa Cruz County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,500,145000
February,02/11/2020,02:53:00,02/11/2020,13:30:00,Texas: Sterling County;,TRE,Cyber event that could potentially impact electric power system adequacy or reliability.,System Operations,0,0
February,02/11/2020,07:13:00,02/11/2020,16:00:00,Oregon: Clackamas County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Unknown,0
February,02/12/2020,07:36:00,02/12/2020,08:53:00,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
February,02/13/2020,08:01:00,02/13/2020,14:38:00,Oregon:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
February,02/17/2020,09:47:00,02/17/2020,15:31:00,Alabama: Chambers County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,97,Unknown
February,02/17/2020,13:18:00,02/20/2020,09:51:00,Michigan: Eaton County;,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
February,02/17/2020,04:00:00,Unknown,Unknown,Northern and Central California;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,91,70000
February,02/18/2020,13:00:00,02/18/2020,14:00:00,California: Kern County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
February,02/25/2020,11:45:00,02/25/2020,13:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
February,02/26/2020,16:30:00,02/26/2020,17:02:00,Oklahoma:,SPP RE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
February,02/26/2020,17:00:00,02/26/2020,18:05:00,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
February,02/26/2020,11:29:00,02/26/2020,12:14:00,South Dakota: Wyoming: Colorado:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
February,02/29/2020,01:45:00,02/29/2020,02:30:00,"Nevada: Clark County, Washoe County;",WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
March,03/01/2020,11:27:00,03/01/2020,21:47:00,Mississippi: Rankin County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,19,3136
March,03/01/2020,22:15:00,Unknown,Unknown,New York:,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,03/01/2020,08:00:00,Unknown,Unknown,Western NY,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,675,Unknown
March,03/02/2020,01:43:00,03/02/2020,02:43:00,"Nevada: Clark County, Washoe County;",WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
March,03/03/2020,14:30:00,03/03/2020,14:31:00,Alabama:,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,03/08/2020,22:10:00,03/09/2020,01:02:00,Texas: Llano County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
March,03/12/2020,01:03:00,03/12/2020,03:00:00,Pennsylvania:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,40,15864
March,03/16/2020,12:01:00,03/16/2020,13:10:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,165,110800
March,03/16/2020,08:00:00,03/16/2020,08:01:00,California: Los Angeles County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
