Utility Characteristics,,,,,Number and Capacity (MW),,,,Photovoltaic,,,,,,,Storage,,,,,,Wind,,,,,,Hydroelectric,,,,,,Fuel Cells,,,,,,Internal Combustion,,,,,,Combustion Turbine,,,,,,Steam,,,,,,Other,,,,,,Total,,,,,
Year,State,Utility Number,Utility Name,BA_CODE,Number of Generators,Total Capacity,Capacity Back-up Only,Capacity Utility Owned,Type,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total,Residential,Commercial,Industrial,Transportation,Direct Connected,Total
2017,MS,55,City of Aberdeen - (MS),TVA,1,0.007,0,0,AC,0.007,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0.007
2017,IL,97,Adams Electric Coop,MISO,1,0.9,.,0.9,AC,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,0.9,0.9,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,0,0,0,0,0.9,0.9
2017,AL,195,Alabama Power Co,SOCO,113,0.848,.,.,,0.389,0.416,0.04,.,.,0.845,.,.,.,.,.,0,0.001,0.002,.,.,.,0.003,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,0.39,0.418,0.04,0,0,0.848
2017,AK,213,Alaska Electric Light&Power Co,NA,6,0.141,0,0,,.,0.09,.,.,.,0.09,.,.,.,.,.,0,.,0.002,.,.,.,0.002,.,0.03,.,.,.,0.03,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,0.019,.,.,0.019,.,.,.,.,.,0,0,0.122,0.019,0,0,0.141
2017,AK,219,Alaska Power and Telephone Co,NA,29,13.815,7.77,13.815,AC,.,.,.,.,0.024,0.024,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,0.8,0.8,.,.,.,.,.,0,.,.,.,.,12.991,12.991,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,0,0,0,0,13.815,13.815
2017,AK,221,"Alaska Village Elec Coop, Inc",NA,117,17.903,3.346,17.625,,0.011,0.073,.,.,0.033,0.117,.,.,.,.,.,0,0.016,0.177,.,.,3.195,3.388,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,14.398,14.398,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,0.027,0.25,0,0,17.626,17.903
2017,NC,232,City of Albemarle - (NC),DUK,1,0.4,0.4,0,,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,0,0.4,0,0,0,0.4,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,0,0.4,0,0,0,0.4
2017,NC,240,Albemarle Electric Member Corp,PJM,9,0.043,.,.,AC,0.035,0.008,.,.,.,0.043,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,0.035,0.008,0,0,0,0.043
2017,AL,241,Albertville Municipal Utilities Board,TVA,1,0.01,0,0,AC,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01
2017,MS,276,Alcorn County Elec Power Assn,TVA,3,0.069,0,0,AC,0.019,0.05,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.05,0,0,0,0.069
