Data Year,Utility Number,Utility Name,Ownership,State,BA Code,Total Revenue (Thousand Dollars),Total Sales (MWh),Total Customers,Water Heater,Net Metering,Demand Side Management,Time Based Programs
2017,192,Akiachak Native Community Electric,Cooperative,AK,NA,718.1,1816,235,.,N,N,N
2017,878,Atmautluak Tribal Utilities,Municipal,AK,NA,.,.,.,.,N,N,N
2017,1747,Birch Creek Village Elec Util - (AK),Municipal,AK,NA,97,92,20,.,N,N,N
2017,3421,City of Chignik - (AK),Municipal,AK,NA,278.4,686,107,.,N,N,N
2017,3422,City of Chefornak,Municipal,AK,NA,646,1328,169,.,N,N,N
2017,3465,Chitina Electric Inc,Investor Owned,AK,NA,204.7,366,78,.,N,N,N
2017,4959,Aniak Light & Power Co Inc,Investor Owned,AK,NA,1207,2161,213,.,N,N,N
2017,5721,City of Elfin Cove - (AK),Municipal,AK,NA,140,261,80,.,N,N,N
2017,6866,"G & K, Inc",Investor Owned,AK,NA,1330,1988,118,.,N,N,N
2017,6915,Galena Electric Utility,Municipal,AK,NA,3213.8,5681,357,.,N,N,N
2017,7833,Gwitchyaa Zhee Utility Co,Investor Owned,AK,NA,903.8,2626,370,.,N,N,N
2017,9000,Hughes Power & Light Co,Investor Owned,AK,NA,276,388,57,.,N,N,N
2017,9188,"I-N-N Electric Coop, Inc",Cooperative,AK,NA,1306,2857,280,.,N,N,N
2017,9192,Igiugig Electric Company,Political Subdivision,AK,NA,235.7,277,52,.,N,N,N
2017,9416,Ipnatchiaq Electric Company,Municipal,AK,NA,430.5,626,69,.,N,N,N
2017,9832,Kuiggluum Kallugvia,Investor Owned,AK,NA,934.3,1726,235,.,N,N,N
2017,9897,City of King Cove,Municipal,AK,NA,1024,3072,394,.,N,N,N
2017,10455,Kokhanok Village Council,Political Subdivision,AK,NA,348.1,456,79,.,N,N,N
2017,10491,Kwig Power Company,Political Subdivision,AK,NA,704,1042,125,.,N,N,N
2017,10716,City of Larsen Bay - (AK),Municipal,AK,AMPL,233.8,906,92,.,N,N,N
2017,12119,McGrath Light & Power Co,Investor Owned,AK,NA,1356.9,2246,291,.,N,N,N
2017,12385,Metlakatla Power & Light,Municipal,AK,NA,2361.3,18600,991,.,N,N,N
2017,12485,Middle Kuskokwim Elec Coop Inc,Cooperative,AK,NA,979,826,186,.,N,N,N
2017,13201,"Naknek Electric Assn, Inc",Cooperative,AK,NA,10057,20194,1080,.,N,N,N
2017,13211,Napakiak Ircinraq Power Co,Investor Owned,AK,NA,397.7,523,135,.,N,N,N
2017,13477,Nelson Lagoon Elec Coop Inc,Cooperative,AK,NA,244.9,541,51,.,N,N,N
2017,13870,"Nushagak Electric Coop, Inc",Cooperative,AK,NA,7525.7,17703,1524,.,Y,N,N
2017,14234,City of Ouzinkie - (AK),Municipal,AK,NA,283,723,108,.,N,N,N
2017,14633,Pedro Bay Village Council - (AK),Municipal,AK,NA,129,179,37,.,N,N,N
2017,14832,Native Village of Perryville - (AK),Municipal,AK,NA,.,.,.,.,N,N,N
2017,17898,City of Saint Paul,Municipal,AK,NA,1461,3134,241,.,N,N,N
2017,18474,Tanana Power Co Inc,Investor Owned,AK,NA,609.6,1209,159,.,N,N,N
2017,18480,Tatitlek Electric Utility,Municipal,AK,NA,258,312,63,.,N,N,N
2017,18541,City of Tenakee Springs - (AK),Municipal,AK,NA,219.2,414,164,.,N,N,N
2017,18963,"Inside Passage Elec Coop, Inc",Cooperative,AK,NA,4628,9307,1356,.,N,N,N
2017,19267,Tuntutuliak Comm Services Assn,Cooperative,AK,NA,595,1140,142,.,N,N,N
2017,20535,City of White Mountain - (AK),Municipal,AK,NA,401.7,781,104,.,N,N,N
2017,24486,City of Akutan - (AK),Municipal,AK,NA,361.5,449,74,.,N,N,N
2017,26317,Manokotak Power Company,Municipal,AK,NA,509,1356,198,.,N,N,N
2017,29297,Pelican Utility,Municipal,AK,NA,166,737,101,.,N,N,N
2017,40548,Unalakleet Valley Elec Coop,Cooperative,AK,NA,1750,4335,363,.,Y,N,N
2017,56256,City of Atka - (AK),Municipal,AK,NA,177.6,475,64,.,N,N,N
2017,56503,TDX Manley Generating LLC,Investor Owned,AK,NA,369,441,113,.,N,N,Y
2017,56739,Gold Country Energy,Investor Owned,AK,NA,191.4,363,151,.,N,N,N
2017,57351,City of Egegik - (AK),Municipal,AK,NA,324.8,536,83,.,N,N,N
2017,2423,City of Brundidge - (AL),Municipal,AL,AEC,5760.1,53303,1260,.,N,N,N
2017,5728,City of Elba - (AL),Municipal,AL,AEC,4462,39548,3094,.,N,N,N
2017,6052,City of Evergreen - (AL),Municipal,AL,SOCO,6266,49466,1892,.,N,N,N
2017,8209,City of Hartford - (AL),Municipal,AL,SOCO,3125,26941,1396,.,N,N,N
2017,10570,City of Lafayette - (AL),Municipal,AL,SOCO,4436,34901,1543,.,N,N,N
2017,10687,City of Lanett - (AL),Municipal,AL,SOCO,6130.8,55922,3525,.,N,N,N
2017,11333,City of Luverne - (AL),Municipal,AL,SOCO,3146,43038,1862,.,N,N,N
2017,14151,City of Opp - (AL),Municipal,AL,AEC,8466,65930,3169,.,N,N,N
2017,15022,City of Piedmont - (AL),Municipal,AL,SOCO,4047,38362,1998,.,N,N,N
2017,16140,City of Robertsdale,Municipal,AL,SOCO,9102.6,80329,3159,.,N,N,N
2017,925,"Ashley Chicot Elec Coop, Inc",Cooperative,AR,MISO,8901,68854,4955,.,Y,Y,N
2017,1000,City of Augusta - (AR),Municipal,AR,MISO,2183,12823,931,.,N,N,N
2017,6206,Farmers Electric Coop Corp - (AR),Cooperative,AR,MISO,9422,79223,5048,.,N,Y,N
2017,14460,City of Paris - (AR),Municipal,AR,SWPP,4181,44226,1830,.,N,N,N
2017,15043,City of Piggott - (AR),Municipal,AR,SPA,4376,34227,2165,.,N,N,N
2017,15337,City of Prescott - (AR),Municipal,AR,MISO,9126,80655,1832,.,N,N,N
2017,737,Aguila Irrigation District,Political Subdivision,AZ,AZPS,1818,31783,55,.,N,Y,N
2017,2469,Buckeye Water C&D District,Political Subdivision,AZ,AZPS,553,6474,95,.,N,Y,N
2017,3990,Colorado River Indian Irr Proj,Federal,AZ,WALC,4543,61088,2757,.,N,N,N
2017,5438,"Duncan Valley Elec Coop, Inc",Cooperative,AZ,WALC,2899.2,22728,2072,.,Y,N,Y
2017,6753,City of Fredonia - (AZ),Municipal,AZ,WALC,665,9679,805,.,N,N,N
2017,8139,Harquahala Valley Pwr District,Political Subdivision,AZ,AZPS,5253,109774,116,.,N,Y,N
2017,8700,Hohokam Irr & Drain Dist,Political Subdivision,AZ,WALC,4162,34668,1726,.,N,N,N
2017,12191,McMullen Valley Water C&D Dist,Political Subdivision,AZ,AZPS,6563,119311,160,.,N,Y,N
2017,13961,Ocotillo Water Conserv. Dist.,Political Subdivision,AZ,SRP,859,13097,92,.,N,Y,N
