Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2017,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,3644,32158,2595,4980,47295,661,6025,118989,2,0,0,0,14649,198442,3258
2017,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,MISO,5279.9,52746,4464,4082.7,37537,1032,3211.8,37566,27,0,0,0,12574.4,127849,5523
2017,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,235.3,2047,274,40,346,27,0,0,0,0,0,0,275.3,2393,301
2017,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,38308.7,344508,31309,15960,156370,3992,13952.7,169301,8,0,0,0,68221.4,670179,35309
2017,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,16341,109301,8603,5729,55057,222,.,.,.,.,.,.,22070,164358,8825
2017,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,42976,260879,34138,9189,72087,2074,15398,160275,926,.,.,.,67563,493241,37138
2017,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,22670.8,275115,36228,7973.1,103053,6184,0,0,0,0,0,0,30643.9,378168,42412
2017,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,2953.2,35374,3203,686.2,8519,267,0,0,0,0,0,0,3639.4,43893,3470
2017,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,12805,87563,7136,2048,15766,364,.,.,.,.,.,.,14853,103329,7500
2017,122,Village of Arcade - (NY),A,Bundled,O,NY,Municipal,NYIS,3600,69274,3619,1923,41552,587,1663,39257,15,.,.,.,7186,150083,4221
2017,123,City of Adel- (GA),A,Bundled,O,GA,Municipal,SOCO,3659,25660,2041,5056,35325,572,4237,54817,15,.,.,.,12952,115802,2628
2017,150,Adrian Public Utilities Comm,A,Bundled,O,MN,Municipal,MISO,722,6257,536,676,5994,113,75,510,2,0,0,0,1473,12761,651
