Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2017,1,01/08/2017,9:07 AM,01/13/2017,2:30 PM,"125 Hours, 23 Minutes",,Pacific Gas & Electric Co,WECC,California:,hour or more-Severe Weather,Unknown,106000,
,,,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,,,could impact electric power,,,
,,,,,,,,,,,system adequacy or reliability-,,,
2017,1,01/08/2017 11:59 PM,,,.,.,". Hours,",. Minutes,California Department of Water Resources,WECC,California:,Fuel Supply Deficiency,0,0
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2017,1,01/10/2017,7:30 PM,01/13/2017,2:30 PM,"67 Hours,",0 Minutes,Pacific Gas & Electric Co,WECC,California:,hour or more-Severe Weather,Unknown,87000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,,hour or more-Transmission,,,
2017,1,01/15/2017,6:35 AM,01/15/2017,7:44 AM,"1 Hours,",9 Minutes,Los Angeles Department of Water & Power,WECC,California: Los Angeles County;,Disruption,176,126000,
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,,,blacked out area or within the,,,
,,,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,,,electrical system-Severe,,,
2017,1,01/15/2017,9:27 AM,01/17/2017,1:58 AM,"40 Hours, 31 Minutes",,Oklahoma Municipal Power Authority,SPP,Oklahoma: Harper County;,Weather,1,788,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2017,1,01/18/2017,6:05 PM,01/19/2017 12:05 AM,,"6 Hours,",0 Minutes,Pacific Gas & Electric Co,WECC,California:,hour or more-Severe Weather,Unknown,75000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2017,1,01/22/2017,4:15 AM,01/24/2017,2:00 PM,"57 Hours, 45 Minutes",,Pacific Gas & Electric Co,WECC,California:,hour or more-Severe Weather,97,64000,
,,,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,,,could impact electric power,,,
,,,,,,,,,,,system adequacy or reliability-,,,
2017,1,01/22/2017,6:00 AM,,.,.,". Hours,",. Minutes,California Department of Water Resources,WECC,California:,Fuel Supply Deficiency,0,0
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,Alabama: Georgia: Mississippi:,"than 50,000 customers for 1",,,
2017,1,01/22/2017,4:00 PM,01/23/2017,3:26 AM,"11 Hours, 26 Minutes",,Southern Company,SERC,Florida:,hour or more-Severe Weather,100,29965,
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,"New Mexico: Bernalillo County,",minutes from a single incident-,,,
2017,2,02/02/2017,1:04 AM,02/02/2017,5:00 AM,"3 Hours, 56 Minutes",,Public Service Company of New Mexico,WECC,Santa Fe County;,Transmission Interruption,396,149223,
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident-,,,
2017,2,02/02/2017,1:11 AM,,.,.,". Hours,",. Minutes,Peak Reliability,WECC,New Mexico: Bernalillo County;,Transmission Interruption,400,Unknown
,,,,,,,,,,,Physical attack that could,,,
,,,,,,,,,,,potentially impact electric power,,,
,,,,,,,,,,,system adequacy or reliability;,,,
,,,,,,,,,,,or vandalism which targets,,,
,,,,,,,,,,,components of any security,,,
2017,2,02/13/2017,1:00 PM,02/15/2017,1:35 PM,"48 Hours, 35 Minutes",,North Carolina Mun Power Agny #1,SERC,North Carolina: Union County;,systems-Vandalism,0,0,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2017,2,02/17/2017,8:09 AM,02/22/2017,7:30 PM,"131 Hours, 21 Minutes",,Pacific Gas & Electric Co,WECC,California:,hour or more-Severe Weather,254,169250,
,,,,,,,,,,,Physical attack that could,,,
,,,,,,,,,,,potentially impact electric power,,,
,,,,,,,,,,,system adequacy or reliability;,,,
,,,,,,,,,,,or vandalism which targets,,,
,,,,,,,,,,,components of any security,,,
2017,2,02/17/2017,1:00 PM,02/17/2017,1:15 PM,"0 Hours, 15 Minutes",,Nevada Power Company d/b/a NV Energy,WECC,Nevada: Clark County;,systems-Vandalism,0,0,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2017,2,02/17/2017,3:00 PM,02/20/2017 11:00 AM,,"68 Hours,",0 Minutes,LADWP,WECC,California: Los Angeles County;,hour or more-Severe Weather,Unknown,111591,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2017,3,03/01/2017,8:30 AM,03/01/2017,2:00 PM,"5 Hours, 30 Minutes",,Tennessee Valley Authority,SERC,Tennessee: Kentucky:,hour or more-Severe Weather,Unknown,58000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
